Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,19376.55,19393.82,179.37,19191.74,19668.92,0.92,100000,1
read_performance,SEQUENTIAL,p50_latency_us,49.00,48.60,0.55,48.00,49.00,1.13,100000,1
read_performance,SEQUENTIAL,p95_latency_us,69.00,68.80,0.84,68.00,70.00,1.22,100000,1
read_performance,SEQUENTIAL,p99_latency_us,97.00,96.20,2.28,93.00,99.00,2.37,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,SEQUENTIAL,fragmentation,13.31,13.31,0.00,13.31,13.31,0.00,100000,1
read_performance,SEQUENTIAL,read_iops,36.13,36.17,0.43,35.68,36.76,1.18,100000,1
read_performance,SEQUENTIAL,write_iops,153.11,153.05,1.22,151.50,154.63,0.80,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.56,0.57,0.01,0.56,0.57,1.18,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,3.03,3.04,0.03,3.01,3.08,0.91,100000,1
read_performance,UUIDV4,read_throughput,19101.08,19126.37,79.86,19046.96,19236.97,0.42,100000,1
read_performance,UUIDV4,p50_latency_us,50.00,49.60,0.55,49.00,50.00,1.10,100000,1
read_performance,UUIDV4,p95_latency_us,68.00,68.40,0.55,68.00,69.00,0.80,100000,1
read_performance,UUIDV4,p99_latency_us,95.00,95.00,1.41,93.00,97.00,1.49,100000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,UUIDV4,fragmentation,15.60,15.27,1.52,13.30,17.24,9.97,100000,1
read_performance,UUIDV4,read_iops,45.40,45.55,0.33,45.24,46.04,0.72,100000,1
read_performance,UUIDV4,write_iops,157.78,180.27,31.18,157.31,215.19,17.30,100000,1
read_performance,UUIDV4,read_throughput_mb,0.71,0.71,0.01,0.71,0.72,0.72,100000,1
read_performance,UUIDV4,write_throughput_mb,3.14,3.60,0.65,3.12,4.33,18.14,100000,1
read_performance,UUIDV7,read_throughput,18962.47,18946.22,231.28,18568.67,19174.16,1.22,100000,1
read_performance,UUIDV7,p50_latency_us,50.00,49.80,0.84,49.00,51.00,1.68,100000,1
read_performance,UUIDV7,p95_latency_us,69.00,69.00,0.71,68.00,70.00,1.02,100000,1
read_performance,UUIDV7,p99_latency_us,97.00,98.00,1.41,97.00,100.00,1.44,100000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,UUIDV7,fragmentation,13.91,13.91,0.00,13.91,13.91,0.00,100000,1
read_performance,UUIDV7,read_iops,45.21,45.27,0.56,44.45,45.90,1.23,100000,1
read_performance,UUIDV7,write_iops,207.38,206.95,2.74,202.59,209.57,1.33,100000,1
read_performance,UUIDV7,read_throughput_mb,0.71,0.71,0.01,0.69,0.72,1.23,100000,1
read_performance,UUIDV7,write_throughput_mb,4.16,4.16,0.05,4.07,4.21,1.22,100000,1
read_performance,ULID,read_throughput,19349.91,19430.42,383.47,19085.72,20017.62,1.97,100000,1
read_performance,ULID,p50_latency_us,49.00,48.80,0.84,48.00,50.00,1.71,100000,1
read_performance,ULID,p95_latency_us,65.00,65.60,3.44,61.00,69.00,5.24,100000,1
read_performance,ULID,p99_latency_us,95.00,89.60,9.32,78.00,97.00,10.40,100000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,ULID,fragmentation,14.78,15.04,1.62,12.97,16.75,10.77,100000,1
read_performance,ULID,read_iops,46.34,46.44,1.16,45.47,48.34,2.49,100000,1
read_performance,ULID,write_iops,165.03,181.98,29.19,157.93,214.24,16.04,100000,1
read_performance,ULID,read_throughput_mb,0.72,0.73,0.02,0.71,0.76,2.49,100000,1
read_performance,ULID,write_throughput_mb,3.28,3.64,0.62,3.12,4.33,17.06,100000,1
read_performance,ULID_MONOTONIC,read_throughput,20165.14,20245.21,344.51,19871.04,20749.28,1.70,100000,1
read_performance,ULID_MONOTONIC,p50_latency_us,47.00,47.20,0.84,46.00,48.00,1.77,100000,1
read_performance,ULID_MONOTONIC,p95_latency_us,61.00,60.80,1.10,59.00,62.00,1.80,100000,1
read_performance,ULID_MONOTONIC,p99_latency_us,82.00,83.00,6.48,74.00,92.00,7.81,100000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,ULID_MONOTONIC,fragmentation,13.91,13.91,0.00,13.91,13.91,0.00,100000,1
