Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,19473.59,19462.08,19825.22,19160.69,19990.84,100000,1
read_performance,SEQUENTIAL,p50_latency_us,49.00,49.00,48.00,50.00,48.00,100000,1
read_performance,SEQUENTIAL,p95_latency_us,64.00,64.00,63.00,66.00,63.00,100000,1
read_performance,SEQUENTIAL,p99_latency_us,92.00,90.00,90.00,93.00,89.00,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,SEQUENTIAL,fragmentation,0.92,0.92,0.92,0.92,0.92,100000,1
read_performance,SEQUENTIAL,read_iops,36.42,36.02,36.87,36.03,37.35,100000,1
read_performance,SEQUENTIAL,write_iops,161.08,160.24,163.77,156.83,164.82,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.57,0.56,0.58,0.56,0.58,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,3.19,3.19,3.25,3.14,3.27,100000,1
read_performance,UUIDV4,read_throughput,19475.40,18936.50,19123.14,19267.48,19004.84,100000,1
read_performance,UUIDV4,p50_latency_us,49.00,50.00,50.00,49.00,50.00,100000,1
read_performance,UUIDV4,p95_latency_us,64.00,66.00,66.00,66.00,66.00,100000,1
read_performance,UUIDV4,p99_latency_us,90.00,95.00,97.00,95.00,97.00,100000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV4,fragmentation,12.82,13.07,13.05,13.15,12.75,100000,1
read_performance,UUIDV4,read_iops,46.85,44.93,45.42,45.95,45.12,100000,1
read_performance,UUIDV4,write_iops,319.30,337.92,336.32,339.97,336.73,100000,1
read_performance,UUIDV4,read_throughput_mb,0.73,0.70,0.71,0.72,0.71,100000,1
read_performance,UUIDV4,write_throughput_mb,6.51,7.01,6.86,6.91,6.81,100000,1
read_performance,UUIDV7,read_throughput,19439.58,19317.03,18975.15,19498.59,19291.67,100000,1
read_performance,UUIDV7,p50_latency_us,49.00,50.00,50.00,49.00,49.00,100000,1
read_performance,UUIDV7,p95_latency_us,65.00,64.00,66.00,65.00,65.00,100000,1
read_performance,UUIDV7,p99_latency_us,95.00,90.00,97.00,92.00,93.00,100000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV7,fragmentation,0.97,0.97,0.97,0.97,0.97,100000,1
read_performance,UUIDV7,read_iops,46.70,46.43,45.24,46.67,46.40,100000,1
read_performance,UUIDV7,write_iops,159.12,158.98,213.04,159.67,157.71,100000,1
read_performance,UUIDV7,read_throughput_mb,0.73,0.73,0.71,0.73,0.72,100000,1
read_performance,UUIDV7,write_throughput_mb,3.18,3.16,4.28,3.19,3.16,100000,1
read_performance,ULID,read_throughput,19073.37,18495.20,19347.20,19088.81,19495.86,100000,1
read_performance,ULID,p50_latency_us,50.00,51.00,49.00,50.00,49.00,100000,1
read_performance,ULID,p95_latency_us,65.00,69.00,64.00,65.00,64.00,100000,1
read_performance,ULID,p99_latency_us,90.00,95.00,95.00,93.00,95.00,100000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,ULID,fragmentation,13.30,13.68,13.42,13.22,13.30,100000,1
read_performance,ULID,read_iops,45.86,44.31,46.32,45.70,46.47,100000,1
read_performance,ULID,write_iops,337.98,327.54,341.68,340.28,283.85,100000,1
read_performance,ULID,read_throughput_mb,0.72,0.69,0.72,0.71,0.73,100000,1
read_performance,ULID,write_throughput_mb,6.84,6.63,6.93,7.07,6.01,100000,1
read_performance,ULID_MONOTONIC,read_throughput,18802.89,19314.02,18855.07,19425.41,18906.19,100000,1
read_performance,ULID_MONOTONIC,p50_latency_us,51.00,49.00,50.00,48.00,50.00,100000,1
read_performance,ULID_MONOTONIC,p95_latency_us,66.00,65.00,66.00,66.00,68.00,100000,1
read_performance,ULID_MONOTONIC,p99_latency_us,99.00,95.00,93.00,97.00,100.00,100000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,ULID_MONOTONIC,fragmentation,0.97,0.97,0.97,0.97,0.97,100000,1
read_performance,ULID_MONOTONIC,read_iops,44.99,46.42,44.78,46.53,45.04,100000,1
read_performance,ULID_MONOTONIC,write_iops,212.30,158.74,154.12,159.96,212.14,100000,1
read_performance,ULID_MONOTONIC,read_throughput_mb,0.70,0.73,0.70,0.73,0.70,100000,1
read_performance,ULID_MONOTONIC,write_throughput_mb,4.24,3.16,3.09,3.18,4.26,100000,1
read_performance,UUIDV1,read_throughput,18853.96,18569.80,18944.65,18714.10,19219.82,100000,1
read_performance,UUIDV1,p50_latency_us,50.00,51.00,50.00,50.00,49.00,100000,1
read_performance,UUIDV1,p95_latency_us,66.00,68.00,68.00,68.00,65.00,100000,1
read_performance,UUIDV1,p99_latency_us,92.00,99.00,99.00,100.00,92.00,100000,1
read_performance,UUIDV1,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV1,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV1,fragmentation,0.97,0.97,0.97,0.97,0.97,100000,1
read_performance,UUIDV1,read_iops,44.98,44.46,45.17,44.43,45.84,100000,1
read_performance,UUIDV1,write_iops,154.92,209.62,154.63,209.73,215.89,100000,1
read_performance,UUIDV1,read_throughput_mb,0.70,0.69,0.71,0.69,0.72,100000,1
read_performance,UUIDV1,write_throughput_mb,3.09,4.19,3.10,4.22,4.34,100000,1
