Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,1078.95,1081.92,8.75,1075.22,1097.08,0.81,100000,1
update_performance,SEQUENTIAL,p50_latency_us,920.00,923.40,7.60,920.00,937.00,0.82,100000,1
update_performance,SEQUENTIAL,p95_latency_us,1272.00,1267.60,9.84,1250.00,1272.00,0.78,100000,1
update_performance,SEQUENTIAL,p99_latency_us,1443.00,1427.60,22.86,1392.00,1443.00,1.60,100000,1
update_performance,SEQUENTIAL,fragmentation,13.31,13.31,0.00,13.31,13.31,0.00,100000,1
update_performance,SEQUENTIAL,read_iops,19.29,19.37,0.11,19.29,19.49,0.56,100000,1
update_performance,SEQUENTIAL,write_iops,2561.28,2573.75,35.21,2548.19,2634.08,1.37,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.30,0.30,0.00,0.30,0.30,0.56,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,9.66,9.70,0.09,9.63,9.85,0.92,100000,1
update_performance,UUIDV4,update_throughput,1074.15,1072.76,3.16,1067.95,1076.01,0.29,100000,1
update_performance,UUIDV4,p50_latency_us,937.00,933.60,7.60,920.00,937.00,0.81,100000,1
update_performance,UUIDV4,p95_latency_us,1272.00,1272.00,0.00,1272.00,1272.00,0.00,100000,1
update_performance,UUIDV4,p99_latency_us,1443.00,1437.80,11.63,1417.00,1443.00,0.81,100000,1
update_performance,UUIDV4,fragmentation,18.15,18.60,1.25,17.11,20.39,6.73,100000,1
update_performance,UUIDV4,read_iops,24.56,24.60,0.17,24.46,24.86,0.68,100000,1
update_performance,UUIDV4,write_iops,2554.36,2553.42,4.66,2545.84,2558.65,0.18,100000,1
update_performance,UUIDV4,read_throughput_mb,0.38,0.38,0.00,0.38,0.39,0.68,100000,1
update_performance,UUIDV4,write_throughput_mb,9.67,9.68,0.02,9.66,9.72,0.23,100000,1
update_performance,UUIDV7,update_throughput,1076.12,1075.10,1.86,1072.93,1076.95,0.17,100000,1
update_performance,UUIDV7,p50_latency_us,937.00,933.60,7.60,920.00,937.00,0.81,100000,1
update_performance,UUIDV7,p95_latency_us,1272.00,1272.00,0.00,1272.00,1272.00,0.00,100000,1
update_performance,UUIDV7,p99_latency_us,1443.00,1443.00,0.00,1443.00,1443.00,0.00,100000,1
update_performance,UUIDV7,fragmentation,13.91,13.91,0.00,13.91,13.91,0.00,100000,1
update_performance,UUIDV7,read_iops,24.56,24.56,0.12,24.45,24.75,0.49,100000,1
update_performance,UUIDV7,write_iops,2558.12,2558.21,3.94,2552.74,2563.79,0.15,100000,1
update_performance,UUIDV7,read_throughput_mb,0.38,0.38,0.00,0.38,0.39,0.49,100000,1
update_performance,UUIDV7,write_throughput_mb,9.68,9.68,0.02,9.66,9.70,0.17,100000,1
update_performance,ULID,update_throughput,1069.20,1067.24,10.14,1052.01,1077.25,0.95,100000,1
update_performance,ULID,p50_latency_us,937.00,933.60,7.60,920.00,937.00,0.81,100000,1
update_performance,ULID,p95_latency_us,1272.00,1281.20,12.60,1272.00,1295.00,0.98,100000,1
update_performance,ULID,p99_latency_us,1443.00,1448.40,34.25,1417.00,1496.00,2.36,100000,1
update_performance,ULID,fragmentation,20.03,20.08,2.02,17.19,22.37,10.08,100000,1
update_performance,ULID,read_iops,24.56,24.54,0.11,24.36,24.66,0.44,100000,1
update_performance,ULID,write_iops,2533.63,2541.15,18.94,2524.31,2573.00,0.75,100000,1
update_performance,ULID,read_throughput_mb,0.38,0.38,0.00,0.38,0.39,0.44,100000,1
update_performance,ULID,write_throughput_mb,9.62,9.64,0.07,9.55,9.73,0.72,100000,1
update_performance,ULID_MONOTONIC,update_throughput,1069.62,1070.27,3.73,1066.53,1076.48,0.35,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,937.00,933.60,7.60,920.00,937.00,0.81,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,1272.00,1281.20,12.60,1272.00,1295.00,0.98,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,1469.00,1470.00,56.69,1417.00,1551.00,3.86,100000,1
update_performance,ULID_MONOTONIC,fragmentation,13.91,13.91,0.00,13.91,13.91,0.00,100000,1
update_performance,ULID_MONOTONIC,read_iops,24.66,24.66,0.07,24.55,24.76,0.30,100000,1
update_performance,ULID_MONOTONIC,write_iops,2555.81,2552.27,9.28,2541.50,2562.80,0.36,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.39,0.39,0.00,0.38,0.39,0.30,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,9.66,9.65,0.03,9.62,9.70,0.35,100000,1
update_performance,UUIDV1,update_throughput,1078.58,1079.14,3.19,1076.19,1084.32,0.30,100000,1
update_performance,UUIDV1,p50_latency_us,937.00,933.60,7.60,920.00,937.00,0.81,100000,1
update_performance,UUIDV1,p95_latency_us,1272.00,1272.00,0.00,1272.00,1272.00,0.00,100000,1
update_performance,UUIDV1,p99_latency_us,1417.00,1417.00,0.00,1417.00,1417.00,0.00,100000,1
update_performance,UUIDV1,fragmentation,13.91,13.91,0.00,13.91,13.91,0.00,100000,1
update_performance,UUIDV1,read_iops,24.47,24.54,0.11,24.45,24.66,0.43,100000,1
update_performance,UUIDV1,write_iops,2570.15,2571.77,6.21,2564.59,2578.39,0.24,100000,1
update_performance,UUIDV1,read_throughput_mb,0.38,0.38,0.00,0.38,0.39,0.43,100000,1
update_performance,UUIDV1,write_throughput_mb,9.70,9.71,0.01,9.70,9.72,0.13,100000,1
