Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,30.72,31.02,33.43,33.72,33.46,100000,1
update_performance,SEQUENTIAL,p50_latency_us,7577.00,7481.00,7419.00,8016.00,7521.00,100000,1
update_performance,SEQUENTIAL,p95_latency_us,85894.00,85071.00,83050.00,82313.00,83558.00,100000,1
update_performance,SEQUENTIAL,p99_latency_us,131644.00,130604.00,123812.00,121355.00,124464.00,100000,1
update_performance,SEQUENTIAL,fragmentation,0.92,0.92,0.92,0.92,0.92,100000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_iops,132.93,133.66,142.84,143.47,142.78,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,0.75,0.76,0.79,0.80,0.79,100000,1
update_performance,UUIDV4,update_throughput,33.44,33.57,31.74,31.01,34.34,100000,1
update_performance,UUIDV4,p50_latency_us,7765.00,7493.00,7534.00,7441.00,7462.00,100000,1
update_performance,UUIDV4,p95_latency_us,83264.00,83015.00,85517.00,85599.00,81781.00,100000,1
update_performance,UUIDV4,p99_latency_us,124732.00,123582.00,128315.00,129754.00,119833.00,100000,1
update_performance,UUIDV4,fragmentation,12.99,12.99,13.16,13.00,13.03,100000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_iops,142.97,143.51,137.39,134.07,146.59,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_throughput_mb,0.81,0.81,0.78,0.77,0.82,100000,1
update_performance,UUIDV7,update_throughput,31.56,33.17,34.08,34.09,34.08,100000,1
update_performance,UUIDV7,p50_latency_us,7574.00,7714.00,7440.00,7799.00,7626.00,100000,1
update_performance,UUIDV7,p95_latency_us,85329.00,82664.00,82222.00,81902.00,82087.00,100000,1
update_performance,UUIDV7,p99_latency_us,127751.00,122982.00,121390.00,120271.00,120755.00,100000,1
update_performance,UUIDV7,fragmentation,0.97,0.97,0.97,0.97,0.97,100000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_iops,135.15,141.86,143.95,145.08,144.31,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_throughput_mb,0.76,0.79,0.80,0.81,0.80,100000,1
update_performance,ULID,update_throughput,33.03,33.98,31.77,34.72,35.12,100000,1
update_performance,ULID,p50_latency_us,8056.00,7475.00,7532.00,7785.00,7733.00,100000,1
update_performance,ULID,p95_latency_us,82899.00,81998.00,83632.00,81299.00,80477.00,100000,1
update_performance,ULID,p99_latency_us,121300.00,120605.00,124566.00,117342.00,115730.00,100000,1
update_performance,ULID,fragmentation,13.12,13.16,12.89,12.81,13.07,100000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_iops,141.61,145.13,136.50,147.74,149.26,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_throughput_mb,0.80,0.81,0.78,0.83,0.84,100000,1
update_performance,ULID_MONOTONIC,update_throughput,35.08,30.89,31.09,30.89,32.54,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,7546.00,8003.00,8060.00,7821.00,7518.00,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,80753.00,85191.00,84789.00,85179.00,83491.00,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,118488.00,127037.00,127612.00,128596.00,126077.00,100000,1
update_performance,ULID_MONOTONIC,fragmentation,0.97,0.97,0.97,0.97,0.97,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_iops,147.99,133.74,134.33,133.51,139.45,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,0.82,0.75,0.75,0.75,0.78,100000,1
update_performance,UUIDV1,update_throughput,33.06,33.13,31.81,32.23,32.83,100000,1
update_performance,UUIDV1,p50_latency_us,7731.00,7966.00,8164.00,7876.00,7714.00,100000,1
update_performance,UUIDV1,p95_latency_us,82738.00,82814.00,83704.00,82861.00,83268.00,100000,1
update_performance,UUIDV1,p99_latency_us,122006.00,120944.00,125230.00,122952.00,124561.00,100000,1
update_performance,UUIDV1,fragmentation,0.97,0.97,0.97,0.97,1.88,100000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_iops,141.74,141.81,137.16,138.45,140.55,100000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_throughput_mb,0.79,0.79,0.77,0.77,0.79,100000,1
