Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,25095.50,25079.59,251.86,24755.12,25399.96,1.00,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,37.00,37.20,0.45,37.00,38.00,1.20,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,50.00,50.40,0.55,50.00,51.00,1.09,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,70.00,69.60,2.97,65.00,73.00,4.26,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.39,0.39,0.05,0.32,0.43,12.69,10000000,1
read_performance,SEQUENTIAL,read_iops,94.57,94.63,0.12,94.54,94.84,0.13,10000000,1
read_performance,SEQUENTIAL,write_iops,549.63,549.82,1.26,548.74,551.84,0.23,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,1.48,1.48,0.00,1.48,1.48,0.13,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,11.66,11.68,0.03,11.66,11.74,0.27,10000000,1
read_performance,UUIDV4,read_throughput,24421.97,24406.52,285.36,24101.08,24795.91,1.17,10000000,1
read_performance,UUIDV4,p50_latency_us,38.00,38.40,0.55,38.00,39.00,1.43,10000000,1
read_performance,UUIDV4,p95_latency_us,52.00,51.80,0.45,51.00,52.00,0.86,10000000,1
read_performance,UUIDV4,p99_latency_us,74.00,72.00,4.42,66.00,77.00,6.13,10000000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV4,fragmentation,12.75,12.75,0.04,12.70,12.81,0.35,10000000,1
read_performance,UUIDV4,read_iops,90.39,90.84,0.67,90.29,91.72,0.73,10000000,1
