Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,25399.96,25224.50,24755.12,25095.50,24922.89,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,37.00,37.00,38.00,37.00,37.00,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,50.00,50.00,51.00,51.00,50.00,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,65.00,69.00,70.00,73.00,71.00,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.36,0.32,0.43,0.43,0.39,10000000,1
read_performance,SEQUENTIAL,read_iops,94.84,94.54,94.57,94.57,94.63,10000000,1
read_performance,SEQUENTIAL,write_iops,551.84,548.83,549.63,548.74,550.08,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,1.48,1.48,1.48,1.48,1.48,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,11.74,11.66,11.66,11.66,11.68,10000000,1
read_performance,UUIDV4,read_throughput,24162.37,24101.08,24421.97,24551.29,24795.91,10000000,1
read_performance,UUIDV4,p50_latency_us,39.00,39.00,38.00,38.00,38.00,10000000,1
read_performance,UUIDV4,p95_latency_us,52.00,52.00,52.00,52.00,51.00,10000000,1
read_performance,UUIDV4,p99_latency_us,74.00,66.00,74.00,77.00,69.00,10000000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV4,fragmentation,12.70,12.73,12.77,12.75,12.81,10000000,1
read_performance,UUIDV4,read_iops,91.38,91.72,90.39,90.29,90.39,10000000,1
read_performance,UUIDV4,write_iops,603.68,608.57,602.03,603.11,598.14,10000000,1
read_performance,UUIDV4,read_throughput_mb,1.43,1.43,1.41,1.41,1.41,10000000,1
read_performance,UUIDV4,write_throughput_mb,12.93,12.95,12.79,12.81,12.69,10000000,1
read_performance,UUIDV7,read_throughput,24939.60,24171.97,24330.45,23767.69,24960.29,10000000,1
read_performance,UUIDV7,p50_latency_us,37.00,39.00,38.00,39.00,37.00,10000000,1
read_performance,UUIDV7,p95_latency_us,51.00,53.00,53.00,53.00,51.00,10000000,1
read_performance,UUIDV7,p99_latency_us,73.00,77.00,85.00,75.00,74.00,10000000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV7,fragmentation,0.39,0.35,0.47,0.45,0.56,10000000,1
read_performance,UUIDV7,read_iops,104.41,103.20,104.14,103.78,103.20,10000000,1
read_performance,UUIDV7,write_iops,483.16,535.01,486.27,488.89,484.19,10000000,1
read_performance,UUIDV7,read_throughput_mb,1.63,1.61,1.63,1.62,1.61,10000000,1
read_performance,UUIDV7,write_throughput_mb,10.25,11.32,10.32,10.47,10.27,10000000,1
read_performance,ULID,read_throughput,24072.33,24264.53,24581.60,24157.64,24753.54,10000000,1
read_performance,ULID,p50_latency_us,38.00,38.00,38.00,38.00,37.00,10000000,1
read_performance,ULID,p95_latency_us,53.00,52.00,51.00,52.00,51.00,10000000,1
read_performance,ULID,p99_latency_us,79.00,69.00,71.00,74.00,73.00,10000000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,ULID,fragmentation,12.90,12.96,12.84,12.88,12.88,10000000,1
read_performance,ULID,read_iops,94.84,95.54,95.93,95.54,94.15,10000000,1
read_performance,ULID,write_iops,659.71,632.68,665.03,658.65,647.29,10000000,1
read_performance,ULID,read_throughput_mb,1.48,1.49,1.50,1.49,1.47,10000000,1
read_performance,ULID,write_throughput_mb,14.10,13.60,14.22,14.13,13.85,10000000,1
read_performance,ULID_MONOTONIC,read_throughput,24851.13,24119.11,24093.28,24781.66,24112.42,10000000,1
read_performance,ULID_MONOTONIC,p50_latency_us,38.00,39.00,39.00,37.00,39.00,10000000,1
read_performance,ULID_MONOTONIC,p95_latency_us,51.00,52.00,52.00,52.00,53.00,10000000,1
read_performance,ULID_MONOTONIC,p99_latency_us,77.00,74.00,79.00,71.00,74.00,10000000,1
