Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,10635.16,10586.98,144.00,10368.86,10746.05,1.36,10000000,1
update_performance,SEQUENTIAL,p50_latency_us,48.00,48.40,0.55,48.00,49.00,1.13,10000000,1
update_performance,SEQUENTIAL,p95_latency_us,93.00,93.60,1.34,92.00,95.00,1.43,10000000,1
update_performance,SEQUENTIAL,p99_latency_us,1184.00,1188.20,17.57,1163.00,1205.00,1.48,10000000,1
update_performance,SEQUENTIAL,fragmentation,0.48,0.44,0.09,0.32,0.52,19.77,10000000,1
update_performance,SEQUENTIAL,read_iops,94.18,92.72,2.38,89.77,94.76,2.57,10000000,1
update_performance,SEQUENTIAL,write_iops,3079.89,3076.63,31.58,3040.49,3120.47,1.03,10000000,1
update_performance,SEQUENTIAL,read_throughput_mb,1.47,1.45,0.04,1.40,1.48,2.58,10000000,1
update_performance,SEQUENTIAL,write_throughput_mb,35.22,34.84,0.61,34.08,35.33,1.76,10000000,1
update_performance,UUIDV4,update_throughput,11609.72,11546.19,136.37,11320.15,11648.90,1.18,10000000,1
update_performance,UUIDV4,p50_latency_us,49.00,49.20,0.45,49.00,50.00,0.91,10000000,1
update_performance,UUIDV4,p95_latency_us,79.00,79.60,1.34,78.00,81.00,1.69,10000000,1
update_performance,UUIDV4,p99_latency_us,1102.00,1102.00,14.14,1082.00,1122.00,1.28,10000000,1
update_performance,UUIDV4,fragmentation,12.79,12.78,0.05,12.71,12.82,0.36,10000000,1
update_performance,UUIDV4,read_iops,89.40,89.48,0.13,89.38,89.69,0.15,10000000,1
update_performance,UUIDV4,write_iops,2617.01,2642.72,107.08,2545.94,2826.46,4.05,10000000,1
update_performance,UUIDV4,read_throughput_mb,1.40,1.40,0.00,1.40,1.40,0.15,10000000,1
update_performance,UUIDV4,write_throughput_mb,29.29,29.93,1.78,28.70,33.09,5.96,10000000,1
update_performance,UUIDV7,update_throughput,10985.36,10830.04,234.30,10487.32,11003.37,2.16,10000000,1
update_performance,UUIDV7,p50_latency_us,49.00,49.00,0.71,48.00,50.00,1.44,10000000,1
update_performance,UUIDV7,p95_latency_us,85.00,85.00,2.12,82.00,87.00,2.50,10000000,1
update_performance,UUIDV7,p99_latency_us,1142.00,1150.40,11.50,1142.00,1163.00,1.00,10000000,1
update_performance,UUIDV7,fragmentation,0.47,0.44,0.08,0.35,0.52,17.62,10000000,1
update_performance,UUIDV7,read_iops,103.02,102.63,0.71,101.72,103.30,0.69,10000000,1
update_performance,UUIDV7,write_iops,2397.47,2412.93,99.17,2296.02,2519.90,4.11,10000000,1
update_performance,UUIDV7,read_throughput_mb,1.61,1.60,0.01,1.59,1.61,0.69,10000000,1
update_performance,UUIDV7,write_throughput_mb,21.34,22.32,1.73,20.80,24.54,7.74,10000000,1
update_performance,ULID,update_throughput,11309.92,11222.51,232.97,10914.21,11449.10,2.08,10000000,1
update_performance,ULID,p50_latency_us,49.00,49.20,0.84,48.00,50.00,1.70,10000000,1
update_performance,ULID,p95_latency_us,82.00,82.00,1.22,81.00,84.00,1.49,10000000,1
update_performance,ULID,p99_latency_us,1122.00,1114.00,10.95,1102.00,1122.00,0.98,10000000,1
update_performance,ULID,fragmentation,12.93,12.91,0.04,12.85,12.94,0.28,10000000,1
update_performance,ULID,read_iops,95.08,94.70,0.72,93.79,95.38,0.76,10000000,1
update_performance,ULID,write_iops,2740.00,2748.19,20.81,2723.69,2774.19,0.76,10000000,1
update_performance,ULID,read_throughput_mb,1.49,1.48,0.01,1.47,1.49,0.76,10000000,1
update_performance,ULID,write_throughput_mb,31.46,31.41,0.16,31.19,31.58,0.52,10000000,1
update_performance,ULID_MONOTONIC,update_throughput,10907.87,10910.60,130.84,10713.01,11066.86,1.20,10000000,1
update_performance,ULID_MONOTONIC,p50_latency_us,49.00,49.40,0.55,49.00,50.00,1.11,10000000,1
update_performance,ULID_MONOTONIC,p95_latency_us,85.00,85.40,2.70,82.00,89.00,3.16,10000000,1
update_performance,ULID_MONOTONIC,p99_latency_us,1142.00,1150.40,11.50,1142.00,1163.00,1.00,10000000,1
update_performance,ULID_MONOTONIC,fragmentation,0.37,0.41,0.08,0.34,0.55,19.80,10000000,1
update_performance,ULID_MONOTONIC,read_iops,102.24,102.24,0.34,101.89,102.64,0.34,10000000,1
update_performance,ULID_MONOTONIC,write_iops,2466.75,2459.73,18.66,2432.91,2478.54,0.76,10000000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,1.60,1.60,0.01,1.59,1.60,0.34,10000000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,23.41,23.40,0.11,23.28,23.53,0.48,10000000,1
update_performance,UUIDV1,update_throughput,17638.91,17688.14,146.20,17594.95,17946.76,0.83,10000000,1
update_performance,UUIDV1,p50_latency_us,46.00,46.40,0.55,46.00,47.00,1.18,10000000,1
update_performance,UUIDV1,p95_latency_us,62.00,61.60,0.55,61.00,62.00,0.89,10000000,1
update_performance,UUIDV1,p99_latency_us,92.00,91.80,1.64,89.00,93.00,1.79,10000000,1
update_performance,UUIDV1,fragmentation,0.38,0.70,0.50,0.24,1.25,71.65,10000000,1
update_performance,UUIDV1,read_iops,15.61,15.59,0.15,15.42,15.81,0.94,10000000,1
update_performance,UUIDV1,write_iops,527.48,525.78,20.33,503.24,553.60,3.87,10000000,1
update_performance,UUIDV1,read_throughput_mb,0.24,0.24,0.00,0.24,0.25,0.94,10000000,1
update_performance,UUIDV1,write_throughput_mb,2.61,2.54,0.14,2.39,2.66,5.44,10000000,1
