Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,842.79,837.68,835.68,851.45,846.44,10000000,1
update_performance,SEQUENTIAL,p50_latency_us,1071.00,1077.00,1077.00,1061.00,1062.00,10000000,1
update_performance,SEQUENTIAL,p95_latency_us,1455.00,1436.00,1457.00,1423.00,1437.00,10000000,1
update_performance,SEQUENTIAL,p99_latency_us,5157.00,5235.00,5199.00,5135.00,5261.00,10000000,1
update_performance,SEQUENTIAL,fragmentation,0.12,0.12,0.12,0.12,0.12,10000000,1
update_performance,SEQUENTIAL,read_iops,60.54,60.18,60.04,61.17,60.81,10000000,1
update_performance,SEQUENTIAL,write_iops,3694.83,3697.76,3685.30,3685.67,3671.41,10000000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.95,0.94,0.94,0.96,0.95,10000000,1
update_performance,SEQUENTIAL,write_throughput_mb,21.85,21.78,21.58,21.88,21.87,10000000,1
update_performance,UUIDV4,update_throughput,875.07,879.54,876.15,872.40,877.37,10000000,1
update_performance,UUIDV4,p50_latency_us,996.00,991.00,992.00,1004.00,995.00,10000000,1
update_performance,UUIDV4,p95_latency_us,1561.00,1541.00,1552.00,1475.00,1514.00,10000000,1
update_performance,UUIDV4,p99_latency_us,5352.00,5399.00,5413.00,5377.00,5416.00,10000000,1
update_performance,UUIDV4,fragmentation,12.68,12.68,12.68,12.69,12.68,10000000,1
update_performance,UUIDV4,read_iops,67.17,66.76,66.70,66.64,67.38,10000000,1
update_performance,UUIDV4,write_iops,3523.06,3505.07,3511.99,3557.88,3522.12,10000000,1
update_performance,UUIDV4,read_throughput_mb,1.05,1.04,1.04,1.04,1.05,10000000,1
update_performance,UUIDV4,write_throughput_mb,26.43,26.54,26.50,26.30,26.52,10000000,1
update_performance,UUIDV7,update_throughput,854.75,853.82,850.08,852.40,850.21,10000000,1
update_performance,UUIDV7,p50_latency_us,1058.00,1059.00,1060.00,1059.00,1058.00,10000000,1
update_performance,UUIDV7,p95_latency_us,1383.00,1376.00,1413.00,1390.00,1409.00,10000000,1
update_performance,UUIDV7,p99_latency_us,5112.00,5167.00,5151.00,5132.00,5284.00,10000000,1
update_performance,UUIDV7,fragmentation,0.18,0.18,0.18,0.18,0.18,10000000,1
update_performance,UUIDV7,read_iops,61.33,61.27,60.99,61.17,61.02,10000000,1
update_performance,UUIDV7,write_iops,3687.88,3686.47,3682.29,3686.31,3659.47,10000000,1
update_performance,UUIDV7,read_throughput_mb,0.96,0.96,0.95,0.96,0.95,10000000,1
update_performance,UUIDV7,write_throughput_mb,22.06,21.87,22.01,22.00,21.83,10000000,1
update_performance,ULID,update_throughput,891.20,891.11,890.14,892.58,887.96,10000000,1
update_performance,ULID,p50_latency_us,990.00,992.00,991.00,991.00,990.00,10000000,1
update_performance,ULID,p95_latency_us,1373.00,1376.00,1375.00,1362.00,1413.00,10000000,1
update_performance,ULID,p99_latency_us,5037.00,4991.00,5075.00,5014.00,5089.00,10000000,1
update_performance,ULID,fragmentation,12.73,12.73,12.73,12.73,12.73,10000000,1
update_performance,ULID,read_iops,90.92,90.96,90.81,91.06,90.44,10000000,1
update_performance,ULID,write_iops,3356.20,3366.06,3360.68,3355.35,3326.87,10000000,1
update_performance,ULID,read_throughput_mb,1.42,1.42,1.42,1.42,1.41,10000000,1
update_performance,ULID,write_throughput_mb,22.31,22.30,22.29,22.26,22.20,10000000,1
update_performance,ULID_MONOTONIC,update_throughput,853.47,854.41,850.43,849.82,851.37,10000000,1
update_performance,ULID_MONOTONIC,p50_latency_us,1059.00,1061.00,1061.00,1060.00,1062.00,10000000,1
update_performance,ULID_MONOTONIC,p95_latency_us,1375.00,1403.00,1415.00,1441.00,1453.00,10000000,1
update_performance,ULID_MONOTONIC,p99_latency_us,5222.00,5014.00,5186.00,5110.00,5010.00,10000000,1
update_performance,ULID_MONOTONIC,fragmentation,0.18,0.18,0.18,0.18,0.18,10000000,1
update_performance,ULID_MONOTONIC,read_iops,61.25,61.31,61.02,60.99,61.07,10000000,1
update_performance,ULID_MONOTONIC,write_iops,3695.85,3708.76,3684.62,3677.21,3694.55,10000000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.96,0.96,0.95,0.95,0.95,10000000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,21.96,22.00,21.90,21.89,22.00,10000000,1
update_performance,UUIDV1,update_throughput,844.65,840.69,848.67,849.65,826.70,10000000,1
update_performance,UUIDV1,p50_latency_us,1063.00,1065.00,1065.00,1064.00,1065.00,10000000,1
update_performance,UUIDV1,p95_latency_us,1517.00,1515.00,1403.00,1400.00,1418.00,10000000,1
update_performance,UUIDV1,p99_latency_us,5227.00,5226.00,5171.00,5214.00,5201.00,10000000,1
update_performance,UUIDV1,fragmentation,0.22,0.20,0.20,0.20,0.18,10000000,1
update_performance,UUIDV1,read_iops,0.18,65.00,65.62,65.70,59.34,10000000,1
update_performance,UUIDV1,write_iops,3680.07,3666.25,3719.38,3708.80,3594.14,10000000,1
update_performance,UUIDV1,read_throughput_mb,0.00,1.02,1.02,1.03,0.93,10000000,1
update_performance,UUIDV1,write_throughput_mb,22.05,21.80,22.11,22.01,21.13,10000000,1
