Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,66880.00,66195.20,1483.47,63577.00,67151.00,2.24,1000000,1
insert_performance,SEQUENTIAL,p50_latency_us,1469.00,1479.80,14.79,1469.00,1496.00,1.00,1000000,1
insert_performance,SEQUENTIAL,p95_latency_us,1697.00,1709.40,27.73,1697.00,1759.00,1.62,1000000,1
insert_performance,SEQUENTIAL,p99_latency_us,2389.00,2988.40,1387.42,2347.00,5470.00,46.43,1000000,1
insert_performance,SEQUENTIAL,page_splits,2041.00,2020.60,45.13,1941.00,2050.00,2.23,1000000,1
insert_performance,SEQUENTIAL,fragmentation,2.06,1.87,0.69,0.82,2.69,36.88,1000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,1
insert_performance,SEQUENTIAL,table_size_mb,32.56,32.16,0.89,30.56,32.56,2.78,1000000,1
insert_performance,SEQUENTIAL,index_size_mb,32.56,32.16,0.89,30.56,32.56,2.78,1000000,1
insert_performance,SEQUENTIAL,read_iops,0.30,0.30,0.00,0.30,0.30,0.01,1000000,1
insert_performance,SEQUENTIAL,write_iops,2773.09,2738.87,60.70,2639.31,2782.67,2.22,1000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.01,1000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,19.75,19.56,0.36,18.95,19.82,1.83,1000000,1
insert_performance,UUIDV4,throughput,52955.00,53019.80,127.77,52911.00,53184.00,0.24,1000000,1
insert_performance,UUIDV4,p50_latency_us,1824.00,1824.00,0.00,1824.00,1824.00,0.00,1000000,1
insert_performance,UUIDV4,p95_latency_us,2145.00,2145.00,0.00,2145.00,2145.00,0.00,1000000,1
insert_performance,UUIDV4,p99_latency_us,2966.00,2966.20,37.83,2913.00,3020.00,1.28,1000000,1
insert_performance,UUIDV4,page_splits,2656.00,2662.80,44.80,2623.00,2736.00,1.68,1000000,1
insert_performance,UUIDV4,fragmentation,14.07,13.94,0.52,13.09,14.49,3.76,1000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,1
insert_performance,UUIDV4,table_size_mb,47.64,48.24,0.89,47.64,49.64,1.85,1000000,1
insert_performance,UUIDV4,index_size_mb,47.64,48.24,0.89,47.64,49.64,1.85,1000000,1
insert_performance,UUIDV4,read_iops,0.26,0.26,0.00,0.26,0.26,0.18,1000000,1
insert_performance,UUIDV4,write_iops,2077.36,2075.52,16.48,2054.53,2096.44,0.79,1000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.18,1000000,1
insert_performance,UUIDV4,write_throughput_mb,18.69,18.75,0.21,18.55,19.10,1.13,1000000,1
insert_performance,UUIDV7,throughput,60392.00,60276.40,818.56,59341.00,61093.00,1.36,1000000,1
insert_performance,UUIDV7,p50_latency_us,1637.00,1625.40,15.88,1608.00,1637.00,0.98,1000000,1
insert_performance,UUIDV7,p95_latency_us,1960.00,1946.00,19.17,1925.00,1960.00,0.99,1000000,1
insert_performance,UUIDV7,p99_latency_us,2477.00,2451.40,79.71,2347.00,2522.00,3.25,1000000,1
insert_performance,UUIDV7,page_splits,2200.00,2197.00,30.90,2162.00,2228.00,1.41,1000000,1
insert_performance,UUIDV7,fragmentation,2.33,2.03,0.72,0.77,2.48,35.26,1000000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,1
insert_performance,UUIDV7,table_size_mb,34.59,34.99,0.55,34.59,35.59,1.57,1000000,1
insert_performance,UUIDV7,index_size_mb,34.59,34.99,0.55,34.59,35.59,1.57,1000000,1
insert_performance,UUIDV7,read_iops,0.26,0.26,0.00,0.26,0.26,0.20,1000000,1
insert_performance,UUIDV7,write_iops,2397.08,2395.52,60.90,2332.86,2460.73,2.54,1000000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.20,1000000,1
insert_performance,UUIDV7,write_throughput_mb,17.49,17.49,0.29,17.19,17.78,1.66,1000000,1
insert_performance,ULID,throughput,56108.00,56038.20,192.35,55738.00,56209.00,0.34,1000000,1
insert_performance,ULID,p50_latency_us,1728.00,1728.00,0.00,1728.00,1728.00,0.00,1000000,1
insert_performance,ULID,p95_latency_us,2069.00,2054.20,20.27,2032.00,2069.00,0.99,1000000,1
insert_performance,ULID,p99_latency_us,2710.00,2721.60,94.81,2615.00,2861.00,3.48,1000000,1
insert_performance,ULID,page_splits,3014.00,3022.20,31.61,2980.00,3058.00,1.05,1000000,1
insert_performance,ULID,fragmentation,13.32,13.41,0.55,12.75,13.99,4.12,1000000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,1
insert_performance,ULID,table_size_mb,54.62,54.43,0.45,53.62,54.66,0.83,1000000,1
insert_performance,ULID,index_size_mb,54.62,54.43,0.45,53.62,54.66,0.83,1000000,1
insert_performance,ULID,read_iops,0.26,0.26,0.00,0.26,0.26,0.13,1000000,1
insert_performance,ULID,write_iops,2189.62,2193.34,7.41,2187.17,2203.57,0.34,1000000,1
