Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,63577.00,67151.00,66880.00,66893.00,66475.00,1000000,1
insert_performance,SEQUENTIAL,p50_latency_us,1469.00,1469.00,1496.00,1469.00,1496.00,1000000,1
insert_performance,SEQUENTIAL,p95_latency_us,1759.00,1697.00,1697.00,1697.00,1697.00,1000000,1
insert_performance,SEQUENTIAL,p99_latency_us,5470.00,2347.00,2389.00,2347.00,2389.00,1000000,1
insert_performance,SEQUENTIAL,page_splits,1941.00,2050.00,2041.00,2042.00,2029.00,1000000,1
insert_performance,SEQUENTIAL,fragmentation,0.82,1.68,2.11,2.06,2.69,1000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,SEQUENTIAL,table_size_mb,30.56,32.56,32.56,32.56,32.56,1000000,1
insert_performance,SEQUENTIAL,index_size_mb,30.56,32.56,32.56,32.56,32.56,1000000,1
insert_performance,SEQUENTIAL,read_iops,0.30,0.30,0.30,0.30,0.30,1000000,1
insert_performance,SEQUENTIAL,write_iops,2639.31,2782.67,2777.08,2773.09,2722.19,1000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,18.95,19.82,19.75,19.75,19.53,1000000,1
insert_performance,UUIDV4,throughput,53130.00,53184.00,52955.00,52919.00,52911.00,1000000,1
insert_performance,UUIDV4,p50_latency_us,1824.00,1824.00,1824.00,1824.00,1824.00,1000000,1
insert_performance,UUIDV4,p95_latency_us,2145.00,2145.00,2145.00,2145.00,2145.00,1000000,1
insert_performance,UUIDV4,p99_latency_us,2966.00,2966.00,2966.00,2913.00,3020.00,1000000,1
insert_performance,UUIDV4,page_splits,2736.00,2668.00,2656.00,2631.00,2623.00,1000000,1
insert_performance,UUIDV4,fragmentation,14.07,14.49,13.09,13.91,14.17,1000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,UUIDV4,table_size_mb,49.64,48.64,47.64,47.64,47.64,1000000,1
insert_performance,UUIDV4,index_size_mb,49.64,48.64,47.64,47.64,47.64,1000000,1
insert_performance,UUIDV4,read_iops,0.26,0.26,0.26,0.26,0.26,1000000,1
insert_performance,UUIDV4,write_iops,2084.71,2096.44,2077.36,2054.53,2064.56,1000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,write_throughput_mb,19.10,18.78,18.69,18.55,18.62,1000000,1
insert_performance,UUIDV7,throughput,61028.00,60392.00,59341.00,61093.00,59528.00,1000000,1
insert_performance,UUIDV7,p50_latency_us,1608.00,1637.00,1637.00,1608.00,1637.00,1000000,1
insert_performance,UUIDV7,p95_latency_us,1960.00,1960.00,1960.00,1925.00,1925.00,1000000,1
insert_performance,UUIDV7,p99_latency_us,2389.00,2477.00,2522.00,2347.00,2522.00,1000000,1
insert_performance,UUIDV7,page_splits,2226.00,2200.00,2162.00,2228.00,2169.00,1000000,1
insert_performance,UUIDV7,fragmentation,2.41,0.77,2.48,2.33,2.17,1000000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,UUIDV7,table_size_mb,35.59,34.59,34.59,35.59,34.59,1000000,1
insert_performance,UUIDV7,index_size_mb,35.59,34.59,34.59,35.59,34.59,1000000,1
insert_performance,UUIDV7,read_iops,0.26,0.26,0.26,0.26,0.26,1000000,1
insert_performance,UUIDV7,write_iops,2460.73,2397.08,2335.81,2451.09,2332.86,1000000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,write_throughput_mb,17.77,17.49,17.19,17.78,17.20,1000000,1
insert_performance,ULID,throughput,56173.00,55963.00,56108.00,56209.00,55738.00,1000000,1
insert_performance,ULID,p50_latency_us,1728.00,1728.00,1728.00,1728.00,1728.00,1000000,1
insert_performance,ULID,p95_latency_us,2069.00,2069.00,2032.00,2032.00,2069.00,1000000,1
