Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,130103.55,125115.91,17200.19,95106.02,138164.59,13.75,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,5901.00,6071.00,623.13,5638.00,7165.00,10.26,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,9175.00,10457.20,3243.28,8587.00,16230.00,31.01,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,12923.00,14213.20,4605.83,10994.00,22189.00,32.41,1000000,8
insert_performance,SEQUENTIAL,page_splits,83065.00,83059.00,151.91,82906.00,83256.00,0.18,1000000,8
insert_performance,SEQUENTIAL,fragmentation,12.67,12.68,0.04,12.63,12.74,0.31,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,1484.00,1483.59,3.21,1480.00,1488.00,0.22,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,1484.00,1483.59,3.21,1480.00,1488.00,0.22,1000000,8
insert_performance,SEQUENTIAL,read_iops,0.39,0.37,0.05,0.28,0.40,13.08,1000000,8
insert_performance,SEQUENTIAL,write_iops,8757.38,8373.46,793.61,6969.04,8819.68,9.48,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.01,0.01,0.00,0.00,0.01,13.08,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,553.92,528.70,60.76,420.88,562.82,11.49,1000000,8
insert_performance,UUIDV4,throughput,98354.16,90837.76,18744.46,58735.21,104584.22,20.64,1000000,8
insert_performance,UUIDV4,p50_latency_us,6947.00,7883.00,2451.39,6483.00,12250.00,31.10,1000000,8
insert_performance,UUIDV4,p95_latency_us,16092.00,18151.80,4659.45,14227.00,25933.00,25.67,1000000,8
insert_performance,UUIDV4,p99_latency_us,23858.00,26409.80,5890.52,21577.00,36359.00,22.30,1000000,8
insert_performance,UUIDV4,page_splits,101111.00,101118.00,94.62,101020.00,101273.00,0.09,1000000,8
insert_performance,UUIDV4,fragmentation,12.76,12.77,0.01,12.75,12.79,0.11,1000000,8
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,UUIDV4,table_size_mb,1804.69,1804.88,1.64,1803.64,1807.67,0.09,1000000,8
insert_performance,UUIDV4,index_size_mb,1804.69,1804.88,1.64,1803.64,1807.67,0.09,1000000,8
insert_performance,UUIDV4,read_iops,0.29,0.27,0.06,0.18,0.31,20.52,1000000,8
insert_performance,UUIDV4,write_iops,9627.94,9185.84,1361.76,6775.48,10084.94,14.82,1000000,8
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,20.52,1000000,8
insert_performance,UUIDV4,write_throughput_mb,564.27,528.46,95.29,363.03,596.34,18.03,1000000,8
insert_performance,UUIDV7,throughput,112528.50,107470.88,13035.63,85421.75,117397.56,12.13,1000000,8
insert_performance,UUIDV7,p50_latency_us,6414.00,6669.60,537.24,6332.00,7607.00,8.06,1000000,8
insert_performance,UUIDV7,p95_latency_us,13117.00,14644.20,3800.59,12081.00,21193.00,25.95,1000000,8
insert_performance,UUIDV7,p99_latency_us,18359.00,19866.40,5955.88,14756.00,29680.00,29.98,1000000,8
insert_performance,UUIDV7,page_splits,91882.00,91908.80,93.20,91787.00,92016.00,0.10,1000000,8
insert_performance,UUIDV7,fragmentation,12.73,12.73,0.04,12.68,12.77,0.28,1000000,8
