Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,138164.59,133928.03,130103.55,128277.35,95106.02,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,5638.00,5727.00,5901.00,5924.00,7165.00,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,8587.00,8851.00,9175.00,9443.00,16230.00,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,10994.00,11214.00,12923.00,13746.00,22189.00,1000000,8
insert_performance,SEQUENTIAL,page_splits,82914.00,82906.00,83065.00,83154.00,83256.00,1000000,8
insert_performance,SEQUENTIAL,fragmentation,12.67,12.63,12.70,12.67,12.74,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,1481.00,1480.00,1484.00,1484.97,1488.00,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,1481.00,1480.00,1484.00,1484.97,1488.00,1000000,8
insert_performance,SEQUENTIAL,read_iops,0.39,0.40,0.39,0.38,0.28,1000000,8
insert_performance,SEQUENTIAL,write_iops,8819.68,8757.38,8793.76,8527.43,6969.04,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.01,0.01,0.01,0.01,0.00,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,562.05,562.82,553.92,543.85,420.88,1000000,8
insert_performance,UUIDV4,throughput,98354.16,104584.22,102200.45,58735.21,90314.77,1000000,8
insert_performance,UUIDV4,p50_latency_us,6947.00,6683.00,6483.00,12250.00,7052.00,1000000,8
insert_performance,UUIDV4,p95_latency_us,15667.00,14227.00,16092.00,25933.00,18840.00,1000000,8
insert_performance,UUIDV4,p99_latency_us,21577.00,23304.00,23858.00,36359.00,26951.00,1000000,8
insert_performance,UUIDV4,page_splits,101020.00,101114.00,101273.00,101111.00,101072.00,1000000,8
insert_performance,UUIDV4,fragmentation,12.79,12.76,12.77,12.75,12.76,1000000,8
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,UUIDV4,table_size_mb,1803.64,1804.72,1807.67,1804.69,1803.69,1000000,8
insert_performance,UUIDV4,index_size_mb,1803.64,1804.72,1807.67,1804.69,1803.69,1000000,8
insert_performance,UUIDV4,read_iops,0.29,0.31,0.30,0.18,0.27,1000000,8
insert_performance,UUIDV4,write_iops,9627.94,10084.94,9847.53,6775.48,9593.31,1000000,8
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_throughput_mb,564.27,596.34,583.37,363.03,535.29,1000000,8
insert_performance,UUIDV7,throughput,117397.56,106287.76,112528.50,115718.82,85421.75,1000000,8
insert_performance,UUIDV7,p50_latency_us,6332.00,6634.00,6414.00,6361.00,7607.00,1000000,8
insert_performance,UUIDV7,p95_latency_us,12081.00,14633.00,13117.00,12197.00,21193.00,1000000,8
insert_performance,UUIDV7,p99_latency_us,15810.00,20727.00,18359.00,14756.00,29680.00,1000000,8
insert_performance,UUIDV7,page_splits,91882.00,92016.00,91787.00,91988.00,91871.00,1000000,8
insert_performance,UUIDV7,fragmentation,12.71,12.73,12.75,12.77,12.68,1000000,8
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,UUIDV7,table_size_mb,1639.95,1643.00,1639.00,1642.98,1638.98,1000000,8
insert_performance,UUIDV7,index_size_mb,1639.95,1643.00,1639.00,1642.98,1638.98,1000000,8
insert_performance,UUIDV7,read_iops,0.35,0.32,0.33,0.34,0.34,1000000,8
insert_performance,UUIDV7,write_iops,8452.49,7835.75,8532.64,8798.07,7377.57,1000000,8
insert_performance,UUIDV7,read_throughput_mb,0.01,0.00,0.01,0.01,0.01,1000000,8
insert_performance,UUIDV7,write_throughput_mb,544.80,498.30,531.91,547.97,426.75,1000000,8
insert_performance,ULID,throughput,81464.52,73859.49,79540.71,72997.00,83724.46,1000000,8
insert_performance,ULID,p50_latency_us,7256.00,8431.00,8265.00,9042.00,7611.00,1000000,8
insert_performance,ULID,p95_latency_us,22328.00,22833.00,20772.00,22208.00,19816.00,1000000,8
insert_performance,ULID,p99_latency_us,33907.00,36482.00,28283.00,31732.00,30085.00,1000000,8
insert_performance,ULID,page_splits,101397.00,101440.00,101219.00,101452.00,101335.00,1000000,8
insert_performance,ULID,fragmentation,12.77,12.77,12.81,12.81,12.82,1000000,8
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,ULID,table_size_mb,1810.00,1811.00,1808.00,1812.00,1810.00,1000000,8
insert_performance,ULID,index_size_mb,1810.00,1811.00,1808.00,1812.00,1810.00,1000000,8
insert_performance,ULID,read_iops,0.24,0.22,0.24,0.22,0.25,1000000,8
insert_performance,ULID,write_iops,8609.64,8204.52,8395.61,8134.38,8844.49,1000000,8
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID,write_throughput_mb,484.45,449.25,473.05,444.76,497.51,1000000,8
insert_performance,ULID_MONOTONIC,throughput,110886.68,109100.32,112421.14,117776.96,107399.97,1000000,8
insert_performance,ULID_MONOTONIC,p50_latency_us,6191.00,6315.00,6339.00,6218.00,6245.00,1000000,8
insert_performance,ULID_MONOTONIC,p95_latency_us,14259.00,13963.00,13527.00,12461.00,15682.00,1000000,8
insert_performance,ULID_MONOTONIC,p99_latency_us,22386.00,19908.00,18408.00,17999.00,21679.00,1000000,8
insert_performance,ULID_MONOTONIC,page_splits,82271.00,82241.00,82336.00,82374.00,82195.00,1000000,8
insert_performance,ULID_MONOTONIC,fragmentation,12.81,12.77,12.74,12.76,12.76,1000000,8
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,ULID_MONOTONIC,table_size_mb,1470.00,1469.00,1470.00,1471.00,1468.00,1000000,8
insert_performance,ULID_MONOTONIC,index_size_mb,1470.00,1469.00,1470.00,1471.00,1468.00,1000000,8
insert_performance,ULID_MONOTONIC,read_iops,0.33,0.32,0.33,0.35,0.32,1000000,8
insert_performance,ULID_MONOTONIC,write_iops,7731.96,7532.72,7931.28,7533.37,7614.87,1000000,8
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.01,0.01,0.01,0.01,0.00,1000000,8
insert_performance,ULID_MONOTONIC,write_throughput_mb,479.31,470.41,487.74,493.35,467.63,1000000,8
insert_performance,UUIDV1,throughput,79758.47,108305.66,128163.43,88913.82,114027.85,1000000,8
insert_performance,UUIDV1,p50_latency_us,8695.00,6354.00,5991.00,7662.00,6347.00,1000000,8
insert_performance,UUIDV1,p95_latency_us,20802.00,14785.00,9413.00,18016.00,12658.00,1000000,8
insert_performance,UUIDV1,p99_latency_us,27087.00,20792.00,13035.00,23635.00,16066.00,1000000,8
insert_performance,UUIDV1,page_splits,88375.00,88428.00,88394.00,88175.00,88084.00,1000000,8
insert_performance,UUIDV1,fragmentation,12.75,12.75,12.73,12.72,12.76,1000000,8
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,UUIDV1,table_size_mb,1578.00,1579.00,1578.00,1574.00,1573.00,1000000,8
insert_performance,UUIDV1,index_size_mb,1578.00,1579.00,1578.00,1574.00,1573.00,1000000,8
insert_performance,UUIDV1,read_iops,0.24,0.32,0.38,0.26,0.34,1000000,8
insert_performance,UUIDV1,write_iops,6570.76,8085.87,9114.63,7103.64,8264.99,1000000,8
insert_performance,UUIDV1,read_throughput_mb,0.00,0.01,0.01,0.00,0.01,1000000,8
insert_performance,UUIDV1,write_throughput_mb,381.86,496.10,574.93,419.41,515.44,1000000,8
