Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,38228.97,38477.01,534.48,37910.05,39121.63,1.39,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,2521.00,2509.20,26.37,2475.00,2537.00,1.05,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,3005.00,3038.80,123.23,2923.00,3237.00,4.06,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,3508.00,3840.80,509.27,3467.00,4588.00,13.26,100000,1
insert_performance,SEQUENTIAL,page_splits,273.00,273.00,0.00,273.00,273.00,0.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,89.78,89.78,0.00,89.78,89.78,0.00,100000,1
insert_performance,SEQUENTIAL,table_size_mb,5.78,5.78,0.00,5.78,5.78,0.00,100000,1
insert_performance,SEQUENTIAL,index_size_mb,2.16,2.16,0.00,2.16,2.16,0.00,100000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_iops,778.40,786.12,12.77,775.31,800.28,1.62,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,14.13,14.23,0.22,14.03,14.50,1.54,100000,1
insert_performance,UUIDV4,throughput,34203.48,34269.64,424.51,33816.22,34842.26,1.24,100000,1
insert_performance,UUIDV4,p50_latency_us,2820.00,2816.20,20.98,2784.00,2842.00,0.75,100000,1
insert_performance,UUIDV4,p95_latency_us,3392.00,3400.00,48.09,3337.00,3467.00,1.41,100000,1
insert_performance,UUIDV4,p99_latency_us,3966.00,4155.60,334.86,3919.00,4716.00,8.06,100000,1
insert_performance,UUIDV4,page_splits,520.00,524.60,8.82,519.00,540.00,1.68,100000,1
insert_performance,UUIDV4,fragmentation,49.71,49.70,0.27,49.33,50.00,0.54,100000,1
insert_performance,UUIDV4,avg_leaf_density,66.52,65.96,1.08,64.07,66.65,1.64,100000,1
insert_performance,UUIDV4,table_size_mb,6.55,6.55,0.00,6.55,6.55,0.00,100000,1
insert_performance,UUIDV4,index_size_mb,4.09,4.13,0.07,4.09,4.25,1.67,100000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_iops,704.85,706.46,7.39,698.13,715.70,1.05,100000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_throughput_mb,13.65,13.70,0.16,13.54,13.92,1.17,100000,1
insert_performance,UUIDV7,throughput,34499.47,34603.35,398.10,34138.87,35224.77,1.15,100000,1
insert_performance,UUIDV7,p50_latency_us,2806.00,2797.40,26.25,2756.00,2823.00,0.94,100000,1
insert_performance,UUIDV7,p95_latency_us,3375.00,3357.80,37.63,3314.00,3396.00,1.12,100000,1
insert_performance,UUIDV7,p99_latency_us,3904.00,4017.60,329.05,3754.00,4568.00,8.19,100000,1
insert_performance,UUIDV7,page_splits,384.00,384.00,0.00,384.00,384.00,0.00,100000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,avg_leaf_density,89.79,89.79,0.00,89.79,89.79,0.00,100000,1
insert_performance,UUIDV7,table_size_mb,6.55,6.55,0.00,6.55,6.55,0.00,100000,1
insert_performance,UUIDV7,index_size_mb,3.03,3.03,0.00,3.03,3.03,0.00,100000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_iops,711.75,713.10,7.01,705.39,724.45,0.98,100000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_throughput_mb,13.30,13.33,0.14,13.15,13.55,1.06,100000,1
insert_performance,ULID,throughput,37511.74,37395.36,577.05,36575.40,38101.23,1.54,100000,1
insert_performance,ULID,p50_latency_us,2579.00,2584.00,37.99,2540.00,2636.00,1.47,100000,1
