Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,38905.40,38828.63,38575.62,39407.24,38328.41,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,2470.00,2494.00,2494.00,2462.00,2528.00,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,3067.00,3057.00,3011.00,2947.00,3033.00,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,3526.00,3594.00,3338.00,3892.00,3450.00,100000,1
insert_performance,SEQUENTIAL,page_splits,273.00,273.00,273.00,273.00,273.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,89.78,89.78,89.78,89.78,89.78,100000,1
insert_performance,SEQUENTIAL,table_size_mb,5.78,5.78,5.78,5.78,5.78,100000,1
insert_performance,SEQUENTIAL,index_size_mb,2.16,2.16,2.16,2.16,2.16,100000,1
insert_performance,SEQUENTIAL,read_iops,5.18,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_iops,795.58,797.73,790.85,803.86,785.35,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.09,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,14.38,14.42,14.32,14.60,14.22,100000,1
insert_performance,UUIDV4,throughput,33731.57,34082.52,34224.90,33524.28,34668.07,100000,1
insert_performance,UUIDV4,p50_latency_us,2859.00,2836.00,2819.00,2844.00,2798.00,100000,1
insert_performance,UUIDV4,p95_latency_us,3456.00,3390.00,3455.00,3441.00,3324.00,100000,1
insert_performance,UUIDV4,p99_latency_us,4130.00,4783.00,4019.00,5395.00,4414.00,100000,1
insert_performance,UUIDV4,page_splits,533.00,520.00,537.00,527.00,525.00,100000,1
insert_performance,UUIDV4,fragmentation,50.00,49.71,48.69,49.81,50.19,100000,1
insert_performance,UUIDV4,avg_leaf_density,64.91,66.52,64.42,65.64,65.89,100000,1
insert_performance,UUIDV4,table_size_mb,6.55,6.55,6.55,6.55,6.55,100000,1
insert_performance,UUIDV4,index_size_mb,4.20,4.09,4.23,4.15,4.13,100000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_iops,697.47,702.53,706.34,693.08,714.44,100000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_throughput_mb,13.51,13.63,13.69,13.44,13.85,100000,1
insert_performance,UUIDV7,throughput,33962.83,34568.68,34400.54,34882.84,33746.88,100000,1
insert_performance,UUIDV7,p50_latency_us,2815.00,2774.00,2794.00,2763.00,2866.00,100000,1
insert_performance,UUIDV7,p95_latency_us,3480.00,3362.00,3423.00,3372.00,3447.00,100000,1
insert_performance,UUIDV7,p99_latency_us,4672.00,4151.00,3954.00,3893.00,3995.00,100000,1
insert_performance,UUIDV7,page_splits,384.00,384.00,384.00,384.00,384.00,100000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,avg_leaf_density,89.79,89.79,89.79,89.79,89.79,100000,1
insert_performance,UUIDV7,table_size_mb,6.55,6.55,6.55,6.55,6.55,100000,1
insert_performance,UUIDV7,index_size_mb,3.03,3.03,3.03,3.03,3.03,100000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_iops,701.36,713.11,709.21,717.00,697.69,100000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_throughput_mb,13.11,13.31,13.28,13.43,13.03,100000,1
insert_performance,ULID,throughput,38125.30,37668.73,38215.72,36745.66,35722.22,100000,1
insert_performance,ULID,p50_latency_us,2539.00,2573.00,2529.00,2620.00,2693.00,100000,1
insert_performance,ULID,p95_latency_us,3071.00,3061.00,3025.00,3157.00,3334.00,100000,1
insert_performance,ULID,p99_latency_us,3686.00,3956.00,3613.00,4255.00,3885.00,100000,1
insert_performance,ULID,page_splits,493.00,493.00,493.00,493.00,493.00,100000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,avg_leaf_density,90.20,90.20,90.20,90.20,90.20,100000,1
insert_performance,ULID,table_size_mb,6.55,6.55,6.55,6.55,6.55,100000,1
insert_performance,ULID,index_size_mb,3.88,3.88,3.88,3.88,3.88,100000,1
insert_performance,ULID,read_iops,0.36,0.00,0.00,0.00,0.00,100000,1
