Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,27133.78,27196.08,186.20,26998.61,27422.67,0.68,100000,1
read_performance,SEQUENTIAL,p50_latency_us,34.00,34.00,0.00,34.00,34.00,0.00,100000,1
read_performance,SEQUENTIAL,p95_latency_us,49.00,48.60,0.55,48.00,49.00,1.13,100000,1
read_performance,SEQUENTIAL,p99_latency_us,491.00,487.80,33.44,436.00,524.00,6.86,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_iops,0.52,0.52,0.00,0.52,0.52,0.64,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.64,100000,1
read_performance,UUIDV4,read_throughput,26072.80,26080.95,510.81,25377.08,26738.22,1.96,100000,1
read_performance,UUIDV4,p50_latency_us,35.00,35.20,0.45,35.00,36.00,1.27,100000,1
read_performance,UUIDV4,p95_latency_us,50.00,50.40,1.14,49.00,52.00,2.26,100000,1
read_performance,UUIDV4,p99_latency_us,463.00,463.20,14.50,447.00,483.00,3.13,100000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,UUIDV4,fragmentation,49.72,49.68,0.31,49.16,50.00,0.63,100000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_iops,0.50,0.50,0.01,0.49,0.51,1.92,100000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,1.92,100000,1
