Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,26133.60,27446.22,27159.72,26088.72,26539.50,100000,1
read_performance,SEQUENTIAL,p50_latency_us,36.00,34.00,34.00,35.00,35.00,100000,1
read_performance,SEQUENTIAL,p95_latency_us,49.00,46.00,48.00,49.00,49.00,100000,1
read_performance,SEQUENTIAL,p99_latency_us,462.00,440.00,410.00,389.00,481.00,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_iops,0.50,0.52,0.52,0.50,0.51,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,read_throughput,27091.09,25885.28,26121.32,26673.04,26614.84,100000,1
read_performance,UUIDV4,p50_latency_us,34.00,35.00,35.00,35.00,35.00,100000,1
read_performance,UUIDV4,p95_latency_us,48.00,50.00,49.00,49.00,49.00,100000,1
read_performance,UUIDV4,p99_latency_us,505.00,497.00,508.00,541.00,448.00,100000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV4,fragmentation,49.62,49.62,50.09,49.90,50.09,100000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_iops,0.00,0.49,0.50,0.51,0.51,100000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
