Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,3742.19,3743.85,3.87,3740.89,3750.39,0.10,100000,1
update_performance,SEQUENTIAL,p50_latency_us,256.00,255.60,0.55,255.00,256.00,0.21,100000,1
update_performance,SEQUENTIAL,p95_latency_us,322.00,321.80,2.95,317.00,325.00,0.92,100000,1
update_performance,SEQUENTIAL,p99_latency_us,2340.00,2335.20,9.20,2320.00,2342.00,0.39,100000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_iops,7442.11,7445.47,7.75,7439.34,7458.50,0.10,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,30.31,30.32,0.03,30.29,30.37,0.10,100000,1
update_performance,UUIDV4,update_throughput,3649.76,3650.41,23.76,3617.71,3680.30,0.65,100000,1
update_performance,UUIDV4,p50_latency_us,257.00,257.00,0.00,257.00,257.00,0.00,100000,1
update_performance,UUIDV4,p95_latency_us,328.00,329.00,2.45,326.00,332.00,0.74,100000,1
update_performance,UUIDV4,p99_latency_us,2632.00,2628.00,37.46,2575.00,2675.00,1.43,100000,1
update_performance,UUIDV4,fragmentation,49.56,49.61,0.32,49.15,50.00,0.65,100000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_iops,7258.41,7259.68,46.17,7196.88,7318.36,0.64,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_throughput_mb,29.57,29.57,0.19,29.31,29.81,0.64,100000,1
update_performance,UUIDV7,update_throughput,3673.01,3674.97,15.30,3653.46,3695.60,0.42,100000,1
update_performance,UUIDV7,p50_latency_us,257.00,256.80,0.45,256.00,257.00,0.17,100000,1
update_performance,UUIDV7,p95_latency_us,324.00,323.60,1.67,321.00,325.00,0.52,100000,1
update_performance,UUIDV7,p99_latency_us,2601.00,2593.60,30.66,2540.00,2614.00,1.18,100000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_iops,7304.40,7307.92,29.76,7266.22,7348.03,0.41,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_throughput_mb,29.75,29.77,0.12,29.60,29.93,0.41,100000,1
update_performance,ULID,update_throughput,3632.58,3615.63,42.45,3554.51,3658.98,1.17,100000,1
update_performance,ULID,p50_latency_us,259.00,260.60,3.05,259.00,266.00,1.17,100000,1
update_performance,ULID,p95_latency_us,329.00,331.80,6.76,326.00,343.00,2.04,100000,1
update_performance,ULID,p99_latency_us,2440.00,2431.40,31.40,2393.00,2462.00,1.29,100000,1
update_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_iops,7227.23,7192.25,85.00,7069.55,7278.78,1.18,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_throughput_mb,29.50,29.35,0.40,28.80,29.79,1.36,100000,1
update_performance,ULID_MONOTONIC,update_throughput,3584.43,3584.42,5.12,3577.91,3591.20,0.14,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,266.00,265.60,0.55,265.00,266.00,0.21,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,337.00,337.20,0.84,336.00,338.00,0.25,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,2467.00,2477.40,28.15,2446.00,2514.00,1.14,100000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_iops,7127.15,7127.57,8.82,7116.35,7139.36,0.12,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,29.08,29.09,0.05,29.03,29.15,0.17,100000,1
update_performance,UUIDV1,update_throughput,3623.07,3608.10,34.92,3545.69,3626.26,0.97,100000,1
update_performance,UUIDV1,p50_latency_us,262.00,262.40,0.55,262.00,263.00,0.21,100000,1
update_performance,UUIDV1,p95_latency_us,333.00,332.80,1.92,330.00,335.00,0.58,100000,1
update_performance,UUIDV1,p99_latency_us,3388.00,3396.80,24.51,3366.00,3427.00,0.72,100000,1
update_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_iops,7203.73,7174.45,69.72,7049.89,7211.42,0.97,100000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_throughput_mb,29.34,29.27,0.31,28.72,29.49,1.07,100000,1
