Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,3684.49,3700.98,3742.12,3736.97,3725.54,100000,1
update_performance,SEQUENTIAL,p50_latency_us,260.00,258.00,257.00,257.00,258.00,100000,1
update_performance,SEQUENTIAL,p95_latency_us,330.00,321.00,318.00,321.00,319.00,100000,1
update_performance,SEQUENTIAL,p99_latency_us,2204.00,2400.00,2183.00,2171.00,2177.00,100000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_iops,7325.68,7360.03,7441.10,7430.36,7408.17,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,29.84,29.98,30.30,30.26,30.17,100000,1
update_performance,UUIDV4,update_throughput,3564.12,3538.83,3574.19,3518.56,3564.97,100000,1
update_performance,UUIDV4,p50_latency_us,260.00,265.00,261.00,268.00,265.00,100000,1
update_performance,UUIDV4,p95_latency_us,334.00,342.00,340.00,356.00,344.00,100000,1
update_performance,UUIDV4,p99_latency_us,2759.00,2816.00,2641.00,2772.00,2646.00,100000,1
update_performance,UUIDV4,fragmentation,49.37,50.28,50.00,49.33,50.46,100000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_iops,7087.83,7039.61,7106.75,6997.43,7088.78,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_throughput_mb,28.87,28.83,28.96,28.50,28.87,100000,1
update_performance,UUIDV7,update_throughput,3442.37,3505.23,3312.38,3565.46,3553.80,100000,1
update_performance,UUIDV7,p50_latency_us,269.00,265.00,271.00,263.00,264.00,100000,1
update_performance,UUIDV7,p95_latency_us,383.00,358.00,438.00,353.00,350.00,100000,1
update_performance,UUIDV7,p99_latency_us,2623.00,2635.00,2741.00,2680.00,2609.00,100000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_iops,6847.66,6971.74,6581.92,7087.03,7067.54,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_throughput_mb,27.89,28.40,26.81,28.86,28.79,100000,1
update_performance,ULID,update_throughput,3480.43,3409.31,3447.24,3405.73,3454.10,100000,1
update_performance,ULID,p50_latency_us,268.00,269.00,270.00,272.00,272.00,100000,1
update_performance,ULID,p95_latency_us,363.00,368.00,377.00,365.00,362.00,100000,1
update_performance,ULID,p99_latency_us,2426.00,2527.00,2498.00,2560.00,2547.00,100000,1
update_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_iops,6919.51,6781.41,6853.27,6770.42,6868.40,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_throughput_mb,28.32,27.62,27.91,27.57,27.98,100000,1
update_performance,ULID_MONOTONIC,update_throughput,3467.50,3457.78,3427.29,3458.76,3523.66,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,268.00,269.00,270.00,271.00,267.00,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,364.00,370.00,369.00,369.00,342.00,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,2504.00,2444.00,2542.00,2513.00,2467.00,100000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_iops,6896.04,6874.10,6812.40,6879.20,7006.11,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,28.09,28.01,27.75,28.02,28.54,100000,1
update_performance,UUIDV1,update_throughput,3578.41,3678.43,3657.31,3656.13,3647.23,100000,1
update_performance,UUIDV1,p50_latency_us,264.00,258.00,259.00,259.00,260.00,100000,1
update_performance,UUIDV1,p95_latency_us,337.00,318.00,320.00,321.00,325.00,100000,1
update_performance,UUIDV1,p99_latency_us,3315.00,3182.00,3182.00,2944.00,3244.00,100000,1
update_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_iops,7120.24,7315.63,7273.84,7271.81,7255.39,100000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_throughput_mb,29.35,29.80,29.63,29.61,29.66,100000,1
