Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,30058.61,30155.16,388.28,29700.11,30722.10,1.29,10000000,1
insert_performance,SEQUENTIAL,p50_latency_us,2704.00,2708.00,11.02,2698.00,2723.00,0.41,10000000,1
insert_performance,SEQUENTIAL,p95_latency_us,4038.00,3933.20,210.45,3616.00,4125.00,5.35,10000000,1
insert_performance,SEQUENTIAL,p99_latency_us,17435.00,16281.80,3631.82,9909.00,19061.00,22.31,10000000,1
insert_performance,SEQUENTIAL,page_splits,27418.00,27418.00,0.00,27418.00,27418.00,0.00,10000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,90.04,90.04,0.00,90.04,90.04,0.00,10000000,1
insert_performance,SEQUENTIAL,table_size_mb,11163.70,11163.70,0.01,11163.69,11163.72,0.00,10000000,1
insert_performance,SEQUENTIAL,index_size_mb,214.23,214.23,0.00,214.23,214.23,0.00,10000000,1
insert_performance,SEQUENTIAL,read_iops,113.87,114.31,1.69,112.51,116.24,1.48,10000000,1
insert_performance,SEQUENTIAL,write_iops,1413.45,1418.64,19.85,1392.82,1446.06,1.40,10000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,12.30,12.27,0.13,12.06,12.40,1.04,10000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,127.14,126.88,2.01,123.85,129.40,1.58,10000000,1
insert_performance,UUIDV4,throughput,23784.26,23670.02,302.44,23327.98,24022.77,1.28,10000000,1
insert_performance,UUIDV4,p50_latency_us,3535.00,3535.60,48.88,3482.00,3597.00,1.38,10000000,1
insert_performance,UUIDV4,p95_latency_us,5775.00,5737.20,169.07,5536.00,5928.00,2.95,10000000,1
insert_performance,UUIDV4,p99_latency_us,25264.00,25310.80,1321.09,23858.00,26787.00,5.22,10000000,1
insert_performance,UUIDV4,page_splits,49180.00,49382.20,602.52,48820.00,50135.00,1.22,10000000,1
insert_performance,UUIDV4,fragmentation,49.78,49.78,0.05,49.72,49.85,0.10,10000000,1
insert_performance,UUIDV4,avg_leaf_density,70.50,70.22,0.85,69.16,71.03,1.21,10000000,1
insert_performance,UUIDV4,table_size_mb,11163.68,11163.68,0.01,11163.67,11163.69,0.00,10000000,1
insert_performance,UUIDV4,index_size_mb,384.24,385.82,4.71,381.43,391.70,1.22,10000000,1
insert_performance,UUIDV4,read_iops,142.88,142.86,1.21,141.06,144.43,0.85,10000000,1
insert_performance,UUIDV4,write_iops,1660.04,1662.58,9.49,1652.91,1674.50,0.57,10000000,1
insert_performance,UUIDV4,read_throughput_mb,9.63,9.57,0.15,9.37,9.70,1.54,10000000,1
insert_performance,UUIDV4,write_throughput_mb,114.64,114.66,1.73,112.54,117.04,1.51,10000000,1
insert_performance,UUIDV7,throughput,28203.76,28142.55,499.37,27494.18,28865.53,1.77,10000000,1
insert_performance,UUIDV7,p50_latency_us,2878.00,2877.60,59.22,2789.00,2939.00,2.06,10000000,1
insert_performance,UUIDV7,p95_latency_us,4404.00,4476.60,346.83,4091.00,5028.00,7.75,10000000,1
insert_performance,UUIDV7,p99_latency_us,19409.00,19339.00,745.42,18219.00,20105.00,3.85,10000000,1
insert_performance,UUIDV7,page_splits,38502.00,38502.00,0.00,38502.00,38502.00,0.00,10000000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
