Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,30722.10,30327.93,30058.61,29700.11,29967.03,10000000,1
insert_performance,SEQUENTIAL,p50_latency_us,2723.00,2716.00,2698.00,2704.00,2699.00,10000000,1
insert_performance,SEQUENTIAL,p95_latency_us,3616.00,3824.00,4038.00,4125.00,4063.00,10000000,1
insert_performance,SEQUENTIAL,p99_latency_us,9909.00,17743.00,17261.00,19061.00,17435.00,10000000,1
insert_performance,SEQUENTIAL,page_splits,27418.00,27418.00,27418.00,27418.00,27418.00,10000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,90.04,90.04,90.04,90.04,90.04,10000000,1
insert_performance,SEQUENTIAL,table_size_mb,11163.70,11163.70,11163.69,11163.70,11163.72,10000000,1
insert_performance,SEQUENTIAL,index_size_mb,214.23,214.23,214.23,214.23,214.23,10000000,1
insert_performance,SEQUENTIAL,read_iops,116.24,115.94,112.51,113.02,113.87,10000000,1
insert_performance,SEQUENTIAL,write_iops,1446.06,1428.30,1413.45,1412.59,1392.82,10000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,12.06,12.26,12.32,12.40,12.30,10000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,129.40,127.51,127.14,126.50,123.85,10000000,1
insert_performance,UUIDV4,throughput,23327.98,23784.26,23379.94,23835.13,24022.77,10000000,1
insert_performance,UUIDV4,p50_latency_us,3597.00,3482.00,3570.00,3535.00,3494.00,10000000,1
insert_performance,UUIDV4,p95_latency_us,5857.00,5775.00,5928.00,5536.00,5590.00,10000000,1
insert_performance,UUIDV4,p99_latency_us,26482.00,26787.00,25264.00,23858.00,24163.00,10000000,1
insert_performance,UUIDV4,page_splits,49180.00,50135.00,49902.00,48874.00,48820.00,10000000,1
insert_performance,UUIDV4,fragmentation,49.85,49.79,49.78,49.72,49.75,10000000,1
insert_performance,UUIDV4,avg_leaf_density,70.50,69.16,69.49,70.94,71.03,10000000,1
insert_performance,UUIDV4,table_size_mb,11163.69,11163.68,11163.69,11163.68,11163.67,10000000,1
insert_performance,UUIDV4,index_size_mb,384.24,391.70,389.88,381.85,381.43,10000000,1
insert_performance,UUIDV4,read_iops,141.06,143.25,142.88,142.70,144.43,10000000,1
insert_performance,UUIDV4,write_iops,1674.50,1652.91,1660.04,1655.04,1670.44,10000000,1
insert_performance,UUIDV4,read_throughput_mb,9.37,9.70,9.47,9.63,9.70,10000000,1
insert_performance,UUIDV4,write_throughput_mb,112.54,115.48,113.62,114.64,117.04,10000000,1
insert_performance,UUIDV7,throughput,27930.68,28218.59,27494.18,28203.76,28865.53,10000000,1
insert_performance,UUIDV7,p50_latency_us,2923.00,2878.00,2939.00,2859.00,2789.00,10000000,1
insert_performance,UUIDV7,p95_latency_us,4333.00,4091.00,5028.00,4527.00,4404.00,10000000,1
insert_performance,UUIDV7,p99_latency_us,19409.00,19071.00,19891.00,20105.00,18219.00,10000000,1
insert_performance,UUIDV7,page_splits,38502.00,38502.00,38502.00,38502.00,38502.00,10000000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,avg_leaf_density,89.99,89.99,89.99,89.99,89.99,10000000,1
insert_performance,UUIDV7,table_size_mb,11163.70,11163.69,11163.69,11163.70,11163.70,10000000,1
insert_performance,UUIDV7,index_size_mb,300.82,300.82,300.82,300.82,300.82,10000000,1
insert_performance,UUIDV7,read_iops,149.64,152.65,144.54,157.25,113.98,10000000,1
insert_performance,UUIDV7,write_iops,1330.01,1378.62,1308.15,1354.24,1350.73,10000000,1
insert_performance,UUIDV7,read_throughput_mb,12.85,12.85,12.45,13.10,12.93,10000000,1
insert_performance,UUIDV7,write_throughput_mb,120.08,121.31,117.85,121.44,121.72,10000000,1
insert_performance,ULID,throughput,29118.51,29545.90,29684.71,28227.38,28601.73,10000000,1
insert_performance,ULID,p50_latency_us,2744.00,2700.00,2718.00,2788.00,2813.00,10000000,1
insert_performance,ULID,p95_latency_us,4527.00,4193.00,4075.00,5093.00,4636.00,10000000,1
insert_performance,ULID,p99_latency_us,20298.00,19979.00,18365.00,18846.00,20871.00,10000000,1
insert_performance,ULID,page_splits,49482.00,49473.00,49476.00,49489.00,49490.00,10000000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID,avg_leaf_density,90.25,90.27,90.26,90.24,90.23,10000000,1
insert_performance,ULID,table_size_mb,11163.70,11163.70,11163.70,11163.71,11163.70,10000000,1
insert_performance,ULID,index_size_mb,386.61,386.54,386.56,386.66,386.67,10000000,1
insert_performance,ULID,read_iops,114.49,113.92,117.78,162.10,114.20,10000000,1
insert_performance,ULID,write_iops,1378.01,1394.10,1436.14,1338.62,1363.75,10000000,1
insert_performance,ULID,read_throughput_mb,12.69,12.48,12.58,13.29,13.05,10000000,1
insert_performance,ULID,write_throughput_mb,124.18,126.13,128.83,121.32,123.03,10000000,1
insert_performance,ULID_MONOTONIC,throughput,28695.67,28803.88,29249.26,28958.97,29441.78,10000000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,2805.00,2751.00,2736.00,2768.00,2718.00,10000000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,4751.00,4889.00,4180.00,4710.00,4711.00,10000000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,21482.00,22234.00,19792.00,21103.00,21812.00,10000000,1
insert_performance,ULID_MONOTONIC,page_splits,49571.00,49571.00,49571.00,49571.00,49571.00,10000000,1
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,avg_leaf_density,90.09,90.09,90.09,90.09,90.09,10000000,1
insert_performance,ULID_MONOTONIC,table_size_mb,11163.70,11163.71,11163.71,11163.70,11163.69,10000000,1
insert_performance,ULID_MONOTONIC,index_size_mb,387.30,387.30,387.30,387.30,387.30,10000000,1
insert_performance,ULID_MONOTONIC,read_iops,114.10,115.11,115.72,113.88,116.78,10000000,1
insert_performance,ULID_MONOTONIC,write_iops,1393.27,1377.81,1402.97,1371.16,1398.15,10000000,1
insert_performance,ULID_MONOTONIC,read_throughput_mb,12.99,12.92,12.68,12.88,12.68,10000000,1
insert_performance,ULID_MONOTONIC,write_throughput_mb,125.74,125.19,126.80,123.69,126.52,10000000,1
insert_performance,UUIDV1,throughput,22820.11,22019.70,22410.09,22955.45,23379.62,10000000,1
insert_performance,UUIDV1,p50_latency_us,3683.00,3831.00,3761.00,3672.00,3618.00,10000000,1
insert_performance,UUIDV1,p95_latency_us,5538.00,5826.00,5741.00,4929.00,5216.00,10000000,1
insert_performance,UUIDV1,p99_latency_us,13365.00,13333.00,16622.00,15958.00,11361.00,10000000,1
insert_performance,UUIDV1,page_splits,65277.00,66166.00,67944.00,40359.00,40878.00,10000000,1
insert_performance,UUIDV1,fragmentation,1.10,3.30,1.77,1.30,0.00,10000000,1
insert_performance,UUIDV1,avg_leaf_density,53.32,52.61,51.24,85.88,84.80,10000000,1
insert_performance,UUIDV1,table_size_mb,11163.66,11163.70,11163.71,11163.71,11163.66,10000000,1
insert_performance,UUIDV1,index_size_mb,510.01,516.95,530.84,315.33,319.38,10000000,1
insert_performance,UUIDV1,read_iops,79.16,63.60,61.49,60.57,80.34,10000000,1
insert_performance,UUIDV1,write_iops,1154.49,1127.05,1121.64,1151.70,1167.37,10000000,1
insert_performance,UUIDV1,read_throughput_mb,0.68,1.44,0.98,0.51,0.67,10000000,1
insert_performance,UUIDV1,write_throughput_mb,96.68,98.11,99.36,100.99,98.92,10000000,1
