Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,6277.16,6314.61,82.24,6237.20,6415.28,1.30,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,166.00,165.60,1.14,164.00,167.00,0.69,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,2883.00,2877.00,38.55,2821.00,2923.00,1.34,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,3627.00,3627.60,105.96,3473.00,3772.00,2.92,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,0.54,0.54,0.01,0.53,0.54,0.93,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,0.70,0.70,0.00,0.70,0.70,0.02,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,read_iops,6383.08,6439.94,155.34,6303.04,6694.62,2.41,10000000,1
read_performance,SEQUENTIAL,write_iops,12.44,19.18,14.69,12.07,45.43,76.57,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,55.36,56.58,2.37,55.05,60.71,4.19,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,1.33,2.03,1.59,1.31,4.89,78.35,10000000,1
read_performance,UUIDV4,read_throughput,6595.68,6608.89,23.05,6590.75,6639.68,0.35,10000000,1
read_performance,UUIDV4,p50_latency_us,164.00,164.00,0.71,163.00,165.00,0.43,10000000,1
read_performance,UUIDV4,p95_latency_us,3845.00,3813.00,57.84,3746.00,3869.00,1.52,10000000,1
read_performance,UUIDV4,p99_latency_us,5024.00,4999.60,100.21,4852.00,5109.00,2.00,10000000,1
read_performance,UUIDV4,cache_hit_ratio,0.53,0.53,0.00,0.53,0.53,0.04,10000000,1
read_performance,UUIDV4,index_hit_ratio,0.67,0.67,0.00,0.67,0.68,0.06,10000000,1
read_performance,UUIDV4,fragmentation,49.76,49.78,0.06,49.71,49.86,0.11,10000000,1
read_performance,UUIDV4,read_iops,6301.43,6293.54,24.81,6266.57,6322.27,0.39,10000000,1
read_performance,UUIDV4,write_iops,351.02,363.99,37.49,334.21,425.88,10.30,10000000,1
read_performance,UUIDV4,read_throughput_mb,74.35,74.23,0.26,73.93,74.45,0.35,10000000,1
read_performance,UUIDV4,write_throughput_mb,26.11,27.78,4.41,24.19,35.04,15.88,10000000,1
read_performance,UUIDV7,read_throughput,6231.33,6205.27,83.83,6075.16,6297.48,1.35,10000000,1
read_performance,UUIDV7,p50_latency_us,166.00,166.40,0.55,166.00,167.00,0.33,10000000,1
read_performance,UUIDV7,p95_latency_us,3102.00,3083.60,33.94,3035.00,3111.00,1.10,10000000,1
read_performance,UUIDV7,p99_latency_us,3880.00,3867.80,61.72,3776.00,3946.00,1.60,10000000,1
read_performance,UUIDV7,cache_hit_ratio,0.53,0.53,0.00,0.53,0.53,0.05,10000000,1
read_performance,UUIDV7,index_hit_ratio,0.69,0.69,0.00,0.69,0.69,0.01,10000000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,read_iops,6274.50,6272.50,110.35,6129.19,6437.67,1.76,10000000,1
