Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,2414.74,2413.20,32.46,2370.72,2455.13,1.35,10000000,1
update_performance,SEQUENTIAL,p50_latency_us,375.00,374.80,0.84,374.00,376.00,0.22,10000000,1
update_performance,SEQUENTIAL,p95_latency_us,2926.00,2928.00,18.76,2909.00,2951.00,0.64,10000000,1
update_performance,SEQUENTIAL,p99_latency_us,4964.00,4915.00,219.24,4592.00,5187.00,4.46,10000000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,read_iops,1344.75,1348.36,10.37,1337.92,1360.28,0.77,10000000,1
update_performance,SEQUENTIAL,write_iops,8470.93,8454.03,109.27,8286.01,8580.88,1.29,10000000,1
update_performance,SEQUENTIAL,read_throughput_mb,11.94,11.95,0.12,11.83,12.09,0.98,10000000,1
update_performance,SEQUENTIAL,write_throughput_mb,66.13,66.07,1.68,64.25,68.32,2.54,10000000,1
update_performance,UUIDV4,update_throughput,2362.83,2361.60,11.85,2348.88,2379.68,0.50,10000000,1
update_performance,UUIDV4,p50_latency_us,374.00,374.00,1.22,372.00,375.00,0.33,10000000,1
update_performance,UUIDV4,p95_latency_us,3885.00,3875.60,23.19,3837.00,3897.00,0.60,10000000,1
update_performance,UUIDV4,p99_latency_us,5546.00,5553.00,62.08,5468.00,5641.00,1.12,10000000,1
update_performance,UUIDV4,fragmentation,49.78,49.79,0.07,49.73,49.89,0.13,10000000,1
update_performance,UUIDV4,read_iops,1246.62,1342.39,216.39,1241.50,1729.44,16.12,10000000,1
update_performance,UUIDV4,write_iops,8077.05,8109.42,151.39,7965.30,8366.56,1.87,10000000,1
update_performance,UUIDV4,read_throughput_mb,10.49,15.79,11.86,10.46,37.01,75.12,10000000,1
update_performance,UUIDV4,write_throughput_mb,85.10,85.21,1.36,83.54,86.72,1.60,10000000,1
update_performance,UUIDV7,update_throughput,2411.40,2410.29,4.69,2403.21,2414.42,0.19,10000000,1
update_performance,UUIDV7,p50_latency_us,378.00,377.60,1.14,376.00,379.00,0.30,10000000,1
update_performance,UUIDV7,p95_latency_us,3165.00,3178.80,44.51,3136.00,3253.00,1.40,10000000,1
update_performance,UUIDV7,p99_latency_us,5000.00,5000.60,58.95,4936.00,5070.00,1.18,10000000,1
