Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,2370.72,2455.13,2414.74,2430.72,2394.66,10000000,1
update_performance,SEQUENTIAL,p50_latency_us,376.00,374.00,374.00,375.00,375.00,10000000,1
update_performance,SEQUENTIAL,p95_latency_us,2951.00,2909.00,2911.00,2943.00,2926.00,10000000,1
update_performance,SEQUENTIAL,p99_latency_us,5187.00,4592.00,4840.00,4992.00,4964.00,10000000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,read_iops,1340.36,1358.48,1344.75,1360.28,1337.92,10000000,1
update_performance,SEQUENTIAL,write_iops,8286.01,8580.88,8470.93,8503.98,8428.34,10000000,1
update_performance,SEQUENTIAL,read_throughput_mb,11.83,12.09,11.94,12.05,11.85,10000000,1
update_performance,SEQUENTIAL,write_throughput_mb,64.25,68.32,67.00,64.65,66.13,10000000,1
update_performance,UUIDV4,update_throughput,2353.34,2363.25,2362.83,2379.68,2348.88,10000000,1
update_performance,UUIDV4,p50_latency_us,375.00,375.00,374.00,372.00,374.00,10000000,1
update_performance,UUIDV4,p95_latency_us,3885.00,3886.00,3897.00,3837.00,3873.00,10000000,1
update_performance,UUIDV4,p99_latency_us,5546.00,5541.00,5641.00,5468.00,5569.00,10000000,1
update_performance,UUIDV4,fragmentation,49.74,49.73,49.78,49.83,49.89,10000000,1
update_performance,UUIDV4,read_iops,1246.62,1249.19,1245.18,1729.44,1241.50,10000000,1
update_performance,UUIDV4,write_iops,8077.05,8053.55,8084.64,8366.56,7965.30,10000000,1
update_performance,UUIDV4,read_throughput_mb,10.46,10.49,10.50,37.01,10.49,10000000,1
update_performance,UUIDV4,write_throughput_mb,85.10,84.28,83.54,86.41,86.72,10000000,1
update_performance,UUIDV7,update_throughput,2408.22,2403.21,2411.40,2414.20,2414.42,10000000,1
update_performance,UUIDV7,p50_latency_us,377.00,379.00,378.00,376.00,378.00,10000000,1
update_performance,UUIDV7,p95_latency_us,3253.00,3159.00,3181.00,3165.00,3136.00,10000000,1
update_performance,UUIDV7,p99_latency_us,4936.00,5048.00,5000.00,4949.00,5070.00,10000000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,read_iops,1353.26,1349.35,1346.86,1354.57,1354.84,10000000,1
update_performance,UUIDV7,write_iops,8476.66,8484.42,8500.95,8459.88,8510.26,10000000,1
update_performance,UUIDV7,read_throughput_mb,11.77,11.71,11.72,11.80,11.82,10000000,1
update_performance,UUIDV7,write_throughput_mb,67.17,64.43,62.79,63.60,63.10,10000000,1
update_performance,ULID,update_throughput,2374.13,2368.74,2351.50,2337.01,2352.12,10000000,1
update_performance,ULID,p50_latency_us,382.00,382.00,382.00,383.00,381.00,10000000,1
update_performance,ULID,p95_latency_us,2954.00,2957.00,2956.00,2957.00,3035.00,10000000,1
update_performance,ULID,p99_latency_us,5035.00,4867.00,5030.00,4853.00,5116.00,10000000,1
update_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,read_iops,1521.78,1436.50,1431.29,1422.79,1439.38,10000000,1
update_performance,ULID,write_iops,7739.72,8691.43,8589.81,8687.66,7676.14,10000000,1
update_performance,ULID,read_throughput_mb,12.95,12.79,12.71,12.71,12.21,10000000,1
update_performance,ULID,write_throughput_mb,58.75,66.02,67.01,69.20,60.53,10000000,1
update_performance,ULID_MONOTONIC,update_throughput,2389.21,2363.13,2343.57,2348.23,2377.30,10000000,1
update_performance,ULID_MONOTONIC,p50_latency_us,382.00,383.00,382.00,382.00,381.00,10000000,1
update_performance,ULID_MONOTONIC,p95_latency_us,2967.00,2954.00,2967.00,2926.00,2978.00,10000000,1
update_performance,ULID_MONOTONIC,p99_latency_us,4936.00,5050.00,5050.00,4973.00,5036.00,10000000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,read_iops,1379.18,1445.70,1428.53,1436.02,1531.01,10000000,1
update_performance,ULID_MONOTONIC,write_iops,8618.28,8656.07,8558.55,8626.69,7866.99,10000000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,12.25,12.82,12.66,12.77,13.05,10000000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,63.88,67.12,64.56,66.09,60.82,10000000,1
update_performance,UUIDV1,update_throughput,2310.26,2284.76,2326.91,2327.45,2300.94,10000000,1
update_performance,UUIDV1,p50_latency_us,381.00,380.00,378.00,381.00,388.00,10000000,1
update_performance,UUIDV1,p95_latency_us,4061.00,3996.00,3975.00,4036.00,4083.00,10000000,1
update_performance,UUIDV1,p99_latency_us,5324.00,5598.00,5399.00,5425.00,5497.00,10000000,1
update_performance,UUIDV1,fragmentation,0.61,0.00,0.01,0.52,2.08,10000000,1
update_performance,UUIDV1,read_iops,1551.16,1465.70,1464.53,1519.13,1642.44,10000000,1
update_performance,UUIDV1,write_iops,7973.47,7788.33,8670.13,7918.46,8243.61,10000000,1
update_performance,UUIDV1,read_throughput_mb,13.35,12.58,14.38,13.06,22.14,10000000,1
update_performance,UUIDV1,write_throughput_mb,84.71,84.47,93.21,80.96,79.04,10000000,1
