Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,3240.37,3168.26,3257.39,3265.44,3254.21,1000000,1
insert_performance,SEQUENTIAL,p50_latency_us,25650.00,25655.00,25662.00,25656.00,25659.00,1000000,1
insert_performance,SEQUENTIAL,p95_latency_us,48179.00,53789.00,50309.00,50417.00,50187.00,1000000,1
insert_performance,SEQUENTIAL,p99_latency_us,125911.00,108964.00,105954.00,108999.00,108993.00,1000000,1
insert_performance,SEQUENTIAL,page_splits,2741.00,2741.00,2741.00,2741.00,2741.00,1000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,90.01,90.01,90.01,90.01,90.01,1000000,1
insert_performance,SEQUENTIAL,table_size_mb,1116.41,1116.41,1116.41,1116.42,1116.41,1000000,1
insert_performance,SEQUENTIAL,index_size_mb,21.45,21.45,21.45,21.45,21.45,1000000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_iops,109.08,79.21,76.13,77.47,76.21,1000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,13.79,7.89,8.16,8.23,8.18,1000000,1
insert_performance,UUIDV4,throughput,3255.97,3276.86,3281.60,3272.05,3267.49,1000000,1
insert_performance,UUIDV4,p50_latency_us,25712.00,25704.00,25704.00,25726.00,25715.00,1000000,1
insert_performance,UUIDV4,p95_latency_us,47487.00,46417.00,46428.00,46423.00,46568.00,1000000,1
insert_performance,UUIDV4,p99_latency_us,114199.00,109281.00,102220.00,108970.00,103932.00,1000000,1
insert_performance,UUIDV4,page_splits,4878.00,4870.00,4848.00,4841.00,4883.00,1000000,1
insert_performance,UUIDV4,fragmentation,49.97,49.89,49.99,49.81,49.84,1000000,1
