Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,18445.27,18730.12,1643.29,17247.87,20497.22,8.77,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,377.00,375.67,4.16,371.00,379.00,1.11,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,464.00,463.33,6.03,457.00,469.00,1.30,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,911.00,1334.67,1114.62,494.00,2599.00,83.51,1000000,8
insert_performance,SEQUENTIAL,page_splits,2741.00,2741.00,0.00,2741.00,2741.00,0.00,1000000,8
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,90.01,90.01,0.00,90.01,90.01,0.00,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,1116.40,1116.40,0.00,1116.40,1116.40,0.00,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,21.45,21.45,0.00,21.45,21.45,0.00,1000000,8
insert_performance,SEQUENTIAL,read_iops,0.10,1.65,2.76,0.00,4.84,167.90,1000000,8
insert_performance,SEQUENTIAL,write_iops,9467.73,9620.85,828.68,8879.41,10515.42,8.61,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.05,0.08,0.00,0.14,171.90,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,93.81,96.38,7.69,90.30,105.02,7.98,1000000,8
insert_performance,UUIDV4,throughput,18126.20,17925.52,492.97,17363.87,18286.50,2.75,1000000,8
insert_performance,UUIDV4,p50_latency_us,375.00,375.67,2.08,374.00,378.00,0.55,1000000,8
insert_performance,UUIDV4,p95_latency_us,461.00,462.00,2.65,460.00,465.00,0.57,1000000,8
insert_performance,UUIDV4,p99_latency_us,2210.00,2455.67,428.98,2206.00,2951.00,17.47,1000000,8
insert_performance,UUIDV4,page_splits,4850.00,4839.67,54.24,4781.00,4888.00,1.12,1000000,8
insert_performance,UUIDV4,fragmentation,49.92,49.85,0.13,49.70,49.94,0.27,1000000,8
insert_performance,UUIDV4,avg_leaf_density,71.47,71.62,0.81,70.90,72.50,1.13,1000000,8
insert_performance,UUIDV4,table_size_mb,1116.40,1116.40,0.00,1116.40,1116.40,0.00,1000000,8
insert_performance,UUIDV4,index_size_mb,37.92,37.84,0.42,37.38,38.22,1.12,1000000,8
insert_performance,UUIDV4,read_iops,0.67,0.54,0.40,0.09,0.86,74.24,1000000,8
insert_performance,UUIDV4,write_iops,9303.34,9198.73,251.53,8911.78,9381.08,2.73,1000000,8
insert_performance,UUIDV4,read_throughput_mb,0.00,0.01,0.01,0.00,0.01,110.19,1000000,8
insert_performance,UUIDV4,write_throughput_mb,92.86,91.80,2.79,88.64,93.92,3.04,1000000,8
insert_performance,UUIDV7,throughput,18387.74,18357.76,199.98,18144.48,18541.06,1.09,1000000,8
insert_performance,UUIDV7,p50_latency_us,375.00,375.00,0.00,375.00,375.00,0.00,1000000,8
insert_performance,UUIDV7,p95_latency_us,461.00,461.00,0.00,461.00,461.00,0.00,1000000,8
insert_performance,UUIDV7,p99_latency_us,1541.00,1700.67,397.34,1408.00,2153.00,23.36,1000000,8
insert_performance,UUIDV7,page_splits,3849.00,3849.00,0.00,3849.00,3849.00,0.00,1000000,8
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
