Scenario,KeyType,Metric,Run1,Run2,Run3,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,20497.22,18445.27,17247.87,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,371.00,377.00,379.00,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,457.00,464.00,469.00,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,494.00,911.00,2599.00,1000000,8
insert_performance,SEQUENTIAL,page_splits,2741.00,2741.00,2741.00,1000000,8
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,90.01,90.01,90.01,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,1116.40,1116.40,1116.40,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,21.45,21.45,21.45,1000000,8
insert_performance,SEQUENTIAL,read_iops,0.10,0.00,4.84,1000000,8
insert_performance,SEQUENTIAL,write_iops,10515.42,9467.73,8879.41,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.14,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,105.02,93.81,90.30,1000000,8
insert_performance,UUIDV4,throughput,17363.87,18126.20,18286.50,1000000,8
insert_performance,UUIDV4,p50_latency_us,378.00,375.00,374.00,1000000,8
insert_performance,UUIDV4,p95_latency_us,465.00,461.00,460.00,1000000,8
insert_performance,UUIDV4,p99_latency_us,2951.00,2206.00,2210.00,1000000,8
insert_performance,UUIDV4,page_splits,4850.00,4888.00,4781.00,1000000,8
insert_performance,UUIDV4,fragmentation,49.70,49.92,49.94,1000000,8
insert_performance,UUIDV4,avg_leaf_density,71.47,70.90,72.50,1000000,8
insert_performance,UUIDV4,table_size_mb,1116.40,1116.40,1116.40,1000000,8
insert_performance,UUIDV4,index_size_mb,37.92,38.22,37.38,1000000,8
insert_performance,UUIDV4,read_iops,0.67,0.86,0.09,1000000,8
insert_performance,UUIDV4,write_iops,8911.78,9303.34,9381.08,1000000,8
insert_performance,UUIDV4,read_throughput_mb,0.00,0.01,0.00,1000000,8
insert_performance,UUIDV4,write_throughput_mb,88.64,92.86,93.92,1000000,8
insert_performance,UUIDV7,throughput,18144.48,18387.74,18541.06,1000000,8
insert_performance,UUIDV7,p50_latency_us,375.00,375.00,375.00,1000000,8
insert_performance,UUIDV7,p95_latency_us,461.00,461.00,461.00,1000000,8
insert_performance,UUIDV7,p99_latency_us,2153.00,1541.00,1408.00,1000000,8
insert_performance,UUIDV7,page_splits,3849.00,3849.00,3849.00,1000000,8
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,avg_leaf_density,89.98,89.98,89.98,1000000,8
insert_performance,UUIDV7,table_size_mb,1116.41,1116.41,1116.40,1000000,8
insert_performance,UUIDV7,index_size_mb,30.10,30.10,30.10,1000000,8
insert_performance,UUIDV7,read_iops,0.00,0.07,0.04,1000000,8
insert_performance,UUIDV7,write_iops,9309.38,9442.38,9516.15,1000000,8
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,write_throughput_mb,92.45,93.77,94.65,1000000,8
insert_performance,ULID,throughput,18362.53,18129.05,18107.94,1000000,8
insert_performance,ULID,p50_latency_us,376.00,375.00,376.00,1000000,8
insert_performance,ULID,p95_latency_us,464.00,463.00,463.00,1000000,8
insert_performance,ULID,p99_latency_us,1277.00,2003.00,2016.00,1000000,8
insert_performance,ULID,page_splits,4955.00,4955.00,4955.00,1000000,8
insert_performance,ULID,fragmentation,0.00,0.00,0.00,1000000,8
insert_performance,ULID,avg_leaf_density,90.09,90.09,90.09,1000000,8
insert_performance,ULID,table_size_mb,1116.40,1116.40,1116.41,1000000,8
insert_performance,ULID,index_size_mb,38.74,38.74,38.74,1000000,8
insert_performance,ULID,read_iops,0.15,0.02,0.11,1000000,8
insert_performance,ULID,write_iops,9430.19,9308.16,9301.20,1000000,8
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,1000000,8
