Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,19836.01,19673.21,1013.38,18309.57,20916.79,5.15,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,4236.00,4342.80,287.33,4089.00,4710.00,6.62,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,8400.00,8390.20,502.66,7766.00,9033.00,5.99,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,12670.00,13170.80,1380.00,12312.00,15614.00,10.48,100000,1
insert_performance,SEQUENTIAL,sstable_count,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,SEQUENTIAL,table_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_iops,16.98,16.44,2.13,13.02,18.43,12.95,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,14.14,13.92,0.43,13.29,14.36,3.11,100000,1
insert_performance,UUIDV4,throughput,14695.89,14676.84,781.26,13612.53,15489.88,5.32,100000,1
insert_performance,UUIDV4,p50_latency_us,5866.00,5872.20,422.92,5456.00,6460.00,7.20,100000,1
insert_performance,UUIDV4,p95_latency_us,9720.00,9810.80,605.40,9090.00,10560.00,6.17,100000,1
insert_performance,UUIDV4,p99_latency_us,14128.00,14511.20,724.86,13873.00,15630.00,5.00,100000,1
insert_performance,UUIDV4,sstable_count,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,UUIDV4,table_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_iops,13.14,15.13,3.18,12.29,18.98,21.04,100000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_throughput_mb,11.46,11.51,0.72,10.43,12.29,6.23,100000,1
insert_performance,UUIDV7,throughput,18768.21,18746.41,843.82,17387.24,19564.65,4.50,100000,1
insert_performance,UUIDV7,p50_latency_us,4257.00,4288.00,241.96,4092.00,4694.00,5.64,100000,1
insert_performance,UUIDV7,p95_latency_us,8362.00,8592.80,565.51,8268.00,9597.00,6.58,100000,1
insert_performance,UUIDV7,p99_latency_us,13152.00,13069.60,1932.55,10963.00,15588.00,14.79,100000,1
insert_performance,UUIDV7,sstable_count,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,UUIDV7,table_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_iops,16.57,16.88,4.17,13.44,23.66,24.68,100000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_throughput_mb,13.50,13.40,0.48,12.66,13.81,3.55,100000,1
insert_performance,ULID,throughput,18584.20,18552.43,509.81,18008.55,19277.60,2.75,100000,1
