Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,23833.10,23998.70,419.45,23595.94,24452.61,1.75,10000000,1
insert_performance,SEQUENTIAL,p50_latency_us,3346.00,3344.60,22.11,3314.00,3370.00,0.66,10000000,1
insert_performance,SEQUENTIAL,p95_latency_us,4652.00,4632.20,65.73,4540.00,4694.00,1.42,10000000,1
insert_performance,SEQUENTIAL,p99_latency_us,6397.00,6368.80,306.10,5931.00,6737.00,4.81,10000000,1
insert_performance,SEQUENTIAL,sstable_count,4.00,4.00,0.00,4.00,4.00,0.00,10000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,SEQUENTIAL,table_size_mb,738.74,738.75,0.02,738.73,738.79,0.00,10000000,1
insert_performance,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,write_iops,48.88,49.00,2.74,45.15,52.83,5.59,10000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,28.43,28.64,0.51,28.15,29.21,1.79,10000000,1
insert_performance,UUIDV4,throughput,17276.84,17071.76,392.22,16469.80,17439.01,2.30,10000000,1
insert_performance,UUIDV4,p50_latency_us,4779.00,4777.20,115.00,4655.00,4923.00,2.41,10000000,1
insert_performance,UUIDV4,p95_latency_us,6252.00,6293.80,168.94,6135.00,6540.00,2.68,10000000,1
insert_performance,UUIDV4,p99_latency_us,8458.00,8499.00,211.42,8288.00,8845.00,2.49,10000000,1
insert_performance,UUIDV4,sstable_count,4.00,4.00,0.00,4.00,4.00,0.00,10000000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,UUIDV4,table_size_mb,912.02,912.01,0.07,911.91,912.08,0.01,10000000,1
insert_performance,UUIDV4,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,write_iops,35.68,35.37,2.40,32.53,38.50,6.79,10000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,write_throughput_mb,21.65,21.39,0.49,20.64,21.85,2.29,10000000,1
insert_performance,UUIDV7,throughput,22746.22,22636.25,264.91,22334.18,22941.79,1.17,10000000,1
