Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,23833.10,24444.20,24452.61,23595.94,23667.65,10000000,1
insert_performance,SEQUENTIAL,p50_latency_us,3346.00,3333.00,3314.00,3360.00,3370.00,10000000,1
insert_performance,SEQUENTIAL,p95_latency_us,4652.00,4590.00,4540.00,4685.00,4694.00,10000000,1
insert_performance,SEQUENTIAL,p99_latency_us,6397.00,6238.00,5931.00,6541.00,6737.00,10000000,1
insert_performance,SEQUENTIAL,sstable_count,4.00,4.00,4.00,4.00,4.00,10000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,SEQUENTIAL,table_size_mb,738.73,738.74,738.79,738.74,738.76,10000000,1
insert_performance,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,write_iops,52.83,48.88,45.15,49.59,48.54,10000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,28.43,29.21,29.16,28.15,28.23,10000000,1
insert_performance,UUIDV4,throughput,16892.14,17281.02,17439.01,17276.84,16469.80,10000000,1
insert_performance,UUIDV4,p50_latency_us,4855.00,4655.00,4674.00,4779.00,4923.00,10000000,1
insert_performance,UUIDV4,p95_latency_us,6384.00,6158.00,6135.00,6252.00,6540.00,10000000,1
insert_performance,UUIDV4,p99_latency_us,8517.00,8387.00,8288.00,8458.00,8845.00,10000000,1
insert_performance,UUIDV4,sstable_count,4.00,4.00,4.00,4.00,4.00,10000000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,UUIDV4,table_size_mb,911.96,912.02,912.08,912.07,911.91,10000000,1
