Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,530.90,530.84,6.38,523.37,540.80,1.20,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,1896.00,1895.20,19.87,1865.00,1920.00,1.05,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,2028.00,2025.60,12.18,2008.00,2041.00,0.60,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,2144.00,2130.20,32.21,2082.00,2158.00,1.51,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,SEQUENTIAL,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,write_iops,0.12,0.12,0.01,0.11,0.13,4.79,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.01,0.01,0.00,0.01,0.02,14.11,10000000,1
read_performance,UUIDV4,read_throughput,491.57,493.13,5.54,488.37,502.60,1.12,10000000,1
read_performance,UUIDV4,p50_latency_us,2039.00,2030.80,22.06,1992.00,2047.00,1.09,10000000,1
read_performance,UUIDV4,p95_latency_us,2218.00,2213.20,14.58,2188.00,2223.00,0.66,10000000,1
read_performance,UUIDV4,p99_latency_us,2325.00,2327.80,10.13,2315.00,2340.00,0.44,10000000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV4,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,write_iops,0.13,0.13,0.00,0.12,0.13,2.17,10000000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,write_throughput_mb,0.01,0.01,0.00,0.01,0.01,2.79,10000000,1
read_performance,UUIDV7,read_throughput,530.83,531.80,4.67,525.80,537.33,0.88,10000000,1
