Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,530.90,531.02,523.37,528.10,540.80,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,1896.00,1893.00,1920.00,1902.00,1865.00,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,2028.00,2021.00,2041.00,2030.00,2008.00,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,2144.00,2113.00,2158.00,2154.00,2082.00,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,SEQUENTIAL,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,write_iops,0.13,0.12,0.12,0.12,0.11,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.01,0.01,0.01,0.01,0.02,10000000,1
read_performance,UUIDV4,read_throughput,488.37,491.57,490.33,502.60,492.77,10000000,1
read_performance,UUIDV4,p50_latency_us,2047.00,2036.00,2040.00,1992.00,2039.00,10000000,1
read_performance,UUIDV4,p95_latency_us,2223.00,2214.00,2223.00,2188.00,2218.00,10000000,1
read_performance,UUIDV4,p99_latency_us,2340.00,2325.00,2336.00,2315.00,2323.00,10000000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV4,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,write_iops,0.13,0.13,0.12,0.13,0.12,10000000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,write_throughput_mb,0.01,0.01,0.01,0.01,0.01,10000000,1
read_performance,UUIDV7,read_throughput,525.80,529.46,537.33,535.58,530.83,10000000,1
read_performance,UUIDV7,p50_latency_us,1913.00,1894.00,1872.00,1868.00,1891.00,10000000,1
read_performance,UUIDV7,p95_latency_us,2036.00,2039.00,2011.00,2008.00,2046.00,10000000,1
read_performance,UUIDV7,p99_latency_us,2140.00,2153.00,2115.00,2093.00,2157.00,10000000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV7,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,write_iops,0.13,0.11,0.13,0.13,0.13,10000000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,write_throughput_mb,0.01,0.01,0.01,0.01,0.01,10000000,1
read_performance,ULID,read_throughput,519.91,525.94,524.52,524.63,524.10,10000000,1
read_performance,ULID,p50_latency_us,1915.00,1892.00,1901.00,1902.00,1900.00,10000000,1
