Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,559.51,559.81,3.44,554.44,563.27,0.62,10000000,1
update_performance,SEQUENTIAL,p50_latency_us,1801.00,1798.20,9.12,1788.00,1810.00,0.51,10000000,1
update_performance,SEQUENTIAL,p95_latency_us,1912.00,1911.00,4.47,1905.00,1916.00,0.23,10000000,1
update_performance,SEQUENTIAL,p99_latency_us,1993.00,1990.80,7.50,1979.00,1999.00,0.38,10000000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,write_iops,1.95,2.01,0.10,1.91,2.13,5.11,10000000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,write_throughput_mb,0.62,0.62,0.00,0.62,0.62,0.55,10000000,1
update_performance,UUIDV4,update_throughput,557.09,556.09,3.03,550.88,558.34,0.54,10000000,1
update_performance,UUIDV4,p50_latency_us,1805.00,1805.60,9.37,1796.00,1821.00,0.52,10000000,1
update_performance,UUIDV4,p95_latency_us,1912.00,1913.60,8.79,1904.00,1928.00,0.46,10000000,1
update_performance,UUIDV4,p99_latency_us,1994.00,1996.40,11.59,1983.00,2014.00,0.58,10000000,1
update_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_iops,2.03,2.04,0.06,1.97,2.11,3.02,10000000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_throughput_mb,0.65,0.65,0.00,0.64,0.65,0.49,10000000,1
update_performance,UUIDV7,update_throughput,556.86,558.92,4.81,555.17,567.02,0.86,10000000,1
update_performance,UUIDV7,p50_latency_us,1802.00,1800.00,10.79,1782.00,1811.00,0.60,10000000,1
update_performance,UUIDV7,p95_latency_us,1915.00,1913.00,7.25,1901.00,1919.00,0.38,10000000,1
update_performance,UUIDV7,p99_latency_us,1996.00,1998.20,16.41,1980.00,2024.00,0.82,10000000,1
