Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,559.51,563.27,562.34,554.44,559.46,10000000,1
update_performance,SEQUENTIAL,p50_latency_us,1802.00,1788.00,1790.00,1810.00,1801.00,10000000,1
update_performance,SEQUENTIAL,p95_latency_us,1912.00,1908.00,1905.00,1916.00,1914.00,10000000,1
update_performance,SEQUENTIAL,p99_latency_us,1993.00,1994.00,1979.00,1999.00,1989.00,10000000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,write_iops,1.94,2.10,1.91,2.13,1.95,10000000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,write_throughput_mb,0.62,0.62,0.62,0.62,0.62,10000000,1
update_performance,UUIDV4,update_throughput,557.09,550.88,557.94,556.20,558.34,10000000,1
update_performance,UUIDV4,p50_latency_us,1805.00,1821.00,1801.00,1805.00,1796.00,10000000,1
update_performance,UUIDV4,p95_latency_us,1912.00,1928.00,1913.00,1911.00,1904.00,10000000,1
update_performance,UUIDV4,p99_latency_us,1994.00,2014.00,1991.00,2000.00,1983.00,10000000,1
update_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_iops,2.08,2.11,1.98,1.97,2.03,10000000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_throughput_mb,0.65,0.64,0.65,0.65,0.65,10000000,1
update_performance,UUIDV7,update_throughput,567.02,556.03,556.86,559.51,555.17,10000000,1
update_performance,UUIDV7,p50_latency_us,1782.00,1802.00,1801.00,1804.00,1811.00,10000000,1
update_performance,UUIDV7,p95_latency_us,1901.00,1912.00,1919.00,1915.00,1918.00,10000000,1
update_performance,UUIDV7,p99_latency_us,1980.00,1990.00,2024.00,2001.00,1996.00,10000000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,write_iops,1.97,2.10,2.09,2.10,2.06,10000000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,write_throughput_mb,0.65,0.64,0.64,0.65,0.64,10000000,1
update_performance,ULID,update_throughput,557.76,554.17,554.72,555.56,557.05,10000000,1
update_performance,ULID,p50_latency_us,1791.00,1800.00,1799.00,1793.00,1792.00,10000000,1
update_performance,ULID,p95_latency_us,1907.00,1916.00,1921.00,1910.00,1912.00,10000000,1
update_performance,ULID,p99_latency_us,1998.00,2004.00,2008.00,2000.00,2000.00,10000000,1
update_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,write_iops,1.89,1.93,2.10,2.00,2.05,10000000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,write_throughput_mb,0.65,0.64,0.64,0.65,0.65,10000000,1
update_performance,ULID_MONOTONIC,update_throughput,555.90,557.25,555.86,553.55,552.65,10000000,1
update_performance,ULID_MONOTONIC,p50_latency_us,1798.00,1790.00,1794.00,1803.00,1802.00,10000000,1
update_performance,ULID_MONOTONIC,p95_latency_us,1908.00,1908.00,1915.00,1920.00,1919.00,10000000,1
update_performance,ULID_MONOTONIC,p99_latency_us,1997.00,1994.00,2003.00,2007.00,2004.00,10000000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,write_iops,2.11,1.98,1.94,1.97,1.95,10000000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,0.64,0.64,0.64,0.64,0.64,10000000,1
update_performance,UUIDV1,update_throughput,557.92,558.24,557.53,558.41,559.68,10000000,1
update_performance,UUIDV1,p50_latency_us,1799.00,1798.00,1803.00,1793.00,1797.00,10000000,1
update_performance,UUIDV1,p95_latency_us,1910.00,1907.00,1917.00,1902.00,1912.00,10000000,1
update_performance,UUIDV1,p99_latency_us,1986.00,1984.00,2014.00,1986.00,2007.00,10000000,1
update_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,write_iops,1.91,1.98,2.04,2.04,1.92,10000000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,write_throughput_mb,0.64,0.64,0.64,0.64,0.65,10000000,1
