Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,20240.03,21152.67,21096.73,21683.67,20524.62,1000000,1
insert_performance,SEQUENTIAL,p50_latency_us,3995.00,3812.00,3758.00,3847.00,4005.00,1000000,1
insert_performance,SEQUENTIAL,p95_latency_us,6081.00,5710.00,5718.00,5821.00,6082.00,1000000,1
insert_performance,SEQUENTIAL,p99_latency_us,8155.00,8592.00,8107.00,8227.00,8466.00,1000000,1
insert_performance,SEQUENTIAL,sstable_count,3.00,3.00,3.00,3.00,3.00,1000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,SEQUENTIAL,table_size_mb,59.84,59.94,59.93,59.93,59.93,1000000,1
insert_performance,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_iops,26.89,23.83,25.42,27.52,25.71,1000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,20.04,20.96,20.89,21.45,20.30,1000000,1
insert_performance,UUIDV4,throughput,15798.97,15110.80,14955.73,15133.06,15482.69,1000000,1
insert_performance,UUIDV4,p50_latency_us,5182.00,5361.00,5394.00,5265.00,5194.00,1000000,1
insert_performance,UUIDV4,p95_latency_us,7350.00,7890.00,8172.00,8140.00,7754.00,1000000,1
insert_performance,UUIDV4,p99_latency_us,10490.00,10538.00,11210.00,11062.00,10975.00,1000000,1
insert_performance,UUIDV4,sstable_count,3.00,3.00,3.00,3.00,3.00,1000000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,UUIDV4,table_size_mb,73.98,74.01,74.01,73.91,74.01,1000000,1
insert_performance,UUIDV4,index_size_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,write_iops,19.71,21.48,21.09,21.85,19.75,1000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,write_throughput_mb,16.45,15.72,15.57,15.77,16.10,1000000,1
insert_performance,UUIDV7,throughput,19668.52,19948.63,19933.44,19773.12,20443.35,1000000,1
insert_performance,UUIDV7,p50_latency_us,3806.00,3918.00,3828.00,3922.00,3857.00,1000000,1
insert_performance,UUIDV7,p95_latency_us,5601.00,5834.00,5734.00,5715.00,5654.00,1000000,1
insert_performance,UUIDV7,p99_latency_us,7971.00,8050.00,8680.00,8326.00,8324.00,1000000,1
insert_performance,UUIDV7,sstable_count,3.00,3.00,3.00,3.00,3.00,1000000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,UUIDV7,table_size_mb,66.36,66.36,66.36,66.36,66.35,1000000,1
insert_performance,UUIDV7,index_size_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,write_iops,23.06,25.85,24.46,25.52,25.32,1000000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,write_throughput_mb,20.23,20.49,20.44,20.27,20.96,1000000,1
insert_performance,ULID,throughput,19782.70,19613.33,17886.46,18897.26,18956.92,1000000,1
insert_performance,ULID,p50_latency_us,3829.00,4010.00,4325.00,4173.00,4136.00,1000000,1
insert_performance,ULID,p95_latency_us,5875.00,5790.00,6811.00,6342.00,6413.00,1000000,1
insert_performance,ULID,p99_latency_us,8282.00,7805.00,8837.00,8480.00,8562.00,1000000,1
insert_performance,ULID,sstable_count,3.00,3.00,3.00,3.00,3.00,1000000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,ULID,table_size_mb,67.03,67.03,67.04,67.04,67.05,1000000,1
insert_performance,ULID,index_size_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID,write_iops,24.02,25.56,23.94,23.89,26.71,1000000,1
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID,write_throughput_mb,20.31,20.20,18.45,19.45,19.49,1000000,1
insert_performance,ULID_MONOTONIC,throughput,20601.25,20549.85,19490.37,21513.54,19975.38,1000000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,3809.00,3887.00,4090.00,3705.00,3986.00,1000000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,5842.00,5840.00,6380.00,5280.00,6158.00,1000000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,8321.00,8428.00,8466.00,7355.00,8420.00,1000000,1
insert_performance,ULID_MONOTONIC,sstable_count,3.00,3.00,3.00,3.00,3.00,1000000,1
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,ULID_MONOTONIC,table_size_mb,63.26,63.27,63.27,63.26,63.28,1000000,1
insert_performance,ULID_MONOTONIC,index_size_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID_MONOTONIC,write_iops,24.86,26.96,25.89,25.60,26.70,1000000,1
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,ULID_MONOTONIC,write_throughput_mb,21.06,21.06,19.97,22.00,20.48,1000000,1
insert_performance,UUIDV1,throughput,20721.57,21070.70,19847.86,20828.37,20771.67,1000000,1
insert_performance,UUIDV1,p50_latency_us,3842.00,3897.00,3999.00,3968.00,3882.00,1000000,1
insert_performance,UUIDV1,p95_latency_us,5739.00,6044.00,6316.00,5861.00,5756.00,1000000,1
insert_performance,UUIDV1,p99_latency_us,7929.00,8828.00,8877.00,7821.00,7693.00,1000000,1
insert_performance,UUIDV1,sstable_count,3.00,3.00,3.00,3.00,3.00,1000000,1
insert_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,UUIDV1,table_size_mb,60.61,60.61,60.61,60.61,60.61,1000000,1
insert_performance,UUIDV1,index_size_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV1,write_iops,27.95,25.13,27.95,27.36,26.72,1000000,1
insert_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV1,write_throughput_mb,21.15,21.44,20.25,21.23,21.26,1000000,1
read_performance,SEQUENTIAL,read_throughput,522.17,521.79,522.71,533.35,528.48,1000000,1
read_performance,SEQUENTIAL,p50_latency_us,1913.00,1921.00,1915.00,1890.00,1902.00,1000000,1
read_performance,SEQUENTIAL,p95_latency_us,2057.00,2068.00,2057.00,2031.00,2055.00,1000000,1
read_performance,SEQUENTIAL,p99_latency_us,2288.00,2220.00,2239.00,2213.00,2245.00,1000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,1000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,1000000,1
read_performance,SEQUENTIAL,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,SEQUENTIAL,write_iops,0.23,0.23,0.23,0.21,0.21,1000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.07,0.07,0.07,0.07,0.07,1000000,1
read_performance,UUIDV4,read_throughput,514.33,520.88,518.90,518.43,516.70,1000000,1
read_performance,UUIDV4,p50_latency_us,1942.00,1921.00,1926.00,1930.00,1937.00,1000000,1
read_performance,UUIDV4,p95_latency_us,2151.00,2134.00,2128.00,2133.00,2148.00,1000000,1
read_performance,UUIDV4,p99_latency_us,2279.00,2304.00,2274.00,2250.00,2297.00,1000000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,1000000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,1000000,1
read_performance,UUIDV4,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,UUIDV4,write_iops,0.18,0.17,0.18,0.17,0.18,1000000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,UUIDV4,write_throughput_mb,0.01,0.01,0.01,0.01,0.01,1000000,1
read_performance,UUIDV7,read_throughput,530.63,528.76,524.16,522.13,522.42,1000000,1
read_performance,UUIDV7,p50_latency_us,1885.00,1897.00,1907.00,1919.00,1917.00,1000000,1
read_performance,UUIDV7,p95_latency_us,2053.00,2042.00,2057.00,2051.00,2071.00,1000000,1
read_performance,UUIDV7,p99_latency_us,2246.00,2241.00,2237.00,2197.00,2282.00,1000000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,1000000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,1000000,1
read_performance,UUIDV7,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,UUIDV7,write_iops,0.19,0.17,0.16,0.11,0.16,1000000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,UUIDV7,write_throughput_mb,0.01,0.01,0.01,0.01,0.01,1000000,1
read_performance,ULID,read_throughput,523.20,523.86,519.47,526.17,521.00,1000000,1
read_performance,ULID,p50_latency_us,1902.00,1903.00,1909.00,1887.00,1910.00,1000000,1
read_performance,ULID,p95_latency_us,2046.00,2046.00,2054.00,2051.00,2068.00,1000000,1
read_performance,ULID,p99_latency_us,2217.00,2230.00,2225.00,2260.00,2272.00,1000000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,1000000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,1000000,1
read_performance,ULID,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,ULID,write_iops,0.18,0.16,0.18,0.18,0.16,1000000,1
read_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,ULID,write_throughput_mb,0.01,0.01,0.01,0.01,0.01,1000000,1
read_performance,ULID_MONOTONIC,read_throughput,522.98,517.46,520.61,525.21,518.09,1000000,1
read_performance,ULID_MONOTONIC,p50_latency_us,1904.00,1921.00,1912.00,1897.00,1919.00,1000000,1
read_performance,ULID_MONOTONIC,p95_latency_us,2056.00,2061.00,2070.00,2049.00,2056.00,1000000,1
read_performance,ULID_MONOTONIC,p99_latency_us,2311.00,2289.00,2238.00,2229.00,2243.00,1000000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,1000000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,1000000,1
read_performance,ULID_MONOTONIC,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,ULID_MONOTONIC,write_iops,0.17,0.17,0.15,0.11,0.16,1000000,1
read_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,ULID_MONOTONIC,write_throughput_mb,0.01,0.01,0.01,0.01,0.01,1000000,1
read_performance,UUIDV1,read_throughput,526.62,525.18,534.34,534.11,525.01,1000000,1
read_performance,UUIDV1,p50_latency_us,1904.00,1906.00,1885.00,1876.00,1910.00,1000000,1
read_performance,UUIDV1,p95_latency_us,2044.00,2053.00,2038.00,2016.00,2043.00,1000000,1
read_performance,UUIDV1,p99_latency_us,2188.00,2235.00,2237.00,2139.00,2203.00,1000000,1
read_performance,UUIDV1,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,1000000,1
read_performance,UUIDV1,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,1000000,1
read_performance,UUIDV1,bloom_filter_fp,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
read_performance,UUIDV1,write_iops,0.15,0.10,0.16,0.20,0.16,1000000,1
