Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,28362.28,27898.03,1072.46,26381.42,29017.37,3.84,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,6443.00,6362.00,214.94,5986.00,6515.00,3.38,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,81209.00,81168.80,308.58,80824.00,81602.00,0.38,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,94175.00,94006.20,1595.39,92529.00,96425.00,1.70,1000000,8
insert_performance,SEQUENTIAL,sstable_count,2.00,3.20,1.64,2.00,5.00,51.35,1000000,8
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,70.60,69.88,1.71,66.94,71.22,2.45,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_iops,42.58,41.63,1.81,39.09,43.08,4.35,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,28.12,27.67,1.03,26.26,28.79,3.71,1000000,8
insert_performance,UUIDV4,throughput,17266.33,17159.60,657.49,16413.15,18128.95,3.83,1000000,8
insert_performance,UUIDV4,p50_latency_us,11074.00,10981.40,983.18,9662.00,12006.00,8.95,1000000,8
insert_performance,UUIDV4,p95_latency_us,92503.00,91968.00,1748.11,89107.00,93362.00,1.90,1000000,8
insert_performance,UUIDV4,p99_latency_us,203728.00,235546.20,83855.79,176847.00,383606.00,35.60,1000000,8
insert_performance,UUIDV4,sstable_count,4.00,3.20,1.10,2.00,4.00,34.23,1000000,8
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,UUIDV4,table_size_mb,85.82,86.59,1.96,84.70,89.60,2.27,1000000,8
insert_performance,UUIDV4,index_size_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_iops,34.63,34.56,1.04,33.23,35.86,3.02,1000000,8
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_throughput_mb,19.75,19.61,0.72,18.83,20.67,3.68,1000000,8
