Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,3100.51,3144.72,102.87,3063.61,3318.92,3.27,100000,1
read_performance,SEQUENTIAL,p50_latency_us,298.00,296.40,6.02,286.00,301.00,2.03,100000,1
read_performance,SEQUENTIAL,p95_latency_us,453.00,450.00,5.66,440.00,453.00,1.26,100000,1
read_performance,SEQUENTIAL,p99_latency_us,694.00,689.60,11.67,671.00,702.00,1.69,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_iops,0.31,0.24,0.11,0.09,0.33,46.39,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.01,0.01,0.00,0.00,0.01,41.20,100000,1
read_performance,UUIDV4,read_throughput,2954.19,2922.08,58.47,2844.69,2977.94,2.00,100000,1
read_performance,UUIDV4,p50_latency_us,303.00,303.20,2.39,300.00,306.00,0.79,100000,1
read_performance,UUIDV4,p95_latency_us,549.00,531.80,48.49,478.00,576.00,9.12,100000,1
read_performance,UUIDV4,p99_latency_us,886.00,882.00,25.30,842.00,910.00,2.87,100000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.06,100000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.06,100000,1
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_iops,0.23,0.20,0.08,0.11,0.29,40.97,100000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
