Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,2749.62,2805.42,173.78,2635.08,3075.98,6.19,100000,1
update_performance,SEQUENTIAL,p50_latency_us,355.00,352.00,11.14,333.00,362.00,3.16,100000,1
update_performance,SEQUENTIAL,p95_latency_us,497.00,494.20,10.55,477.00,505.00,2.13,100000,1
update_performance,SEQUENTIAL,p99_latency_us,665.00,652.40,29.20,601.00,671.00,4.48,100000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_iops,17.13,17.11,0.20,16.79,17.37,1.20,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,3.25,3.33,0.22,3.12,3.66,6.51,100000,1
update_performance,UUIDV4,update_throughput,2555.37,2567.18,70.75,2476.62,2648.48,2.76,100000,1
update_performance,UUIDV4,p50_latency_us,369.00,369.60,4.93,364.00,376.00,1.33,100000,1
update_performance,UUIDV4,p95_latency_us,535.00,540.20,16.41,521.00,561.00,3.04,100000,1
update_performance,UUIDV4,p99_latency_us,878.00,877.00,13.10,857.00,890.00,1.49,100000,1
update_performance,UUIDV4,fragmentation,0.04,0.05,0.04,0.00,0.11,81.41,100000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_iops,17.18,17.13,0.11,16.99,17.24,0.62,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_throughput_mb,3.06,3.08,0.09,2.97,3.17,2.91,100000,1
update_performance,UUIDV7,update_throughput,2555.82,2543.20,34.89,2491.19,2581.02,1.37,100000,1
update_performance,UUIDV7,p50_latency_us,368.00,369.80,3.03,367.00,374.00,0.82,100000,1
update_performance,UUIDV7,p95_latency_us,535.00,541.40,10.64,534.00,559.00,1.97,100000,1
update_performance,UUIDV7,p99_latency_us,878.00,879.40,8.02,873.00,893.00,0.91,100000,1
update_performance,UUIDV7,fragmentation,0.04,0.06,0.07,0.00,0.15,113.51,100000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_iops,16.89,16.88,0.04,16.84,16.93,0.23,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_throughput_mb,3.02,3.03,0.03,2.99,3.07,1.12,100000,1
update_performance,ULID,update_throughput,2536.09,2555.29,46.79,2508.02,2606.26,1.83,100000,1
update_performance,ULID,p50_latency_us,371.00,369.80,3.56,366.00,373.00,0.96,100000,1
update_performance,ULID,p95_latency_us,545.00,548.40,22.52,528.00,584.00,4.11,100000,1
update_performance,ULID,p99_latency_us,886.00,884.60,15.85,864.00,907.00,1.79,100000,1
update_performance,ULID,fragmentation,0.00,0.01,0.02,0.00,0.04,136.93,100000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_iops,16.98,16.99,0.11,16.85,17.15,0.62,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_throughput_mb,3.06,3.06,0.06,3.00,3.13,1.87,100000,1
update_performance,ULID_MONOTONIC,update_throughput,2539.12,2550.24,44.61,2489.58,2600.24,1.75,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,371.00,369.80,3.56,364.00,373.00,0.96,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,547.00,546.00,8.89,535.00,555.00,1.63,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,886.00,884.40,8.26,872.00,893.00,0.93,100000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.02,0.03,0.00,0.07,149.05,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_iops,16.98,17.01,0.21,16.78,17.23,1.24,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,3.06,3.06,0.04,3.00,3.11,1.37,100000,1
update_performance,UUIDV1,update_throughput,2517.79,2549.52,81.79,2484.08,2682.68,3.21,100000,1
update_performance,UUIDV1,p50_latency_us,373.00,370.00,5.34,362.00,374.00,1.44,100000,1
update_performance,UUIDV1,p95_latency_us,554.00,550.80,23.30,516.00,578.00,4.23,100000,1
update_performance,UUIDV1,p99_latency_us,889.00,881.80,20.20,848.00,900.00,2.29,100000,1
update_performance,UUIDV1,fragmentation,0.00,0.03,0.05,0.00,0.11,162.95,100000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_iops,17.11,17.09,0.10,16.93,17.18,0.59,100000,1
