Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,2749.62,2698.15,3075.98,2635.08,2868.29,100000,1
update_performance,SEQUENTIAL,p50_latency_us,355.00,357.00,333.00,362.00,353.00,100000,1
update_performance,SEQUENTIAL,p95_latency_us,497.00,499.00,477.00,505.00,493.00,100000,1
update_performance,SEQUENTIAL,p99_latency_us,668.00,665.00,601.00,671.00,657.00,100000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_iops,16.79,17.14,17.37,17.11,17.13,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,3.25,3.19,3.66,3.12,3.42,100000,1
update_performance,UUIDV4,update_throughput,2476.62,2626.94,2528.47,2648.48,2555.37,100000,1
update_performance,UUIDV4,p50_latency_us,376.00,366.00,373.00,364.00,369.00,100000,1
update_performance,UUIDV4,p95_latency_us,553.00,531.00,561.00,521.00,535.00,100000,1
update_performance,UUIDV4,p99_latency_us,887.00,873.00,890.00,857.00,878.00,100000,1
update_performance,UUIDV4,fragmentation,0.04,0.11,0.04,0.07,0.00,100000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_iops,17.18,17.24,17.19,17.04,16.99,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_throughput_mb,2.97,3.17,3.02,3.16,3.06,100000,1
update_performance,UUIDV7,update_throughput,2581.02,2491.19,2555.82,2560.93,2527.04,100000,1
update_performance,UUIDV7,p50_latency_us,368.00,374.00,368.00,367.00,372.00,100000,1
update_performance,UUIDV7,p95_latency_us,544.00,559.00,535.00,534.00,535.00,100000,1
update_performance,UUIDV7,p99_latency_us,879.00,893.00,873.00,878.00,874.00,100000,1
update_performance,UUIDV7,fragmentation,0.15,0.00,0.11,0.04,0.00,100000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_iops,16.90,16.93,16.84,16.84,16.89,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_throughput_mb,3.05,3.00,3.07,3.02,2.99,100000,1
update_performance,ULID,update_throughput,2521.59,2606.26,2604.49,2536.09,2508.02,100000,1
update_performance,ULID,p50_latency_us,373.00,366.00,366.00,371.00,373.00,100000,1
update_performance,ULID,p95_latency_us,545.00,531.00,528.00,554.00,584.00,100000,1
update_performance,ULID,p99_latency_us,886.00,877.00,864.00,889.00,907.00,100000,1
update_performance,ULID,fragmentation,0.04,0.04,0.00,0.00,0.00,100000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_iops,16.98,17.15,16.85,16.98,17.01,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_throughput_mb,3.00,3.13,3.12,3.06,3.02,100000,1
update_performance,ULID_MONOTONIC,update_throughput,2534.49,2587.77,2489.58,2600.24,2539.12,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,371.00,369.00,373.00,364.00,372.00,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,555.00,539.00,554.00,547.00,535.00,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,890.00,881.00,886.00,893.00,872.00,100000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.04,0.00,0.07,0.00,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_iops,17.23,17.23,16.98,16.85,16.78,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,3.06,3.11,3.00,3.08,3.05,100000,1
update_performance,UUIDV1,update_throughput,2517.79,2682.68,2570.85,2492.23,2484.08,100000,1
update_performance,UUIDV1,p50_latency_us,374.00,362.00,367.00,374.00,373.00,100000,1
update_performance,UUIDV1,p95_latency_us,563.00,516.00,554.00,543.00,578.00,100000,1
update_performance,UUIDV1,p99_latency_us,889.00,848.00,892.00,880.00,900.00,100000,1
update_performance,UUIDV1,fragmentation,0.00,0.04,0.00,0.00,0.11,100000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_iops,17.17,17.05,17.18,16.93,17.11,100000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_throughput_mb,3.05,3.23,3.10,3.01,2.99,100000,1
update_performance,OBJECTID,update_throughput,2774.03,2824.90,2627.45,2775.51,2830.53,100000,1
update_performance,OBJECTID,p50_latency_us,358.00,353.00,365.00,355.00,355.00,100000,1
update_performance,OBJECTID,p95_latency_us,497.00,494.00,502.00,496.00,496.00,100000,1
update_performance,OBJECTID,p99_latency_us,661.00,659.00,684.00,668.00,672.00,100000,1
update_performance,OBJECTID,fragmentation,0.00,0.11,0.00,0.00,0.00,100000,1
update_performance,OBJECTID,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,OBJECTID,write_iops,17.05,17.05,16.88,16.84,17.49,100000,1
update_performance,OBJECTID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,OBJECTID,write_throughput_mb,3.31,3.37,3.15,3.31,3.37,100000,1
