Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,32413.21,32369.46,323.32,31956.42,32823.52,1.00,10000000,1
insert_performance,SEQUENTIAL,p50_latency_us,2660.00,2669.60,35.25,2625.00,2721.00,1.32,10000000,1
insert_performance,SEQUENTIAL,p95_latency_us,4285.00,4271.20,28.75,4222.00,4293.00,0.67,10000000,1
insert_performance,SEQUENTIAL,p99_latency_us,4591.00,4576.00,48.03,4494.00,4616.00,1.05,10000000,1
insert_performance,SEQUENTIAL,page_splits,1648.00,1648.80,4.09,1645.00,1654.00,0.25,10000000,1
insert_performance,SEQUENTIAL,fragmentation,0.08,0.06,0.03,0.02,0.08,39.99,10000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,SEQUENTIAL,table_size_mb,1059.86,1059.81,0.27,1059.44,1060.10,0.03,10000000,1
insert_performance,SEQUENTIAL,index_size_mb,124.55,124.49,0.14,124.23,124.58,0.12,10000000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,write_iops,21.63,21.61,0.53,20.87,22.36,2.47,10000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,6.42,6.42,0.07,6.33,6.50,1.08,10000000,1
insert_performance,UUIDV4,throughput,22880.75,22896.04,150.51,22703.59,23122.80,0.66,10000000,1
insert_performance,UUIDV4,p50_latency_us,3661.00,3670.00,36.88,3632.00,3731.00,1.01,10000000,1
insert_performance,UUIDV4,p95_latency_us,5337.00,5340.00,49.58,5278.00,5416.00,0.93,10000000,1
insert_performance,UUIDV4,p99_latency_us,5964.00,6018.40,121.75,5906.00,6160.00,2.02,10000000,1
insert_performance,UUIDV4,page_splits,21974.00,21909.40,211.25,21659.00,22162.00,0.96,10000000,1
insert_performance,UUIDV4,fragmentation,0.03,0.05,0.04,0.01,0.10,77.60,10000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,UUIDV4,table_size_mb,1070.43,1070.55,0.38,1070.11,1071.09,0.04,10000000,1
insert_performance,UUIDV4,index_size_mb,672.11,672.06,3.41,668.01,676.11,0.51,10000000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,write_iops,435.06,447.41,30.14,423.97,499.21,6.74,10000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,write_throughput_mb,34.60,34.54,0.67,33.81,35.54,1.95,10000000,1
insert_performance,UUIDV7,throughput,29079.40,29060.98,100.89,28915.44,29173.89,0.35,10000000,1
insert_performance,UUIDV7,p50_latency_us,2740.00,2742.40,6.88,2736.00,2752.00,0.25,10000000,1
insert_performance,UUIDV7,p95_latency_us,4351.00,4340.60,21.13,4313.00,4358.00,0.49,10000000,1
insert_performance,UUIDV7,p99_latency_us,4645.00,4636.20,28.77,4603.00,4674.00,0.62,10000000,1
insert_performance,UUIDV7,page_splits,1700.00,1704.40,16.10,1690.00,1728.00,0.94,10000000,1
insert_performance,UUIDV7,fragmentation,0.04,0.04,0.02,0.02,0.08,44.26,10000000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,10000000,1
insert_performance,UUIDV7,table_size_mb,1070.46,1070.47,0.21,1070.23,1070.80,0.02,10000000,1
insert_performance,UUIDV7,index_size_mb,201.74,201.69,0.14,201.47,201.84,0.07,10000000,1
