Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,32461.01,32413.21,32823.52,31956.42,32193.15,10000000,1
insert_performance,SEQUENTIAL,p50_latency_us,2660.00,2660.00,2625.00,2721.00,2682.00,10000000,1
insert_performance,SEQUENTIAL,p95_latency_us,4286.00,4270.00,4222.00,4285.00,4293.00,10000000,1
insert_performance,SEQUENTIAL,p99_latency_us,4616.00,4602.00,4494.00,4577.00,4591.00,10000000,1
insert_performance,SEQUENTIAL,page_splits,1645.00,1654.00,1645.00,1648.00,1652.00,10000000,1
insert_performance,SEQUENTIAL,fragmentation,0.08,0.06,0.08,0.02,0.08,10000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,SEQUENTIAL,table_size_mb,1060.02,1059.65,1059.86,1059.44,1060.10,10000000,1
insert_performance,SEQUENTIAL,index_size_mb,124.52,124.23,124.55,124.55,124.58,10000000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,write_iops,22.36,20.87,21.63,21.70,21.47,10000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,6.50,6.48,6.40,6.33,6.42,10000000,1
insert_performance,UUIDV4,throughput,23122.80,22703.59,22880.75,22857.09,22915.96,10000000,1
insert_performance,UUIDV4,p50_latency_us,3632.00,3731.00,3656.00,3670.00,3661.00,10000000,1
insert_performance,UUIDV4,p95_latency_us,5278.00,5416.00,5326.00,5343.00,5337.00,10000000,1
insert_performance,UUIDV4,p99_latency_us,5906.00,6160.00,5964.00,6139.00,5923.00,10000000,1
insert_performance,UUIDV4,page_splits,22162.00,21974.00,21725.00,21659.00,22027.00,10000000,1
insert_performance,UUIDV4,fragmentation,0.10,0.01,0.06,0.03,0.03,10000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,UUIDV4,table_size_mb,1071.09,1070.11,1070.74,1070.43,1070.37,10000000,1
insert_performance,UUIDV4,index_size_mb,676.11,672.11,674.64,668.01,669.42,10000000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,write_iops,431.60,499.21,447.19,423.97,435.06,10000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,write_throughput_mb,34.71,35.54,34.04,33.81,34.60,10000000,1
insert_performance,UUIDV7,throughput,29011.75,29124.43,29173.89,28915.44,29079.40,10000000,1
insert_performance,UUIDV7,p50_latency_us,2737.00,2740.00,2736.00,2752.00,2747.00,10000000,1
insert_performance,UUIDV7,p95_latency_us,4358.00,4351.00,4313.00,4358.00,4323.00,10000000,1
insert_performance,UUIDV7,p99_latency_us,4647.00,4645.00,4603.00,4674.00,4612.00,10000000,1
insert_performance,UUIDV7,page_splits,1691.00,1713.00,1728.00,1690.00,1700.00,10000000,1
insert_performance,UUIDV7,fragmentation,0.02,0.08,0.04,0.05,0.04,10000000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,UUIDV7,table_size_mb,1070.23,1070.80,1070.46,1070.48,1070.41,10000000,1
insert_performance,UUIDV7,index_size_mb,201.74,201.77,201.84,201.63,201.47,10000000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,write_iops,20.43,21.38,21.08,20.13,20.81,10000000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,write_throughput_mb,6.37,6.44,6.32,6.37,6.39,10000000,1
insert_performance,ULID,throughput,28388.24,28550.37,28369.46,28558.28,28642.55,10000000,1
insert_performance,ULID,p50_latency_us,2850.00,2827.00,2849.00,2833.00,2823.00,10000000,1
insert_performance,ULID,p95_latency_us,4461.00,4417.00,4448.00,4434.00,4411.00,10000000,1
insert_performance,ULID,p99_latency_us,4810.00,4714.00,4755.00,4763.00,4698.00,10000000,1
insert_performance,ULID,page_splits,1684.00,1695.00,1691.00,1687.00,1694.00,10000000,1
insert_performance,ULID,fragmentation,0.04,0.05,0.05,0.05,0.06,10000000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,10000000,1
insert_performance,ULID,table_size_mb,1070.44,1070.55,1070.52,1070.52,1070.67,10000000,1
insert_performance,ULID,index_size_mb,202.14,202.13,201.91,202.27,202.29,10000000,1
insert_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID,write_iops,21.46,21.18,22.60,22.42,23.15,10000000,1
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID,write_throughput_mb,6.21,6.29,6.08,6.34,6.15,10000000,1
insert_performance,ULID_MONOTONIC,throughput,30774.88,30971.34,30698.44,31069.22,30860.97,10000000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,2755.00,2740.00,2763.00,2724.00,2751.00,10000000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,4364.00,4325.00,4384.00,4339.00,4340.00,10000000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,4644.00,4614.00,4719.00,4622.00,4638.00,10000000,1
insert_performance,ULID_MONOTONIC,page_splits,1699.00,1680.00,1730.00,1683.00,1688.00,10000000,1
