Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,3272.67,3263.53,81.02,3149.94,3357.62,2.48,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,292.00,291.00,3.08,287.00,295.00,1.06,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,436.00,441.80,21.14,424.00,475.00,4.78,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,722.00,682.60,118.51,550.00,796.00,17.36,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.04,0.04,0.02,0.02,0.07,50.98,10000000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,write_iops,0.30,0.32,0.07,0.25,0.40,21.14,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.01,0.01,0.00,0.01,0.01,20.25,10000000,1
read_performance,UUIDV4,read_throughput,2682.36,2685.89,35.32,2639.53,2727.09,1.32,10000000,1
read_performance,UUIDV4,p50_latency_us,311.00,311.00,2.24,308.00,314.00,0.72,10000000,1
read_performance,UUIDV4,p95_latency_us,484.00,484.00,4.53,479.00,489.00,0.94,10000000,1
read_performance,UUIDV4,p99_latency_us,819.00,817.20,6.69,810.00,826.00,0.82,10000000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,10000000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.01,10000000,1
read_performance,UUIDV4,fragmentation,0.01,0.02,0.01,0.01,0.04,82.98,10000000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,write_iops,0.45,0.43,0.05,0.35,0.46,10.60,10000000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,write_throughput_mb,0.02,0.02,0.00,0.01,0.02,27.98,10000000,1
read_performance,UUIDV7,read_throughput,2885.22,2864.66,70.26,2763.64,2937.20,2.45,10000000,1
read_performance,UUIDV7,p50_latency_us,292.00,292.60,2.07,291.00,296.00,0.71,10000000,1
read_performance,UUIDV7,p95_latency_us,457.00,455.80,6.14,448.00,462.00,1.35,10000000,1
read_performance,UUIDV7,p99_latency_us,801.00,799.60,3.85,795.00,803.00,0.48,10000000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV7,fragmentation,0.04,0.04,0.02,0.03,0.07,36.55,10000000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,write_iops,0.36,0.36,0.03,0.32,0.39,7.22,10000000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,write_throughput_mb,0.01,0.01,0.00,0.01,0.01,4.89,10000000,1
read_performance,ULID,read_throughput,2913.83,2864.60,105.16,2706.84,2959.54,3.67,10000000,1
read_performance,ULID,p50_latency_us,293.00,293.60,3.91,290.00,299.00,1.33,10000000,1
read_performance,ULID,p95_latency_us,454.00,453.80,5.76,448.00,460.00,1.27,10000000,1
read_performance,ULID,p99_latency_us,802.00,797.80,5.85,790.00,802.00,0.73,10000000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID,fragmentation,0.05,0.05,0.02,0.02,0.07,41.76,10000000,1
read_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,write_iops,0.34,0.33,0.03,0.30,0.37,8.02,10000000,1
read_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,write_throughput_mb,0.01,0.01,0.00,0.01,0.01,6.49,10000000,1
read_performance,ULID_MONOTONIC,read_throughput,2911.93,2884.89,86.43,2764.46,2973.69,3.00,10000000,1
read_performance,ULID_MONOTONIC,p50_latency_us,292.00,292.00,3.08,288.00,295.00,1.06,10000000,1
read_performance,ULID_MONOTONIC,p95_latency_us,457.00,455.60,4.10,451.00,461.00,0.90,10000000,1
read_performance,ULID_MONOTONIC,p99_latency_us,800.00,798.40,3.51,793.00,802.00,0.44,10000000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,fragmentation,0.08,0.07,0.02,0.04,0.08,31.67,10000000,1
read_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,write_iops,0.37,0.36,0.02,0.34,0.38,4.77,10000000,1
read_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,write_throughput_mb,0.01,0.01,0.00,0.01,0.01,3.39,10000000,1
read_performance,UUIDV1,read_throughput,2744.22,2769.56,77.50,2683.98,2866.81,2.80,10000000,1
