Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,3315.43,3149.94,3272.67,3222.02,3357.62,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,287.00,295.00,292.00,292.00,289.00,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,436.00,475.00,425.00,449.00,424.00,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,722.00,796.00,550.00,782.00,563.00,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.02,0.02,0.04,0.07,0.06,10000000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,write_iops,0.30,0.25,0.26,0.37,0.40,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.01,0.01,0.01,0.01,0.01,10000000,1
read_performance,UUIDV4,read_throughput,2727.09,2713.62,2666.87,2682.36,2639.53,10000000,1
read_performance,UUIDV4,p50_latency_us,308.00,311.00,314.00,312.00,310.00,10000000,1
read_performance,UUIDV4,p95_latency_us,480.00,484.00,479.00,488.00,489.00,10000000,1
read_performance,UUIDV4,p99_latency_us,820.00,811.00,810.00,826.00,819.00,10000000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV4,fragmentation,0.04,0.01,0.03,0.01,0.01,10000000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,write_iops,0.46,0.35,0.45,0.42,0.45,10000000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV4,write_throughput_mb,0.01,0.01,0.02,0.02,0.02,10000000,1
read_performance,UUIDV7,read_throughput,2912.35,2763.64,2824.90,2885.22,2937.20,10000000,1
read_performance,UUIDV7,p50_latency_us,291.00,296.00,293.00,292.00,291.00,10000000,1
read_performance,UUIDV7,p95_latency_us,448.00,462.00,461.00,457.00,451.00,10000000,1
read_performance,UUIDV7,p99_latency_us,796.00,801.00,803.00,803.00,795.00,10000000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,UUIDV7,fragmentation,0.07,0.04,0.04,0.03,0.04,10000000,1
