Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,2853.19,2867.66,109.79,2735.93,3041.16,3.83,10000000,1
update_performance,SEQUENTIAL,p50_latency_us,352.00,350.60,6.35,340.00,357.00,1.81,10000000,1
update_performance,SEQUENTIAL,p95_latency_us,521.00,516.40,24.67,491.00,552.00,4.78,10000000,1
update_performance,SEQUENTIAL,p99_latency_us,862.00,804.80,88.75,693.00,877.00,11.03,10000000,1
update_performance,SEQUENTIAL,fragmentation,1.80,1.82,0.10,1.72,1.98,5.43,10000000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,write_iops,16.78,16.89,0.29,16.56,17.25,1.70,10000000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,write_throughput_mb,3.49,3.48,0.11,3.35,3.64,3.08,10000000,1
update_performance,UUIDV4,update_throughput,2482.88,2482.87,70.37,2389.77,2586.12,2.83,10000000,1
update_performance,UUIDV4,p50_latency_us,373.00,372.60,4.34,366.00,378.00,1.16,10000000,1
update_performance,UUIDV4,p95_latency_us,552.00,561.40,19.58,547.00,595.00,3.49,10000000,1
update_performance,UUIDV4,p99_latency_us,866.00,872.20,22.32,852.00,908.00,2.56,10000000,1
update_performance,UUIDV4,fragmentation,1.59,1.60,0.08,1.51,1.73,5.28,10000000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_iops,57.38,58.76,4.61,54.26,66.15,7.85,10000000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_throughput_mb,4.38,4.34,0.12,4.20,4.46,2.88,10000000,1
update_performance,UUIDV7,update_throughput,2640.31,2725.76,146.07,2613.61,2932.24,5.36,10000000,1
update_performance,UUIDV7,p50_latency_us,357.00,349.60,13.74,327.00,359.00,3.93,10000000,1
update_performance,UUIDV7,p95_latency_us,517.00,514.00,10.70,502.00,527.00,2.08,10000000,1
update_performance,UUIDV7,p99_latency_us,841.00,833.60,28.84,804.00,871.00,3.46,10000000,1
update_performance,UUIDV7,fragmentation,1.58,1.66,0.11,1.58,1.81,6.68,10000000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,write_iops,16.46,16.47,0.34,16.12,16.91,2.05,10000000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,write_throughput_mb,3.38,3.43,0.21,3.14,3.66,6.03,10000000,1
update_performance,ULID,update_throughput,2583.91,2571.36,29.76,2536.10,2603.93,1.16,10000000,1
update_performance,ULID,p50_latency_us,360.00,361.20,2.17,359.00,364.00,0.60,10000000,1
update_performance,ULID,p95_latency_us,519.00,519.00,5.24,513.00,527.00,1.01,10000000,1
update_performance,ULID,p99_latency_us,854.00,846.80,18.28,825.00,869.00,2.16,10000000,1
update_performance,ULID,fragmentation,1.58,1.58,0.03,1.54,1.62,1.81,10000000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,write_iops,17.20,17.19,0.34,16.76,17.59,1.96,10000000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,write_throughput_mb,3.33,3.36,0.16,3.16,3.57,4.89,10000000,1
update_performance,ULID_MONOTONIC,update_throughput,2634.58,2643.08,37.22,2599.63,2694.46,1.41,10000000,1
update_performance,ULID_MONOTONIC,p50_latency_us,358.00,358.40,3.51,353.00,362.00,0.98,10000000,1
update_performance,ULID_MONOTONIC,p95_latency_us,524.00,523.40,2.51,519.00,525.00,0.48,10000000,1
update_performance,ULID_MONOTONIC,p99_latency_us,861.00,858.00,8.60,843.00,864.00,1.00,10000000,1
update_performance,ULID_MONOTONIC,fragmentation,1.64,1.63,0.07,1.54,1.72,4.06,10000000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,write_iops,17.25,17.12,0.56,16.24,17.70,3.25,10000000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,3.37,3.33,0.17,3.12,3.49,5.18,10000000,1
update_performance,UUIDV1,update_throughput,2569.23,2598.77,60.26,2555.16,2701.46,2.32,10000000,1
update_performance,UUIDV1,p50_latency_us,362.00,360.60,2.19,357.00,362.00,0.61,10000000,1
update_performance,UUIDV1,p95_latency_us,522.00,522.60,5.98,514.00,530.00,1.14,10000000,1
update_performance,UUIDV1,p99_latency_us,858.00,861.20,7.92,854.00,872.00,0.92,10000000,1
update_performance,UUIDV1,fragmentation,1.61,1.63,0.08,1.54,1.76,4.95,10000000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,write_iops,17.05,17.17,0.71,16.25,18.15,4.16,10000000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV1,write_throughput_mb,3.13,3.22,0.17,3.06,3.42,5.27,10000000,1
update_performance,OBJECTID,update_throughput,2640.99,2686.92,87.91,2628.48,2837.53,3.27,10000000,1
update_performance,OBJECTID,p50_latency_us,365.00,362.40,5.50,353.00,366.00,1.52,10000000,1
update_performance,OBJECTID,p95_latency_us,553.00,540.00,28.66,490.00,558.00,5.31,10000000,1
update_performance,OBJECTID,p99_latency_us,878.00,822.80,122.99,603.00,882.00,14.95,10000000,1
update_performance,OBJECTID,fragmentation,1.63,1.63,0.05,1.57,1.69,2.89,10000000,1
update_performance,OBJECTID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,OBJECTID,write_iops,16.36,16.70,0.80,15.95,17.94,4.80,10000000,1
update_performance,OBJECTID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,OBJECTID,write_throughput_mb,3.27,3.28,0.10,3.18,3.44,2.94,10000000,1
