Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,3041.16,2853.19,2863.52,2735.93,2844.47,10000000,1
update_performance,SEQUENTIAL,p50_latency_us,340.00,352.00,351.00,357.00,353.00,10000000,1
update_performance,SEQUENTIAL,p95_latency_us,491.00,495.00,521.00,552.00,523.00,10000000,1
update_performance,SEQUENTIAL,p99_latency_us,724.00,693.00,868.00,877.00,862.00,10000000,1
update_performance,SEQUENTIAL,fragmentation,1.98,1.84,1.80,1.77,1.72,10000000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,write_iops,16.56,16.78,17.25,16.73,17.11,10000000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,write_throughput_mb,3.64,3.49,3.49,3.35,3.45,10000000,1
update_performance,UUIDV4,update_throughput,2492.45,2463.14,2389.77,2586.12,2482.88,10000000,1
update_performance,UUIDV4,p50_latency_us,372.00,374.00,378.00,366.00,373.00,10000000,1
update_performance,UUIDV4,p95_latency_us,547.00,562.00,595.00,552.00,551.00,10000000,1
update_performance,UUIDV4,p99_latency_us,852.00,878.00,908.00,866.00,857.00,10000000,1
update_performance,UUIDV4,fragmentation,1.62,1.51,1.53,1.73,1.59,10000000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_iops,56.11,66.15,57.38,59.88,54.26,10000000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV4,write_throughput_mb,4.45,4.20,4.21,4.38,4.46,10000000,1
update_performance,UUIDV7,update_throughput,2828.08,2932.24,2614.57,2613.61,2640.31,10000000,1
update_performance,UUIDV7,p50_latency_us,346.00,327.00,359.00,359.00,357.00,10000000,1
update_performance,UUIDV7,p95_latency_us,504.00,502.00,520.00,517.00,527.00,10000000,1
update_performance,UUIDV7,p99_latency_us,804.00,805.00,841.00,847.00,871.00,10000000,1
update_performance,UUIDV7,fragmentation,1.74,1.81,1.58,1.58,1.58,10000000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,10000000,1
