Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,30285.40,30501.83,30628.43,30529.26,30688.70,1000000,1
insert_performance,SEQUENTIAL,p50_latency_us,2833.00,2810.00,2815.00,2820.00,2810.00,1000000,1
insert_performance,SEQUENTIAL,p95_latency_us,4360.00,4320.00,4303.00,4302.00,4329.00,1000000,1
insert_performance,SEQUENTIAL,p99_latency_us,4623.00,4606.00,4602.00,4558.00,4641.00,1000000,1
insert_performance,SEQUENTIAL,page_splits,164.00,164.00,163.00,164.00,164.00,1000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,SEQUENTIAL,table_size_mb,105.71,105.70,105.70,105.70,105.70,1000000,1
insert_performance,SEQUENTIAL,index_size_mb,12.46,12.46,12.46,12.46,12.46,1000000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_iops,22.78,20.81,20.56,21.51,22.77,1000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,5.76,4.78,5.02,5.58,5.88,1000000,1
insert_performance,UUIDV4,throughput,24730.46,24602.64,24325.73,24287.97,24515.48,1000000,1
insert_performance,UUIDV4,p50_latency_us,3336.00,3366.00,3410.00,3396.00,3384.00,1000000,1
insert_performance,UUIDV4,p95_latency_us,4841.00,4886.00,4935.00,5011.00,4910.00,1000000,1
insert_performance,UUIDV4,p99_latency_us,5193.00,5262.00,5303.00,5420.00,5371.00,1000000,1
insert_performance,UUIDV4,page_splits,2049.00,2002.00,2025.00,2011.00,1959.00,1000000,1
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,UUIDV4,table_size_mb,106.86,106.86,106.85,106.86,106.86,1000000,1
insert_performance,UUIDV4,index_size_mb,27.01,27.14,27.52,27.19,27.02,1000000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,write_iops,21.51,21.26,27.46,21.21,20.55,1000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV4,write_throughput_mb,5.09,5.07,5.12,5.07,5.06,1000000,1
insert_performance,UUIDV7,throughput,27384.09,27227.57,27279.44,27639.17,27198.95,1000000,1
insert_performance,UUIDV7,p50_latency_us,2908.00,2928.00,2915.00,2890.00,2907.00,1000000,1
insert_performance,UUIDV7,p95_latency_us,4422.00,4451.00,4436.00,4370.00,4464.00,1000000,1
insert_performance,UUIDV7,p99_latency_us,4659.00,4767.00,4735.00,4673.00,4781.00,1000000,1
insert_performance,UUIDV7,page_splits,168.00,170.00,169.00,168.00,170.00,1000000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,1
insert_performance,UUIDV7,table_size_mb,106.82,106.82,106.82,106.81,106.82,1000000,1
insert_performance,UUIDV7,index_size_mb,19.87,19.88,19.87,19.87,19.87,1000000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,write_iops,22.19,22.64,22.30,22.23,20.38,1000000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,1
insert_performance,UUIDV7,write_throughput_mb,5.50,5.52,5.48,5.65,5.51,1000000,1
insert_performance,ULID,throughput,27059.97,26711.54,26948.57,27058.45,27151.93,1000000,1
insert_performance,ULID,p50_latency_us,2974.00,3002.00,2985.00,2983.00,2979.00,1000000,1
insert_performance,ULID,p95_latency_us,4471.00,4506.00,4477.00,4472.00,4494.00,1000000,1
insert_performance,ULID,p99_latency_us,4752.00,4804.00,4807.00,4748.00,4789.00,1000000,1
insert_performance,ULID,page_splits,170.00,169.00,169.00,169.00,169.00,1000000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,1
