Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,38980.30,39150.18,356.29,38827.41,39716.27,0.91,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,9051.00,9017.60,184.48,8730.00,9236.00,2.05,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,69105.00,69104.00,362.64,68720.00,69558.00,0.52,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,75052.00,74910.60,480.48,74120.00,75332.00,0.64,1000000,8
insert_performance,SEQUENTIAL,page_splits,162.00,162.00,0.71,161.00,163.00,0.44,1000000,8
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,105.68,105.68,0.00,105.67,105.68,0.00,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,12.48,12.48,0.00,12.48,12.49,0.03,1000000,8
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_iops,14.82,14.81,0.44,14.35,15.43,2.96,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,3.19,3.20,0.03,3.17,3.24,0.88,1000000,8
insert_performance,UUIDV4,throughput,32639.77,32583.02,391.67,32006.50,33013.84,1.20,1000000,8
insert_performance,UUIDV4,p50_latency_us,9917.00,9931.80,267.02,9620.00,10278.00,2.69,1000000,8
insert_performance,UUIDV4,p95_latency_us,72831.00,72888.80,210.49,72662.00,73223.00,0.29,1000000,8
insert_performance,UUIDV4,p99_latency_us,79841.00,79795.20,257.43,79447.00,80124.00,0.32,1000000,8
insert_performance,UUIDV4,page_splits,1991.00,1992.20,35.93,1942.00,2043.00,1.80,1000000,8
insert_performance,UUIDV4,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,UUIDV4,table_size_mb,106.88,106.89,0.01,106.88,106.89,0.01,1000000,8
insert_performance,UUIDV4,index_size_mb,26.88,26.78,0.40,26.11,27.19,1.50,1000000,8
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_iops,15.08,15.05,0.21,14.81,15.38,1.43,1000000,8
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_throughput_mb,3.54,3.53,0.04,3.47,3.58,1.17,1000000,8
insert_performance,UUIDV7,throughput,35197.01,35162.82,493.54,34486.31,35707.54,1.40,1000000,8
insert_performance,UUIDV7,p50_latency_us,9093.00,9141.60,289.16,8831.00,9441.00,3.16,1000000,8
insert_performance,UUIDV7,p95_latency_us,70239.00,70099.40,366.43,69470.00,70370.00,0.52,1000000,8
insert_performance,UUIDV7,p99_latency_us,75870.00,75830.20,260.46,75439.00,76165.00,0.34,1000000,8
insert_performance,UUIDV7,page_splits,166.00,166.60,0.89,166.00,168.00,0.54,1000000,8
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,UUIDV7,table_size_mb,106.82,106.82,0.01,106.80,106.84,0.01,1000000,8
insert_performance,UUIDV7,index_size_mb,19.77,19.77,0.01,19.76,19.77,0.03,1000000,8
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,write_iops,14.54,14.64,0.25,14.38,15.00,1.72,1000000,8
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,write_throughput_mb,3.41,3.41,0.05,3.34,3.46,1.45,1000000,8
insert_performance,ULID,throughput,34647.89,34763.87,402.85,34374.20,35343.78,1.16,1000000,8
insert_performance,ULID,p50_latency_us,9588.00,9442.60,265.81,9119.00,9700.00,2.81,1000000,8
insert_performance,ULID,p95_latency_us,69858.00,70020.60,335.43,69724.00,70559.00,0.48,1000000,8
insert_performance,ULID,p99_latency_us,75766.00,76044.40,493.60,75622.00,76795.00,0.65,1000000,8
insert_performance,ULID,page_splits,167.00,166.80,0.84,166.00,168.00,0.50,1000000,8
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,ULID,table_size_mb,106.82,106.82,0.01,106.80,106.83,0.01,1000000,8
insert_performance,ULID,index_size_mb,19.80,19.79,0.01,19.77,19.80,0.06,1000000,8
insert_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID,write_iops,14.89,14.91,0.34,14.48,15.30,2.28,1000000,8
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID,write_throughput_mb,3.39,3.40,0.04,3.37,3.46,1.15,1000000,8
insert_performance,ULID_MONOTONIC,throughput,37254.66,37091.45,480.71,36564.18,37572.41,1.30,1000000,8
insert_performance,ULID_MONOTONIC,p50_latency_us,9175.00,9263.40,198.82,9089.00,9523.00,2.15,1000000,8
insert_performance,ULID_MONOTONIC,p95_latency_us,69776.00,69720.00,357.35,69308.00,70223.00,0.51,1000000,8
insert_performance,ULID_MONOTONIC,p99_latency_us,74983.00,75215.20,532.01,74816.00,76141.00,0.71,1000000,8
insert_performance,ULID_MONOTONIC,page_splits,166.00,166.40,0.55,166.00,167.00,0.33,1000000,8
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,ULID_MONOTONIC,table_size_mb,106.79,106.79,0.01,106.78,106.79,0.01,1000000,8
insert_performance,ULID_MONOTONIC,index_size_mb,19.23,19.23,0.01,19.21,19.24,0.07,1000000,8
insert_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID_MONOTONIC,write_iops,14.09,14.38,0.53,13.92,15.01,3.68,1000000,8
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID_MONOTONIC,write_throughput_mb,3.34,3.32,0.04,3.28,3.36,1.21,1000000,8
insert_performance,UUIDV1,throughput,37040.77,37414.71,723.85,36753.53,38272.44,1.93,1000000,8
insert_performance,UUIDV1,p50_latency_us,9290.00,9066.80,395.45,8624.00,9401.00,4.36,1000000,8
insert_performance,UUIDV1,p95_latency_us,69898.00,69966.00,325.55,69606.00,70458.00,0.47,1000000,8
insert_performance,UUIDV1,p99_latency_us,75454.00,75576.00,522.31,75164.00,76451.00,0.69,1000000,8
insert_performance,UUIDV1,page_splits,166.00,166.40,0.55,166.00,167.00,0.33,1000000,8
insert_performance,UUIDV1,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,UUIDV1,table_size_mb,106.76,106.76,0.01,106.75,106.77,0.01,1000000,8
insert_performance,UUIDV1,index_size_mb,23.49,23.48,0.01,23.46,23.49,0.05,1000000,8
insert_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV1,write_iops,14.19,14.41,0.54,13.82,15.07,3.74,1000000,8
insert_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV1,write_throughput_mb,3.13,3.15,0.06,3.09,3.22,1.83,1000000,8
insert_performance,OBJECTID,throughput,38474.55,38431.42,660.96,37742.24,39418.68,1.72,1000000,8
insert_performance,OBJECTID,p50_latency_us,8971.00,8965.40,321.13,8443.00,9256.00,3.58,1000000,8
insert_performance,OBJECTID,p95_latency_us,69234.00,69401.00,411.56,69055.00,70108.00,0.59,1000000,8
insert_performance,OBJECTID,p99_latency_us,75086.00,75083.40,285.82,74760.00,75520.00,0.38,1000000,8
insert_performance,OBJECTID,page_splits,165.00,165.40,1.14,164.00,167.00,0.69,1000000,8
insert_performance,OBJECTID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,OBJECTID,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,OBJECTID,table_size_mb,105.73,105.73,0.01,105.71,105.74,0.01,1000000,8
insert_performance,OBJECTID,index_size_mb,10.27,10.27,0.00,10.27,10.27,0.04,1000000,8
insert_performance,OBJECTID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,OBJECTID,write_iops,14.54,14.53,0.29,14.21,14.95,2.00,1000000,8
insert_performance,OBJECTID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,OBJECTID,write_throughput_mb,3.26,3.26,0.05,3.20,3.34,1.68,1000000,8
read_performance,SEQUENTIAL,read_throughput,3219.31,3237.54,50.81,3200.62,3325.54,1.57,1000000,8
read_performance,SEQUENTIAL,p50_latency_us,289.00,288.20,2.49,284.00,290.00,0.86,1000000,8
read_performance,SEQUENTIAL,p95_latency_us,432.00,432.20,1.30,431.00,434.00,0.30,1000000,8
read_performance,SEQUENTIAL,p99_latency_us,613.00,619.60,45.87,585.00,698.00,7.40,1000000,8
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,1000000,8
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,1000000,8
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
read_performance,SEQUENTIAL,write_iops,0.26,0.27,0.01,0.26,0.28,2.91,1000000,8
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
read_performance,SEQUENTIAL,write_throughput_mb,0.00,0.00,0.00,0.00,0.01,3.56,1000000,8
read_performance,UUIDV4,read_throughput,2637.70,2630.32,42.86,2586.87,2689.16,1.63,1000000,8
read_performance,UUIDV4,p50_latency_us,304.00,304.20,1.30,303.00,306.00,0.43,1000000,8
read_performance,UUIDV4,p95_latency_us,566.00,578.20,26.24,559.00,622.00,4.54,1000000,8
