Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,1163.63,1178.55,33.17,1140.01,1213.80,2.81,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,75496.00,75208.00,2836.27,72060.00,78637.00,3.77,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,152294.00,151911.00,5824.85,144316.00,160190.00,3.83,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,246708.00,238746.80,19135.88,215613.00,258796.00,8.02,100000,1
insert_performance,SEQUENTIAL,page_splits,7151.00,7151.00,0.00,7151.00,7151.00,0.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,0.92,0.92,0.00,0.92,0.92,0.00,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,100000,1
insert_performance,SEQUENTIAL,table_size_mb,112.66,112.66,0.00,112.66,112.66,0.00,100000,1
insert_performance,SEQUENTIAL,index_size_mb,112.66,112.66,0.00,112.66,112.66,0.00,100000,1
insert_performance,SEQUENTIAL,read_iops,0.03,0.03,0.00,0.03,0.04,5.37,100000,1
insert_performance,SEQUENTIAL,write_iops,103.93,101.57,6.67,91.21,107.62,6.57,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,5.37,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,4.40,4.37,0.25,3.97,4.58,5.66,100000,1
insert_performance,UUIDV4,throughput,1094.84,1089.28,17.12,1059.42,1102.38,1.57,100000,1
insert_performance,UUIDV4,p50_latency_us,80148.00,80225.40,2206.77,77105.00,83005.00,2.75,100000,1
insert_performance,UUIDV4,p95_latency_us,175367.00,175003.20,1755.24,172605.00,177078.00,1.00,100000,1
insert_performance,UUIDV4,p99_latency_us,268951.00,273718.60,23986.94,247673.00,309670.00,8.76,100000,1
insert_performance,UUIDV4,page_splits,10117.00,10109.60,33.94,10051.00,10137.00,0.34,100000,1
