Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,1162.30,1163.63,1140.01,1213.80,1212.99,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,77189.00,75496.00,78637.00,72060.00,72658.00,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,149283.00,160190.00,152294.00,153472.00,144316.00,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,221270.00,258796.00,251347.00,246708.00,215613.00,100000,1
insert_performance,SEQUENTIAL,page_splits,7151.00,7151.00,7151.00,7151.00,7151.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,0.92,0.92,0.92,0.92,0.92,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,SEQUENTIAL,table_size_mb,112.66,112.66,112.66,112.66,112.66,100000,1
insert_performance,SEQUENTIAL,index_size_mb,112.66,112.66,112.66,112.66,112.66,100000,1
insert_performance,SEQUENTIAL,read_iops,0.03,0.03,0.03,0.04,0.04,100000,1
insert_performance,SEQUENTIAL,write_iops,91.21,103.93,98.87,106.20,107.62,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,3.97,4.40,4.31,4.57,4.58,100000,1
insert_performance,UUIDV4,throughput,1059.42,1091.99,1097.75,1094.84,1102.38,100000,1
insert_performance,UUIDV4,p50_latency_us,83005.00,79454.00,80148.00,81415.00,77105.00,100000,1
insert_performance,UUIDV4,p95_latency_us,176016.00,175367.00,172605.00,173950.00,177078.00,100000,1
insert_performance,UUIDV4,p99_latency_us,309670.00,283288.00,259011.00,247673.00,268951.00,100000,1
insert_performance,UUIDV4,page_splits,10128.00,10117.00,10051.00,10115.00,10137.00,100000,1
insert_performance,UUIDV4,fragmentation,12.92,13.02,13.05,13.02,12.81,100000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,UUIDV4,table_size_mb,181.00,180.98,179.97,180.98,180.95,100000,1
insert_performance,UUIDV4,index_size_mb,181.00,180.98,179.97,180.98,180.95,100000,1
insert_performance,UUIDV4,read_iops,0.50,0.03,0.04,0.03,0.03,100000,1
insert_performance,UUIDV4,write_iops,106.30,113.45,110.35,111.68,112.99,100000,1
insert_performance,UUIDV4,read_throughput_mb,0.01,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_throughput_mb,5.77,5.98,5.96,5.96,6.01,100000,1
insert_performance,UUIDV7,throughput,1260.60,1246.53,1263.51,1272.60,1202.76,100000,1
insert_performance,UUIDV7,p50_latency_us,69413.00,70497.00,69332.00,68314.00,73298.00,100000,1
insert_performance,UUIDV7,p95_latency_us,139754.00,138603.00,138120.00,145125.00,146608.00,100000,1
insert_performance,UUIDV7,p99_latency_us,210031.00,233691.00,217667.00,221282.00,233509.00,100000,1
insert_performance,UUIDV7,page_splits,7155.00,7155.00,7155.00,7155.00,7155.00,100000,1
insert_performance,UUIDV7,fragmentation,0.97,0.97,0.97,0.97,0.97,100000,1
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,UUIDV7,table_size_mb,112.72,112.72,112.72,112.72,112.72,100000,1
insert_performance,UUIDV7,index_size_mb,112.72,112.72,112.72,112.72,112.72,100000,1
insert_performance,UUIDV7,read_iops,0.04,0.04,0.05,0.61,0.04,100000,1
insert_performance,UUIDV7,write_iops,110.03,110.79,110.22,113.61,105.01,100000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.01,0.00,100000,1
insert_performance,UUIDV7,write_throughput_mb,4.77,4.72,4.78,4.81,4.53,100000,1
insert_performance,ULID,throughput,1075.17,1075.10,1097.54,1108.11,1110.60,100000,1
insert_performance,ULID,p50_latency_us,81624.00,83296.00,79123.00,78307.00,76936.00,100000,1
insert_performance,ULID,p95_latency_us,183448.00,173837.00,175080.00,180159.00,178828.00,100000,1
insert_performance,ULID,p99_latency_us,269964.00,271392.00,291130.00,279136.00,269263.00,100000,1
insert_performance,ULID,page_splits,10347.00,10324.00,10323.00,10321.00,10348.00,100000,1
insert_performance,ULID,fragmentation,12.82,12.96,13.00,13.05,12.75,100000,1
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,ULID,table_size_mb,184.89,184.88,184.91,184.89,184.88,100000,1
insert_performance,ULID,index_size_mb,184.89,184.88,184.91,184.89,184.88,100000,1
insert_performance,ULID,read_iops,0.03,0.03,0.03,0.03,0.03,100000,1
insert_performance,ULID,write_iops,110.14,108.22,107.42,110.95,111.32,100000,1
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,write_throughput_mb,5.95,5.92,6.02,6.09,6.12,100000,1
insert_performance,ULID_MONOTONIC,throughput,1248.37,1254.55,1251.78,1254.31,1257.37,100000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,70081.00,69090.00,69036.00,68282.00,68233.00,100000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,136868.00,142250.00,144724.00,155261.00,149133.00,100000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,225309.00,227098.00,231255.00,229331.00,212282.00,100000,1
insert_performance,ULID_MONOTONIC,page_splits,7155.00,7155.00,7155.00,7155.00,7155.00,100000,1
insert_performance,ULID_MONOTONIC,fragmentation,0.97,0.97,0.97,0.97,0.97,100000,1
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,ULID_MONOTONIC,table_size_mb,112.72,112.72,112.72,112.72,112.72,100000,1
insert_performance,ULID_MONOTONIC,index_size_mb,112.72,112.72,112.72,112.72,112.72,100000,1
insert_performance,ULID_MONOTONIC,read_iops,0.04,0.04,0.61,0.04,0.04,100000,1
insert_performance,ULID_MONOTONIC,write_iops,109.75,109.99,111.00,109.87,109.97,100000,1
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.01,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,write_throughput_mb,4.73,4.74,4.74,4.71,4.74,100000,1
insert_performance,UUIDV1,throughput,1265.77,1278.63,1276.44,1263.10,1283.02,100000,1
insert_performance,UUIDV1,p50_latency_us,69008.00,68058.00,67779.00,68574.00,67619.00,100000,1
insert_performance,UUIDV1,p95_latency_us,142672.00,142642.00,142361.00,142287.00,141012.00,100000,1
insert_performance,UUIDV1,p99_latency_us,201021.00,225750.00,221697.00,228132.00,225306.00,100000,1
insert_performance,UUIDV1,page_splits,7155.00,7155.00,7304.00,7155.00,7155.00,100000,1
insert_performance,UUIDV1,fragmentation,0.97,0.97,2.40,0.97,0.97,100000,1
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,100000,1
insert_performance,UUIDV1,table_size_mb,112.72,112.72,116.73,112.72,112.72,100000,1
insert_performance,UUIDV1,index_size_mb,112.72,112.72,116.73,112.72,112.72,100000,1
insert_performance,UUIDV1,read_iops,0.04,0.60,0.04,0.04,0.04,100000,1
insert_performance,UUIDV1,write_iops,109.93,111.94,110.80,110.55,112.39,100000,1
insert_performance,UUIDV1,read_throughput_mb,0.00,0.01,0.00,0.00,0.00,100000,1
insert_performance,UUIDV1,write_throughput_mb,4.76,4.84,4.87,4.75,4.84,100000,1
