Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,4485.11,4639.26,265.55,4402.28,5017.85,5.72,100000,1
read_performance,SEQUENTIAL,p50_latency_us,220.00,219.80,10.21,203.00,228.00,4.64,100000,1
read_performance,SEQUENTIAL,p95_latency_us,261.00,256.60,8.17,243.00,263.00,3.19,100000,1
read_performance,SEQUENTIAL,p99_latency_us,317.00,322.60,46.34,258.00,374.00,14.37,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,SEQUENTIAL,fragmentation,0.92,0.92,0.00,0.92,0.92,0.00,100000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_iops,155.61,160.44,10.50,152.50,177.50,6.54,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,3.58,3.69,0.25,3.49,4.09,6.75,100000,1
read_performance,UUIDV4,read_throughput,4533.51,4556.53,196.47,4380.77,4879.96,4.31,100000,1
read_performance,UUIDV4,p50_latency_us,227.00,223.00,7.87,209.00,227.00,3.53,100000,1
read_performance,UUIDV4,p95_latency_us,262.00,261.80,0.84,261.00,263.00,0.32,100000,1
read_performance,UUIDV4,p99_latency_us,325.00,338.40,37.11,305.00,398.00,10.96,100000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,UUIDV4,fragmentation,13.06,13.06,0.06,12.96,13.13,0.49,100000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_iops,177.46,176.95,7.74,168.03,186.59,4.38,100000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_throughput_mb,4.15,4.09,0.19,3.89,4.31,4.74,100000,1
read_performance,UUIDV7,read_throughput,4927.95,4789.33,448.91,4289.79,5264.06,9.37,100000,1
read_performance,UUIDV7,p50_latency_us,206.00,211.00,20.09,191.00,235.00,9.52,100000,1
read_performance,UUIDV7,p95_latency_us,256.00,253.40,10.26,241.00,266.00,4.05,100000,1
read_performance,UUIDV7,p99_latency_us,300.00,293.80,22.05,269.00,322.00,7.51,100000,1
