Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,4485.11,4402.28,4816.89,4474.16,5017.85,100000,1
read_performance,SEQUENTIAL,p50_latency_us,220.00,228.00,220.00,228.00,203.00,100000,1
read_performance,SEQUENTIAL,p95_latency_us,261.00,261.00,255.00,263.00,243.00,100000,1
read_performance,SEQUENTIAL,p99_latency_us,317.00,374.00,304.00,360.00,258.00,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,SEQUENTIAL,fragmentation,0.92,0.92,0.92,0.92,0.92,100000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_iops,177.50,163.48,152.50,155.61,153.11,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,4.09,3.77,3.49,3.58,3.53,100000,1
read_performance,UUIDV4,read_throughput,4879.96,4380.77,4533.51,4567.03,4421.40,100000,1
read_performance,UUIDV4,p50_latency_us,209.00,227.00,227.00,227.00,225.00,100000,1
read_performance,UUIDV4,p95_latency_us,262.00,261.00,262.00,261.00,263.00,100000,1
read_performance,UUIDV4,p99_latency_us,305.00,325.00,315.00,398.00,349.00,100000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV4,fragmentation,13.10,13.06,12.96,13.13,13.04,100000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_iops,170.57,182.08,177.46,168.03,186.59,100000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_throughput_mb,3.90,4.23,4.15,3.89,4.31,100000,1
read_performance,UUIDV7,read_throughput,4289.79,4341.62,4927.95,5123.25,5264.06,100000,1
read_performance,UUIDV7,p50_latency_us,235.00,229.00,206.00,194.00,191.00,100000,1
read_performance,UUIDV7,p95_latency_us,266.00,259.00,256.00,245.00,241.00,100000,1
read_performance,UUIDV7,p99_latency_us,300.00,322.00,304.00,274.00,269.00,100000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV7,fragmentation,0.97,0.97,0.97,0.97,0.97,100000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_iops,167.95,169.87,154.12,159.28,160.27,100000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_throughput_mb,3.89,3.91,3.59,3.68,3.71,100000,1
read_performance,ULID,read_throughput,4783.16,4693.90,4603.99,4653.11,4531.29,100000,1
read_performance,ULID,p50_latency_us,209.00,220.00,218.00,219.00,224.00,100000,1
read_performance,ULID,p95_latency_us,273.00,256.00,256.00,269.00,263.00,100000,1
