Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,33.43,32.47,1.47,30.72,33.72,4.53,100000,1
update_performance,SEQUENTIAL,p50_latency_us,7521.00,7602.80,238.07,7419.00,8016.00,3.13,100000,1
update_performance,SEQUENTIAL,p95_latency_us,83558.00,83977.20,1472.71,82313.00,85894.00,1.75,100000,1
update_performance,SEQUENTIAL,p99_latency_us,124464.00,126375.80,4501.89,121355.00,131644.00,3.56,100000,1
update_performance,SEQUENTIAL,fragmentation,0.92,0.92,0.00,0.92,0.92,0.00,100000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,15.29,100000,1
update_performance,SEQUENTIAL,write_iops,142.78,139.14,5.34,132.93,143.47,3.84,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,15.29,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,0.79,0.78,0.02,0.75,0.80,2.99,100000,1
update_performance,UUIDV4,update_throughput,33.44,32.82,1.39,31.01,34.34,4.23,100000,1
update_performance,UUIDV4,p50_latency_us,7493.00,7539.00,131.10,7441.00,7765.00,1.74,100000,1
update_performance,UUIDV4,p95_latency_us,83264.00,83835.20,1670.19,81781.00,85599.00,1.99,100000,1
update_performance,UUIDV4,p99_latency_us,124732.00,125243.20,3939.37,119833.00,129754.00,3.15,100000,1
update_performance,UUIDV4,fragmentation,13.00,13.03,0.07,12.99,13.16,0.56,100000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,30.00,100000,1
update_performance,UUIDV4,write_iops,142.97,140.90,5.06,134.07,146.59,3.59,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,30.00,100000,1
update_performance,UUIDV4,write_throughput_mb,0.81,0.80,0.02,0.77,0.82,2.88,100000,1
update_performance,UUIDV7,update_throughput,34.08,33.40,1.10,31.56,34.09,3.29,100000,1
update_performance,UUIDV7,p50_latency_us,7626.00,7630.60,136.81,7440.00,7799.00,1.79,100000,1
update_performance,UUIDV7,p95_latency_us,82222.00,82840.80,1419.06,81902.00,85329.00,1.71,100000,1
update_performance,UUIDV7,p99_latency_us,121390.00,122629.80,3040.01,120271.00,127751.00,2.48,100000,1
update_performance,UUIDV7,fragmentation,0.97,0.97,0.00,0.97,0.97,0.00,100000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,17.55,100000,1
update_performance,UUIDV7,write_iops,143.95,142.07,4.05,135.15,145.08,2.85,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,17.55,100000,1
update_performance,UUIDV7,write_throughput_mb,0.80,0.79,0.02,0.76,0.81,2.39,100000,1
update_performance,ULID,update_throughput,33.98,33.72,1.35,31.77,35.12,4.00,100000,1
update_performance,ULID,p50_latency_us,7733.00,7716.20,230.54,7475.00,8056.00,2.99,100000,1
update_performance,ULID,p95_latency_us,81998.00,82061.00,1251.39,80477.00,83632.00,1.52,100000,1
update_performance,ULID,p99_latency_us,120605.00,119908.60,3469.89,115730.00,124566.00,2.89,100000,1
update_performance,ULID,fragmentation,13.07,13.01,0.15,12.81,13.16,1.17,100000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,45.58,100000,1
update_performance,ULID,write_iops,145.13,144.05,5.12,136.50,149.26,3.55,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,45.58,100000,1
update_performance,ULID,write_throughput_mb,0.81,0.81,0.02,0.78,0.84,2.92,100000,1
update_performance,ULID_MONOTONIC,update_throughput,31.09,32.10,1.81,30.89,35.08,5.63,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,7821.00,7789.60,251.37,7518.00,8060.00,3.23,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,84789.00,83880.60,1881.61,80753.00,85191.00,2.24,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,127037.00,125562.00,4058.63,118488.00,128596.00,3.23,100000,1
update_performance,ULID_MONOTONIC,fragmentation,0.97,0.97,0.00,0.97,0.97,0.00,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,26.20,100000,1
update_performance,ULID_MONOTONIC,write_iops,134.33,137.81,6.19,133.51,147.99,4.49,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,26.20,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,0.75,0.77,0.03,0.75,0.82,3.92,100000,1
update_performance,UUIDV1,update_throughput,32.83,32.61,0.57,31.81,33.13,1.75,100000,1
update_performance,UUIDV1,p50_latency_us,7876.00,7890.20,185.27,7714.00,8164.00,2.35,100000,1
update_performance,UUIDV1,p95_latency_us,82861.00,83077.00,406.31,82738.00,83704.00,0.49,100000,1
update_performance,UUIDV1,p99_latency_us,122952.00,123138.60,1769.96,120944.00,125230.00,1.44,100000,1
update_performance,UUIDV1,fragmentation,0.97,1.15,0.41,0.97,1.88,35.28,100000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,25.24,100000,1
update_performance,UUIDV1,write_iops,140.55,139.94,2.07,137.16,141.81,1.48,100000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,25.24,100000,1
update_performance,UUIDV1,write_throughput_mb,0.79,0.78,0.01,0.77,0.79,1.27,100000,1
