Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,4603.52,4591.09,108.74,4421.25,4710.82,2.37,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,222.00,222.00,2.24,219.00,225.00,1.01,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,262.00,261.80,7.16,252.00,272.00,2.73,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,332.00,338.60,38.00,284.00,380.00,11.22,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.12,0.12,0.00,0.12,0.12,0.00,10000000,1
read_performance,SEQUENTIAL,read_iops,278.15,274.68,9.60,262.83,284.86,3.49,10000000,1
read_performance,SEQUENTIAL,write_iops,114.93,114.29,4.03,109.50,118.35,3.53,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,4.35,4.29,0.15,4.11,4.45,3.49,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,2.70,2.68,0.09,2.57,2.77,3.20,10000000,1
read_performance,UUIDV4,read_throughput,4487.62,4571.10,274.67,4367.57,5053.67,6.01,10000000,1
read_performance,UUIDV4,p50_latency_us,224.00,219.40,11.55,199.00,227.00,5.26,10000000,1
read_performance,UUIDV4,p95_latency_us,270.00,268.00,5.70,258.00,272.00,2.13,10000000,1
read_performance,UUIDV4,p99_latency_us,328.00,324.40,15.79,298.00,340.00,4.87,10000000,1
read_performance,UUIDV4,cache_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,10000000,1
read_performance,UUIDV4,index_hit_ratio,0.93,0.93,0.00,0.93,0.93,0.00,10000000,1
read_performance,UUIDV4,fragmentation,12.68,12.68,0.00,12.68,12.68,0.02,10000000,1
read_performance,UUIDV4,read_iops,26.29,28.20,3.85,25.71,34.90,13.64,10000000,1
read_performance,UUIDV4,write_iops,67.67,68.00,9.07,58.73,77.69,13.34,10000000,1
read_performance,UUIDV4,read_throughput_mb,0.41,0.42,0.03,0.40,0.46,5.91,10000000,1
read_performance,UUIDV4,write_throughput_mb,1.60,1.60,0.21,1.39,1.82,13.13,10000000,1
read_performance,UUIDV7,read_throughput,4322.45,4456.15,259.52,4249.42,4880.06,5.82,10000000,1
read_performance,UUIDV7,p50_latency_us,226.00,223.40,9.37,208.00,232.00,4.19,10000000,1
read_performance,UUIDV7,p95_latency_us,265.00,263.60,6.23,253.00,269.00,2.36,10000000,1
read_performance,UUIDV7,p99_latency_us,323.00,318.40,15.34,298.00,338.00,4.82,10000000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,UUIDV7,fragmentation,0.18,0.18,0.00,0.18,0.18,0.00,10000000,1
read_performance,UUIDV7,read_iops,272.57,272.73,18.66,255.27,299.74,6.84,10000000,1
read_performance,UUIDV7,write_iops,112.86,112.92,7.57,105.52,123.84,6.70,10000000,1
read_performance,UUIDV7,read_throughput_mb,4.26,4.26,0.29,3.99,4.68,6.84,10000000,1
read_performance,UUIDV7,write_throughput_mb,2.66,2.65,0.18,2.48,2.90,6.64,10000000,1
read_performance,ULID,read_throughput,4676.14,4674.03,317.97,4228.39,5107.15,6.80,10000000,1
read_performance,ULID,p50_latency_us,215.00,214.00,14.09,192.00,230.00,6.58,10000000,1
read_performance,ULID,p95_latency_us,261.00,260.40,3.29,256.00,265.00,1.26,10000000,1
read_performance,ULID,p99_latency_us,308.00,310.40,8.62,299.00,322.00,2.78,10000000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID,fragmentation,12.72,12.72,0.00,12.72,12.73,0.02,10000000,1
read_performance,ULID,read_iops,258.73,257.95,15.70,232.96,274.81,6.09,10000000,1
read_performance,ULID,write_iops,61.00,60.49,3.24,55.14,63.06,5.35,10000000,1
read_performance,ULID,read_throughput_mb,4.04,4.03,0.25,3.64,4.29,6.09,10000000,1
read_performance,ULID,write_throughput_mb,1.44,1.43,0.08,1.31,1.49,5.25,10000000,1
read_performance,ULID_MONOTONIC,read_throughput,4462.92,4463.45,156.47,4277.95,4661.97,3.51,10000000,1
read_performance,ULID_MONOTONIC,p50_latency_us,223.00,221.80,8.35,209.00,230.00,3.76,10000000,1
read_performance,ULID_MONOTONIC,p95_latency_us,265.00,268.00,8.06,259.00,277.00,3.01,10000000,1
read_performance,ULID_MONOTONIC,p99_latency_us,323.00,339.40,48.49,303.00,422.00,14.29,10000000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,10000000,1
read_performance,ULID_MONOTONIC,fragmentation,0.18,0.18,0.00,0.18,0.18,0.00,10000000,1
read_performance,ULID_MONOTONIC,read_iops,271.23,274.58,8.30,269.01,289.25,3.02,10000000,1
read_performance,ULID_MONOTONIC,write_iops,112.60,113.73,3.15,111.60,119.31,2.77,10000000,1
read_performance,ULID_MONOTONIC,read_throughput_mb,4.24,4.29,0.13,4.20,4.52,3.02,10000000,1
read_performance,ULID_MONOTONIC,write_throughput_mb,2.64,2.67,0.07,2.62,2.80,2.75,10000000,1
