Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,4710.82,4421.25,4569.61,4650.23,4603.52,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,219.00,225.00,223.00,221.00,222.00,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,262.00,272.00,260.00,263.00,252.00,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,328.00,380.00,369.00,332.00,284.00,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.12,0.12,0.12,0.12,0.12,10000000,1
read_performance,SEQUENTIAL,read_iops,278.15,262.83,266.35,281.22,284.86,10000000,1
read_performance,SEQUENTIAL,write_iops,114.93,109.50,110.77,117.87,118.35,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,4.35,4.11,4.16,4.39,4.45,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,2.70,2.57,2.62,2.76,2.77,10000000,1
read_performance,UUIDV4,read_throughput,4367.57,5053.67,4446.96,4487.62,4499.69,10000000,1
read_performance,UUIDV4,p50_latency_us,227.00,199.00,224.00,225.00,222.00,10000000,1
read_performance,UUIDV4,p95_latency_us,270.00,258.00,269.00,272.00,271.00,10000000,1
read_performance,UUIDV4,p99_latency_us,331.00,298.00,325.00,340.00,328.00,10000000,1
read_performance,UUIDV4,cache_hit_ratio,0.93,0.93,0.93,0.93,0.93,10000000,1
read_performance,UUIDV4,index_hit_ratio,0.93,0.93,0.93,0.93,0.93,10000000,1
read_performance,UUIDV4,fragmentation,12.68,12.68,12.68,12.68,12.68,10000000,1
read_performance,UUIDV4,read_iops,26.29,27.96,26.12,34.90,25.71,10000000,1
read_performance,UUIDV4,write_iops,67.67,76.59,58.73,77.69,59.33,10000000,1
read_performance,UUIDV4,read_throughput_mb,0.41,0.44,0.41,0.46,0.40,10000000,1
read_performance,UUIDV4,write_throughput_mb,1.60,1.79,1.39,1.82,1.39,10000000,1
read_performance,UUIDV7,read_throughput,4527.56,4301.27,4249.42,4880.06,4322.45,10000000,1
read_performance,UUIDV7,p50_latency_us,222.00,226.00,232.00,208.00,229.00,10000000,1
read_performance,UUIDV7,p95_latency_us,267.00,265.00,269.00,253.00,264.00,10000000,1
read_performance,UUIDV7,p99_latency_us,338.00,324.00,323.00,298.00,309.00,10000000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,10000000,1
