Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,978.87,988.24,24.17,968.00,1028.99,2.45,1000000,1
insert_performance,SEQUENTIAL,p50_latency_us,71481.00,71196.00,2254.20,67464.00,73274.00,3.17,1000000,1
insert_performance,SEQUENTIAL,p95_latency_us,241929.00,239808.60,5232.65,232201.00,244925.00,2.18,1000000,1
insert_performance,SEQUENTIAL,p99_latency_us,326115.00,322668.60,9134.60,306707.00,329796.00,2.83,1000000,1
insert_performance,SEQUENTIAL,page_splits,71510.00,71510.00,0.00,71510.00,71510.00,0.00,1000000,1
insert_performance,SEQUENTIAL,fragmentation,0.16,0.16,0.00,0.16,0.16,0.00,1000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,1
insert_performance,SEQUENTIAL,table_size_mb,1118.00,1118.00,0.00,1118.00,1118.00,0.00,1000000,1
insert_performance,SEQUENTIAL,index_size_mb,1118.00,1118.00,0.00,1118.00,1118.00,0.00,1000000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.01,0.02,0.00,0.04,177.61,1000000,1
insert_performance,SEQUENTIAL,write_iops,149.43,150.96,4.34,147.54,158.49,2.87,1000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,177.61,1000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,5.24,5.29,0.13,5.18,5.51,2.44,1000000,1
insert_performance,UUIDV4,throughput,363.29,360.24,12.19,340.94,371.79,3.38,1000000,1
insert_performance,UUIDV4,p50_latency_us,291450.00,293702.00,10241.36,285164.00,310454.00,3.49,1000000,1
insert_performance,UUIDV4,p95_latency_us,474471.00,482486.80,18856.26,467777.00,514477.00,3.91,1000000,1
insert_performance,UUIDV4,p99_latency_us,656403.00,660032.60,28627.62,630803.00,706954.00,4.34,1000000,1
insert_performance,UUIDV4,page_splits,100977.00,100981.20,42.80,100938.00,101050.00,0.04,1000000,1
insert_performance,UUIDV4,fragmentation,12.77,12.77,0.01,12.76,12.78,0.08,1000000,1
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,1
insert_performance,UUIDV4,table_size_mb,1802.61,1802.46,0.82,1801.67,1803.64,0.05,1000000,1
insert_performance,UUIDV4,index_size_mb,1802.61,1802.46,0.82,1801.67,1803.64,0.05,1000000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,3.38,1000000,1
insert_performance,UUIDV4,write_iops,142.97,141.26,5.23,132.82,146.77,3.70,1000000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,3.38,1000000,1
insert_performance,UUIDV4,write_throughput_mb,4.59,4.56,0.16,4.30,4.73,3.55,1000000,1
insert_performance,UUIDV7,throughput,956.31,963.45,12.05,954.67,982.85,1.25,1000000,1
