Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,2291.07,2858.78,2810.43,2813.32,2655.17,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,313955.00,250416.00,253708.00,251436.00,269825.00,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,640410.00,515877.00,510745.00,517174.00,546423.00,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,726900.00,584236.00,576816.00,571362.00,626154.00,1000000,8
insert_performance,SEQUENTIAL,page_splits,83215.00,83309.00,83192.00,83239.00,83159.00,1000000,8
insert_performance,SEQUENTIAL,fragmentation,12.67,12.62,12.63,12.64,12.60,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,1486.00,1487.00,1485.00,1486.00,1483.98,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,1486.00,1487.00,1485.00,1486.00,1483.98,1000000,8
insert_performance,SEQUENTIAL,read_iops,0.01,0.13,0.01,0.01,0.01,1000000,8
insert_performance,SEQUENTIAL,write_iops,155.76,189.30,189.80,188.28,179.08,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,11.38,14.11,13.93,13.90,13.15,1000000,8
insert_performance,UUIDV4,throughput,2250.61,2306.01,2244.95,2231.45,2173.89,1000000,8
insert_performance,UUIDV4,p50_latency_us,310090.00,302128.00,311776.00,311907.00,318800.00,1000000,8
insert_performance,UUIDV4,p95_latency_us,631687.00,609984.00,637815.00,654089.00,668421.00,1000000,8
insert_performance,UUIDV4,p99_latency_us,798123.00,780674.00,820469.00,810033.00,843790.00,1000000,8
insert_performance,UUIDV4,page_splits,101169.00,101127.00,101096.00,101156.00,101005.00,1000000,8
insert_performance,UUIDV4,fragmentation,12.77,12.76,12.77,12.78,12.76,1000000,8
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,UUIDV4,table_size_mb,1805.69,1804.58,1804.70,1805.64,1802.66,1000000,8
insert_performance,UUIDV4,index_size_mb,1805.69,1804.58,1804.70,1805.64,1802.66,1000000,8
insert_performance,UUIDV4,read_iops,0.01,0.01,0.01,0.01,0.01,1000000,8
insert_performance,UUIDV4,write_iops,177.54,181.50,179.32,175.96,173.10,1000000,8
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_throughput_mb,13.90,14.26,13.93,13.79,13.47,1000000,8
insert_performance,UUIDV7,throughput,2608.06,2555.05,2591.08,2425.01,2650.61,1000000,8
insert_performance,UUIDV7,p50_latency_us,268084.00,270004.00,270632.00,289025.00,262467.00,1000000,8
insert_performance,UUIDV7,p95_latency_us,531775.00,543635.00,535868.00,574663.00,522745.00,1000000,8
insert_performance,UUIDV7,p99_latency_us,590713.00,609824.00,628917.00,634097.00,594523.00,1000000,8
insert_performance,UUIDV7,page_splits,91568.00,91393.00,91383.00,91501.00,91438.00,1000000,8
insert_performance,UUIDV7,fragmentation,12.75,12.72,12.77,12.71,12.74,1000000,8
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,UUIDV7,table_size_mb,1635.00,1631.00,1632.00,1633.00,1632.00,1000000,8
insert_performance,UUIDV7,index_size_mb,1635.00,1631.00,1632.00,1633.00,1632.00,1000000,8
insert_performance,UUIDV7,read_iops,0.12,0.01,0.12,0.11,0.01,1000000,8
insert_performance,UUIDV7,write_iops,186.04,182.40,182.91,173.83,188.20,1000000,8
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,write_throughput_mb,14.45,14.17,14.29,13.46,14.69,1000000,8
insert_performance,ULID,throughput,2629.23,2658.91,2668.18,2585.60,2353.64,1000000,8
insert_performance,ULID,p50_latency_us,268153.00,267007.00,262965.00,273910.00,300437.00,1000000,8
insert_performance,ULID,p95_latency_us,522668.00,518319.00,518743.00,525065.00,595508.00,1000000,8
insert_performance,ULID,p99_latency_us,580185.00,588087.00,584279.00,605117.00,668135.00,1000000,8
insert_performance,ULID,page_splits,101315.00,101356.00,101293.00,101456.00,101448.00,1000000,8
insert_performance,ULID,fragmentation,12.78,12.79,12.80,12.80,12.80,1000000,8
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,ULID,table_size_mb,1809.00,1810.00,1809.00,1812.00,1812.00,1000000,8
insert_performance,ULID,index_size_mb,1809.00,1810.00,1809.00,1812.00,1812.00,1000000,8
insert_performance,ULID,read_iops,0.01,0.01,0.01,0.01,0.11,1000000,8
insert_performance,ULID,write_iops,189.78,191.11,193.41,187.57,170.44,1000000,8
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID,write_throughput_mb,15.90,16.06,16.14,15.66,14.25,1000000,8
insert_performance,ULID_MONOTONIC,throughput,2313.58,2850.92,2728.27,2829.58,2882.24,1000000,8
insert_performance,ULID_MONOTONIC,p50_latency_us,311116.00,249384.00,259215.00,251927.00,249077.00,1000000,8
insert_performance,ULID_MONOTONIC,p95_latency_us,630767.00,504006.00,533649.00,512607.00,500673.00,1000000,8
insert_performance,ULID_MONOTONIC,p99_latency_us,708507.00,578989.00,625999.00,578417.00,576568.00,1000000,8
insert_performance,ULID_MONOTONIC,page_splits,83370.00,83362.00,83414.00,83489.00,83504.00,1000000,8
insert_performance,ULID_MONOTONIC,fragmentation,12.76,12.77,12.77,12.75,12.80,1000000,8
insert_performance,ULID_MONOTONIC,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,ULID_MONOTONIC,table_size_mb,1489.00,1489.00,1489.98,1491.00,1492.00,1000000,8
insert_performance,ULID_MONOTONIC,index_size_mb,1489.00,1489.00,1489.98,1491.00,1492.00,1000000,8
insert_performance,ULID_MONOTONIC,read_iops,0.10,0.14,0.01,0.01,0.01,1000000,8
insert_performance,ULID_MONOTONIC,write_iops,158.28,190.91,183.41,188.08,192.26,1000000,8
