Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,2554.71,2549.97,36.88,2487.72,2583.85,1.45,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,275197.00,276005.80,5776.13,268730.00,284038.00,2.09,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,561153.00,561764.00,6161.47,552562.00,569103.00,1.10,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,644463.00,646212.20,4070.53,641821.00,652132.00,0.63,1000000,8
insert_performance,SEQUENTIAL,page_splits,83149.00,83162.40,91.69,83096.00,83319.00,0.11,1000000,8
insert_performance,SEQUENTIAL,fragmentation,12.67,12.67,0.01,12.67,12.68,0.04,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,1485.00,1485.20,1.64,1484.00,1488.00,0.11,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,1485.00,1485.20,1.64,1484.00,1488.00,0.11,1000000,8
insert_performance,SEQUENTIAL,read_iops,0.01,0.01,0.00,0.00,0.01,55.90,1000000,8
insert_performance,SEQUENTIAL,write_iops,169.52,169.57,1.32,167.59,170.97,0.78,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,55.90,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,12.68,12.63,0.15,12.37,12.77,1.21,1000000,8
insert_performance,UUIDV4,throughput,2097.64,2053.66,99.87,1878.70,2123.95,4.86,1000000,8
insert_performance,UUIDV4,p50_latency_us,329942.00,339111.20,18714.17,327194.00,371898.00,5.52,1000000,8
insert_performance,UUIDV4,p95_latency_us,684420.00,697984.20,31225.07,674360.00,752144.00,4.47,1000000,8
insert_performance,UUIDV4,p99_latency_us,869430.00,892384.60,47000.62,853212.00,953073.00,5.27,1000000,8
insert_performance,UUIDV4,page_splits,100982.00,101020.00,99.01,100916.00,101170.00,0.10,1000000,8
insert_performance,UUIDV4,fragmentation,12.78,12.78,0.01,12.76,12.79,0.09,1000000,8
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,UUIDV4,table_size_mb,1802.70,1803.31,1.51,1801.75,1805.70,0.08,1000000,8
insert_performance,UUIDV4,index_size_mb,1802.70,1803.31,1.51,1801.75,1805.70,0.08,1000000,8
insert_performance,UUIDV4,read_iops,0.01,0.01,0.00,0.01,0.01,4.86,1000000,8
insert_performance,UUIDV4,write_iops,161.90,159.11,7.08,146.51,163.26,4.45,1000000,8
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,4.86,1000000,8
insert_performance,UUIDV4,write_throughput_mb,12.96,12.68,0.61,11.60,13.07,4.82,1000000,8
insert_performance,UUIDV7,throughput,2341.17,2324.05,32.26,2270.13,2346.56,1.39,1000000,8
insert_performance,UUIDV7,p50_latency_us,299646.00,300466.80,5191.80,294177.00,308487.00,1.73,1000000,8
insert_performance,UUIDV7,p95_latency_us,595096.00,597883.40,5812.49,592848.00,606601.00,0.97,1000000,8
insert_performance,UUIDV7,p99_latency_us,685920.00,688610.00,8109.15,678685.00,700171.00,1.18,1000000,8
insert_performance,UUIDV7,page_splits,91591.00,91564.00,78.99,91472.00,91647.00,0.09,1000000,8
insert_performance,UUIDV7,fragmentation,12.74,12.75,0.05,12.69,12.82,0.40,1000000,8
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,0.00,-1.00,-1.00,0.00,1000000,8
insert_performance,UUIDV7,table_size_mb,1635.00,1634.80,1.78,1633.00,1636.98,0.11,1000000,8
insert_performance,UUIDV7,index_size_mb,1635.00,1634.80,1.78,1633.00,1636.98,0.11,1000000,8
insert_performance,UUIDV7,read_iops,0.01,0.01,0.00,0.01,0.01,1.39,1000000,8
insert_performance,UUIDV7,write_iops,160.23,159.18,2.99,154.28,161.76,1.88,1000000,8
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1.39,1000000,8
insert_performance,UUIDV7,write_throughput_mb,12.94,12.85,0.17,12.57,12.97,1.32,1000000,8
insert_performance,ULID,throughput,2241.92,2228.33,49.37,2156.84,2274.43,2.22,1000000,8
insert_performance,ULID,p50_latency_us,310732.00,314987.80,7128.08,309132.00,326002.00,2.26,1000000,8
insert_performance,ULID,p95_latency_us,610602.00,610545.60,10160.51,601344.00,626714.00,1.66,1000000,8
insert_performance,ULID,p99_latency_us,698409.00,701889.60,20068.38,684668.00,735225.00,2.86,1000000,8
insert_performance,ULID,page_splits,101305.00,101324.20,82.96,101226.00,101436.00,0.08,1000000,8
