Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,2487.72,2554.14,2569.43,2554.71,2583.85,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,284038.00,278802.00,273262.00,275197.00,268730.00,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,569103.00,560778.00,561153.00,565224.00,552562.00,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,652132.00,641821.00,648428.00,644463.00,644217.00,1000000,8
insert_performance,SEQUENTIAL,page_splits,83096.00,83319.00,83152.00,83096.00,83149.00,1000000,8
insert_performance,SEQUENTIAL,fragmentation,12.67,12.67,12.67,12.67,12.68,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,1484.00,1488.00,1485.00,1484.00,1485.00,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,1484.00,1488.00,1485.00,1484.00,1485.00,1000000,8
insert_performance,SEQUENTIAL,read_iops,0.00,0.01,0.01,0.01,0.01,1000000,8
insert_performance,SEQUENTIAL,write_iops,169.23,167.59,169.52,170.55,170.97,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,12.37,12.66,12.69,12.68,12.77,1000000,8
insert_performance,UUIDV4,throughput,2097.64,2123.95,2100.83,2067.16,1878.70,1000000,8
insert_performance,UUIDV4,p50_latency_us,327194.00,329942.00,329301.00,337221.00,371898.00,1000000,8
insert_performance,UUIDV4,p95_latency_us,684420.00,674360.00,683149.00,695848.00,752144.00,1000000,8
insert_performance,UUIDV4,p99_latency_us,869430.00,853212.00,853793.00,932415.00,953073.00,1000000,8
insert_performance,UUIDV4,page_splits,100916.00,100982.00,100969.00,101063.00,101170.00,1000000,8
insert_performance,UUIDV4,fragmentation,12.79,12.78,12.79,12.76,12.77,1000000,8
insert_performance,UUIDV4,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,UUIDV4,table_size_mb,1801.75,1802.70,1802.67,1803.70,1805.70,1000000,8
insert_performance,UUIDV4,index_size_mb,1801.75,1802.70,1802.67,1803.70,1805.70,1000000,8
insert_performance,UUIDV4,read_iops,0.01,0.01,0.01,0.01,0.01,1000000,8
insert_performance,UUIDV4,write_iops,162.62,161.90,163.26,161.27,146.51,1000000,8
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_throughput_mb,12.96,13.07,12.98,12.80,11.60,1000000,8
insert_performance,UUIDV7,throughput,2270.13,2346.56,2344.49,2317.93,2341.17,1000000,8
insert_performance,UUIDV7,p50_latency_us,308487.00,298819.00,294177.00,301205.00,299646.00,1000000,8
insert_performance,UUIDV7,p95_latency_us,606601.00,595096.00,593857.00,601015.00,592848.00,1000000,8
insert_performance,UUIDV7,p99_latency_us,685740.00,678685.00,685920.00,700171.00,692534.00,1000000,8
insert_performance,UUIDV7,page_splits,91621.00,91591.00,91647.00,91489.00,91472.00,1000000,8
insert_performance,UUIDV7,fragmentation,12.82,12.79,12.69,12.73,12.74,1000000,8
insert_performance,UUIDV7,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,UUIDV7,table_size_mb,1636.98,1636.00,1635.00,1633.00,1633.00,1000000,8
insert_performance,UUIDV7,index_size_mb,1636.98,1636.00,1635.00,1633.00,1633.00,1000000,8
insert_performance,UUIDV7,read_iops,0.01,0.01,0.01,0.01,0.01,1000000,8
insert_performance,UUIDV7,write_iops,154.28,161.09,160.23,158.53,161.76,1000000,8
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,write_throughput_mb,12.57,12.94,12.97,12.80,12.95,1000000,8
insert_performance,ULID,throughput,2274.43,2267.84,2156.84,2200.62,2241.92,1000000,8
insert_performance,ULID,p50_latency_us,309132.00,310721.00,326002.00,318352.00,310732.00,1000000,8
insert_performance,ULID,p95_latency_us,601344.00,602441.00,626714.00,611627.00,610602.00,1000000,8
insert_performance,ULID,p99_latency_us,688116.00,684668.00,735225.00,703030.00,698409.00,1000000,8
insert_performance,ULID,page_splits,101436.00,101277.00,101377.00,101305.00,101226.00,1000000,8
insert_performance,ULID,fragmentation,12.77,12.80,12.81,12.79,12.80,1000000,8
insert_performance,ULID,avg_leaf_density,-1.00,-1.00,-1.00,-1.00,-1.00,1000000,8
insert_performance,ULID,table_size_mb,1811.00,1809.00,1811.00,1809.00,1807.98,1000000,8
insert_performance,ULID,index_size_mb,1811.00,1809.00,1811.00,1809.00,1807.98,1000000,8
insert_performance,ULID,read_iops,0.01,0.01,0.01,0.01,0.01,1000000,8
insert_performance,ULID,write_iops,160.92,158.85,151.77,153.98,158.37,1000000,8
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,ULID,write_throughput_mb,13.78,13.68,13.04,13.29,13.54,1000000,8
insert_performance,ULID_MONOTONIC,throughput,2385.81,2272.09,2255.71,2392.71,2348.94,1000000,8
insert_performance,ULID_MONOTONIC,p50_latency_us,299094.00,313128.00,310745.00,293831.00,302012.00,1000000,8
insert_performance,ULID_MONOTONIC,p95_latency_us,598937.00,643292.00,630965.00,603788.00,610731.00,1000000,8
insert_performance,ULID_MONOTONIC,p99_latency_us,683156.00,731874.00,727602.00,690648.00,689929.00,1000000,8
