Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,3744.42,3738.51,62.05,3655.75,3812.67,1.66,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,25551.00,25551.60,3.36,25548.00,25556.00,0.01,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,28193.00,29528.60,3939.86,25996.00,33959.00,13.34,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,71379.00,72679.40,23442.88,42403.00,100614.00,32.26,100000,1
insert_performance,SEQUENTIAL,page_splits,273.00,273.00,0.00,273.00,273.00,0.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,89.78,89.78,0.00,89.78,89.78,0.00,100000,1
insert_performance,SEQUENTIAL,table_size_mb,111.66,111.66,0.00,111.66,111.66,0.00,100000,1
insert_performance,SEQUENTIAL,index_size_mb,2.16,2.16,0.00,2.16,2.16,0.00,100000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_iops,44.19,44.00,1.30,41.76,44.98,2.97,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,2.69,2.53,1.16,0.70,3.95,45.90,100000,1
insert_performance,UUIDV4,throughput,3672.69,3703.47,72.28,3632.74,3783.24,1.95,100000,1
insert_performance,UUIDV4,p50_latency_us,25575.00,25573.00,6.04,25564.00,25579.00,0.02,100000,1
insert_performance,UUIDV4,p95_latency_us,33607.00,32440.00,2364.72,29565.00,34693.00,7.29,100000,1
insert_performance,UUIDV4,p99_latency_us,85567.00,71959.40,27461.73,42399.00,100660.00,38.16,100000,1
insert_performance,UUIDV4,page_splits,525.00,528.20,10.71,518.00,546.00,2.03,100000,1
