Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,3778.65,3744.42,3812.67,3655.75,3701.05,100000,1
insert_performance,SEQUENTIAL,p50_latency_us,25551.00,25556.00,25548.00,25549.00,25554.00,100000,1
insert_performance,SEQUENTIAL,p95_latency_us,25999.00,28193.00,25996.00,33959.00,33496.00,100000,1
insert_performance,SEQUENTIAL,p99_latency_us,58801.00,90200.00,42403.00,100614.00,71379.00,100000,1
insert_performance,SEQUENTIAL,page_splits,273.00,273.00,273.00,273.00,273.00,100000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,avg_leaf_density,89.78,89.78,89.78,89.78,89.78,100000,1
insert_performance,SEQUENTIAL,table_size_mb,111.66,111.66,111.66,111.66,111.66,100000,1
insert_performance,SEQUENTIAL,index_size_mb,2.16,2.16,2.16,2.16,2.16,100000,1
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_iops,44.86,44.18,41.76,44.98,44.19,100000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,SEQUENTIAL,write_throughput_mb,2.70,2.69,0.70,3.95,2.62,100000,1
insert_performance,UUIDV4,throughput,3649.73,3778.95,3632.74,3783.24,3672.69,100000,1
insert_performance,UUIDV4,p50_latency_us,25577.00,25570.00,25579.00,25564.00,25575.00,100000,1
insert_performance,UUIDV4,p95_latency_us,34106.00,30229.00,34693.00,29565.00,33607.00,100000,1
insert_performance,UUIDV4,p99_latency_us,100660.00,42399.00,88527.00,42644.00,85567.00,100000,1
insert_performance,UUIDV4,page_splits,529.00,525.00,518.00,523.00,546.00,100000,1
insert_performance,UUIDV4,fragmentation,50.19,49.81,49.71,49.62,49.17,100000,1
insert_performance,UUIDV4,avg_leaf_density,65.39,65.89,66.78,66.14,63.37,100000,1
insert_performance,UUIDV4,table_size_mb,111.66,111.66,111.66,111.66,111.66,100000,1
insert_performance,UUIDV4,index_size_mb,4.16,4.13,4.08,4.12,4.30,100000,1
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_iops,45.63,40.72,45.17,41.19,46.17,100000,1
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV4,write_throughput_mb,3.93,0.72,3.94,0.72,3.94,100000,1
insert_performance,UUIDV7,throughput,3741.24,3705.38,3736.49,3694.98,3673.46,100000,1
insert_performance,UUIDV7,p50_latency_us,25566.00,25573.00,25567.00,25576.00,25572.00,100000,1
insert_performance,UUIDV7,p95_latency_us,29074.00,31552.00,26789.00,33840.00,33084.00,100000,1
insert_performance,UUIDV7,p99_latency_us,74541.00,91909.00,58949.00,74314.00,83449.00,100000,1
insert_performance,UUIDV7,page_splits,384.00,384.00,384.00,384.00,384.00,100000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,avg_leaf_density,89.79,89.79,89.79,89.79,89.79,100000,1
insert_performance,UUIDV7,table_size_mb,111.66,111.66,111.66,111.66,111.66,100000,1
insert_performance,UUIDV7,index_size_mb,3.03,3.03,3.03,3.03,3.03,100000,1
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_iops,44.18,43.59,43.99,42.59,45.42,100000,1
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,UUIDV7,write_throughput_mb,2.61,2.63,2.51,2.45,4.03,100000,1
insert_performance,ULID,throughput,3685.77,3711.51,3741.36,3733.94,3678.06,100000,1
insert_performance,ULID,p50_latency_us,25560.00,25566.00,25566.00,25573.00,25568.00,100000,1
insert_performance,ULID,p95_latency_us,33968.00,29243.00,30954.00,29858.00,33139.00,100000,1
insert_performance,ULID,p99_latency_us,92581.00,77933.00,86904.00,50581.00,108808.00,100000,1
insert_performance,ULID,page_splits,494.00,494.00,494.00,494.00,494.00,100000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,avg_leaf_density,90.02,90.02,90.02,90.02,90.02,100000,1
insert_performance,ULID,table_size_mb,111.66,111.66,111.66,111.66,111.66,100000,1
insert_performance,ULID,index_size_mb,3.89,3.89,3.89,3.89,3.89,100000,1
insert_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,write_iops,43.17,45.52,43.92,44.02,45.93,100000,1
insert_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID,write_throughput_mb,2.56,4.14,2.77,2.60,4.01,100000,1
insert_performance,ULID_MONOTONIC,throughput,3723.29,3657.85,3711.73,3636.49,3681.18,100000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,25564.00,25560.00,25565.00,25563.00,25558.00,100000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,28012.00,32831.00,32971.00,34016.00,33863.00,100000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,100484.00,100953.00,95895.00,100712.00,100523.00,100000,1
insert_performance,ULID_MONOTONIC,page_splits,494.00,494.00,494.00,494.00,494.00,100000,1
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,avg_leaf_density,90.02,90.02,90.02,90.02,90.02,100000,1
insert_performance,ULID_MONOTONIC,table_size_mb,111.66,111.66,111.66,111.66,111.66,100000,1
insert_performance,ULID_MONOTONIC,index_size_mb,3.89,3.89,3.89,3.89,3.89,100000,1
insert_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,write_iops,46.30,46.43,43.79,45.51,46.42,100000,1
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
insert_performance,ULID_MONOTONIC,write_throughput_mb,4.18,3.97,2.59,3.98,4.06,100000,1
insert_performance,UUIDV1,throughput,3678.72,3815.76,5092.76,5362.54,5128.27,100000,1
insert_performance,UUIDV1,p50_latency_us,25567.00,25550.00,17246.00,17240.00,17238.00,100000,1
insert_performance,UUIDV1,p95_latency_us,34131.00,31177.00,25785.00,25587.00,25684.00,100000,1
