Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,11719.05,12056.09,1318.78,11108.25,14344.03,10.94,100000,1
read_performance,SEQUENTIAL,p50_latency_us,82.00,81.40,7.37,69.00,87.00,9.05,100000,1
read_performance,SEQUENTIAL,p95_latency_us,92.00,91.80,4.02,86.00,96.00,4.38,100000,1
read_performance,SEQUENTIAL,p99_latency_us,284.00,269.80,26.58,241.00,295.00,9.85,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_iops,7.97,6.85,3.96,0.22,10.16,57.84,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,4.42,3.81,2.19,0.00,5.58,57.60,100000,1
read_performance,UUIDV4,read_throughput,13048.23,12357.65,1514.55,10268.75,13867.15,12.26,100000,1
read_performance,UUIDV4,p50_latency_us,72.00,78.40,12.18,67.00,96.00,15.53,100000,1
read_performance,UUIDV4,p95_latency_us,84.00,90.20,10.64,82.00,105.00,11.80,100000,1
read_performance,UUIDV4,p99_latency_us,230.00,274.60,102.51,180.00,443.00,37.33,100000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,0.00,1.00,1.00,0.00,100000,1
read_performance,UUIDV4,fragmentation,49.63,49.65,0.33,49.34,50.19,0.66,100000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_iops,0.26,3.65,4.75,0.21,10.01,130.20,100000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_throughput_mb,0.00,1.90,2.62,0.00,5.20,137.94,100000,1
read_performance,UUIDV7,read_throughput,12636.21,13227.26,1735.38,11735.70,16075.93,13.12,100000,1
read_performance,UUIDV7,p50_latency_us,76.00,73.20,11.78,56.00,84.00,16.09,100000,1
read_performance,UUIDV7,p95_latency_us,85.00,84.80,7.40,73.00,92.00,8.72,100000,1
