Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,11232.88,11719.05,11876.25,11108.25,14344.03,100000,1
read_performance,SEQUENTIAL,p50_latency_us,87.00,82.00,82.00,87.00,69.00,100000,1
read_performance,SEQUENTIAL,p95_latency_us,95.00,90.00,92.00,96.00,86.00,100000,1
read_performance,SEQUENTIAL,p99_latency_us,295.00,284.00,288.00,241.00,241.00,100000,1
read_performance,SEQUENTIAL,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,SEQUENTIAL,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_iops,7.97,9.42,0.22,6.50,10.16,100000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,SEQUENTIAL,write_throughput_mb,4.42,4.83,0.00,4.19,5.58,100000,1
read_performance,UUIDV4,read_throughput,10268.75,13048.23,13314.55,13867.15,11289.55,100000,1
read_performance,UUIDV4,p50_latency_us,96.00,72.00,71.00,67.00,86.00,100000,1
read_performance,UUIDV4,p95_latency_us,105.00,84.00,82.00,82.00,98.00,100000,1
read_performance,UUIDV4,p99_latency_us,443.00,230.00,180.00,226.00,294.00,100000,1
read_performance,UUIDV4,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV4,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV4,fragmentation,49.63,49.34,50.19,49.63,49.46,100000,1
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_iops,7.53,0.25,10.01,0.26,0.21,100000,1
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV4,write_throughput_mb,4.31,0.00,5.20,0.00,0.00,100000,1
read_performance,UUIDV7,read_throughput,11735.70,16075.93,13573.55,12114.93,12636.21,100000,1
read_performance,UUIDV7,p50_latency_us,84.00,56.00,67.00,83.00,76.00,100000,1
read_performance,UUIDV7,p95_latency_us,92.00,73.00,84.00,90.00,85.00,100000,1
read_performance,UUIDV7,p99_latency_us,226.00,203.00,224.00,400.00,232.00,100000,1
read_performance,UUIDV7,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV7,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_iops,6.53,11.50,0.13,0.11,9.28,100000,1
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,UUIDV7,write_throughput_mb,4.56,6.54,0.00,0.00,5.09,100000,1
read_performance,ULID,read_throughput,11065.69,12241.16,11012.97,11139.20,11401.80,100000,1
read_performance,ULID,p50_latency_us,88.00,80.00,88.00,86.00,86.00,100000,1
read_performance,ULID,p95_latency_us,96.00,92.00,96.00,96.00,94.00,100000,1
read_performance,ULID,p99_latency_us,323.00,245.00,326.00,291.00,236.00,100000,1
read_performance,ULID,cache_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,ULID,index_hit_ratio,1.00,1.00,1.00,1.00,1.00,100000,1
read_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,write_iops,6.83,0.12,8.76,0.00,9.36,100000,1
read_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
read_performance,ULID,write_throughput_mb,4.23,0.00,4.22,0.00,4.67,100000,1
read_performance,ULID_MONOTONIC,read_throughput,10946.15,10949.42,10469.67,12543.14,10028.20,100000,1
