Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,105.67,104.95,1.16,103.62,105.92,1.10,100000,1
update_performance,SEQUENTIAL,p50_latency_us,898.00,894.80,16.12,877.00,915.00,1.80,100000,1
update_performance,SEQUENTIAL,p95_latency_us,102115.00,101991.80,337.23,101629.00,102371.00,0.33,100000,1
update_performance,SEQUENTIAL,p99_latency_us,110459.00,110063.80,1366.93,108003.00,111262.00,1.24,100000,1
update_performance,SEQUENTIAL,fragmentation,0.36,0.29,0.30,0.00,0.72,104.58,100000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_iops,151.47,171.54,46.05,148.83,253.88,26.85,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,0.57,0.77,0.44,0.55,1.55,56.38,100000,1
update_performance,UUIDV4,update_throughput,103.37,103.88,1.01,102.94,105.01,0.97,100000,1
update_performance,UUIDV4,p50_latency_us,900.00,898.20,8.90,885.00,906.00,0.99,100000,1
update_performance,UUIDV4,p95_latency_us,101765.00,101446.00,711.49,100200.00,101927.00,0.70,100000,1
update_performance,UUIDV4,p99_latency_us,110126.00,109987.40,385.41,109329.00,110299.00,0.35,100000,1
update_performance,UUIDV4,fragmentation,49.73,49.70,0.13,49.47,49.82,0.27,100000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_iops,155.36,169.45,33.12,153.19,228.67,19.54,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_throughput_mb,0.58,0.71,0.31,0.57,1.26,43.01,100000,1
update_performance,UUIDV7,update_throughput,104.74,104.83,0.34,104.50,105.22,0.33,100000,1
update_performance,UUIDV7,p50_latency_us,904.00,900.00,12.71,883.00,914.00,1.41,100000,1
update_performance,UUIDV7,p95_latency_us,101459.00,101288.20,537.78,100505.00,101754.00,0.53,100000,1
update_performance,UUIDV7,p99_latency_us,109715.00,109616.60,291.38,109135.00,109873.00,0.27,100000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_iops,155.55,155.24,0.62,154.17,155.63,0.40,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_throughput_mb,0.61,0.60,0.03,0.56,0.64,4.64,100000,1
update_performance,ULID,update_throughput,102.29,102.44,0.74,101.64,103.36,0.72,100000,1
update_performance,ULID,p50_latency_us,927.00,922.80,7.73,910.00,928.00,0.84,100000,1
update_performance,ULID,p95_latency_us,101621.00,101326.60,796.48,99909.00,101776.00,0.79,100000,1
update_performance,ULID,p99_latency_us,110566.00,110628.60,154.84,110464.00,110809.00,0.14,100000,1
update_performance,ULID,fragmentation,27.39,27.62,0.84,26.85,28.65,3.04,100000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_iops,155.76,155.90,0.34,155.51,156.32,0.22,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_throughput_mb,0.61,0.61,0.05,0.56,0.66,7.88,100000,1
update_performance,ULID_MONOTONIC,update_throughput,102.07,102.49,1.17,101.41,104.05,1.14,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,913.00,922.00,16.51,911.00,950.00,1.79,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,101654.00,101307.00,980.58,99563.00,101852.00,0.97,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,110239.00,110171.00,578.04,109496.00,111018.00,0.52,100000,1
update_performance,ULID_MONOTONIC,fragmentation,27.18,26.87,0.68,25.86,27.61,2.55,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_iops,155.93,155.87,0.72,154.80,156.67,0.46,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,0.57,0.58,0.02,0.57,0.61,4.06,100000,1
update_performance,UUIDV1,update_throughput,104.09,103.67,1.21,101.93,105.06,1.17,100000,1
update_performance,UUIDV1,p50_latency_us,897.00,898.60,7.02,889.00,906.00,0.78,100000,1
update_performance,UUIDV1,p95_latency_us,101960.00,101991.40,95.36,101912.00,102154.00,0.09,100000,1
update_performance,UUIDV1,p99_latency_us,110961.00,110932.80,472.24,110357.00,111645.00,0.43,100000,1
update_performance,UUIDV1,fragmentation,0.00,0.07,0.15,0.00,0.33,223.61,100000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_iops,153.96,154.32,0.57,153.91,155.17,0.37,100000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_throughput_mb,0.60,0.61,0.03,0.58,0.66,4.72,100000,1
