Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,105.79,103.75,105.92,105.67,103.62,100000,1
update_performance,SEQUENTIAL,p50_latency_us,904.00,880.00,915.00,877.00,898.00,100000,1
update_performance,SEQUENTIAL,p95_latency_us,101629.00,102371.00,101644.00,102200.00,102115.00,100000,1
update_performance,SEQUENTIAL,p99_latency_us,108003.00,111262.00,109424.00,110459.00,111171.00,100000,1
update_performance,SEQUENTIAL,fragmentation,0.36,0.72,0.00,0.36,0.00,100000,1
update_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_iops,253.88,150.47,153.06,148.83,151.47,100000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,SEQUENTIAL,write_throughput_mb,1.55,0.64,0.56,0.57,0.55,100000,1
update_performance,UUIDV4,update_throughput,102.94,103.15,103.37,105.01,104.94,100000,1
update_performance,UUIDV4,p50_latency_us,906.00,906.00,900.00,885.00,894.00,100000,1
update_performance,UUIDV4,p95_latency_us,101810.00,101765.00,101927.00,100200.00,101528.00,100000,1
update_performance,UUIDV4,p99_latency_us,110198.00,109329.00,110299.00,110126.00,109985.00,100000,1
update_performance,UUIDV4,fragmentation,49.73,49.73,49.82,49.47,49.73,100000,1
update_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_iops,228.67,154.36,153.19,155.67,155.36,100000,1
update_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV4,write_throughput_mb,1.26,0.58,0.57,0.58,0.58,100000,1
update_performance,UUIDV7,update_throughput,104.52,104.74,105.22,105.15,104.50,100000,1
update_performance,UUIDV7,p50_latency_us,904.00,883.00,891.00,914.00,908.00,100000,1
update_performance,UUIDV7,p95_latency_us,100505.00,101754.00,101740.00,101459.00,100983.00,100000,1
update_performance,UUIDV7,p99_latency_us,109790.00,109135.00,109715.00,109570.00,109873.00,100000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_iops,155.61,155.55,154.17,155.63,155.26,100000,1
update_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV7,write_throughput_mb,0.64,0.61,0.56,0.60,0.61,100000,1
update_performance,ULID,update_throughput,101.87,103.03,101.64,102.29,103.36,100000,1
update_performance,ULID,p50_latency_us,928.00,927.00,921.00,928.00,910.00,100000,1
update_performance,ULID,p95_latency_us,99909.00,101621.00,101776.00,101585.00,101742.00,100000,1
update_performance,ULID,p99_latency_us,110777.00,110464.00,110809.00,110527.00,110566.00,100000,1
update_performance,ULID,fragmentation,26.85,28.34,26.85,28.65,27.39,100000,1
update_performance,ULID,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_iops,155.51,156.32,155.76,155.75,156.18,100000,1
update_performance,ULID,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID,write_throughput_mb,0.66,0.56,0.66,0.61,0.57,100000,1
update_performance,ULID_MONOTONIC,update_throughput,101.41,101.55,102.07,103.37,104.05,100000,1
update_performance,ULID_MONOTONIC,p50_latency_us,912.00,913.00,950.00,911.00,924.00,100000,1
update_performance,ULID_MONOTONIC,p95_latency_us,101843.00,101852.00,101654.00,99563.00,101623.00,100000,1
update_performance,ULID_MONOTONIC,p99_latency_us,110239.00,111018.00,110306.00,109796.00,109496.00,100000,1
update_performance,ULID_MONOTONIC,fragmentation,26.53,27.18,27.61,27.18,25.86,100000,1
update_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_iops,154.80,155.61,155.93,156.32,156.67,100000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,0.57,0.57,0.61,0.61,0.57,100000,1
update_performance,UUIDV1,update_throughput,101.93,104.23,103.04,104.09,105.06,100000,1
update_performance,UUIDV1,p50_latency_us,889.00,905.00,906.00,896.00,897.00,100000,1
update_performance,UUIDV1,p95_latency_us,102154.00,101940.00,101991.00,101960.00,101912.00,100000,1
update_performance,UUIDV1,p99_latency_us,111645.00,110990.00,110961.00,110711.00,110357.00,100000,1
update_performance,UUIDV1,fragmentation,0.00,0.00,0.33,0.00,0.00,100000,1
update_performance,UUIDV1,read_iops,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_iops,153.96,153.91,154.65,153.92,155.17,100000,1
update_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,100000,1
update_performance,UUIDV1,write_throughput_mb,0.58,0.60,0.60,0.60,0.66,100000,1
