Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,2966.80,2967.03,18.18,2941.38,2992.35,0.61,10000000,1
insert_performance,SEQUENTIAL,p50_latency_us,25681.00,25687.00,15.08,25673.00,25712.00,0.06,10000000,1
insert_performance,SEQUENTIAL,p95_latency_us,56163.00,55827.80,1772.55,52954.00,57824.00,3.18,10000000,1
insert_performance,SEQUENTIAL,p99_latency_us,158593.00,159803.00,4344.51,154909.00,164872.00,2.72,10000000,1
insert_performance,SEQUENTIAL,page_splits,27418.00,27418.00,0.00,27418.00,27418.00,0.00,10000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,90.04,90.04,0.00,90.04,90.04,0.00,10000000,1
insert_performance,SEQUENTIAL,table_size_mb,11163.80,11163.80,0.02,11163.77,11163.82,0.00,10000000,1
insert_performance,SEQUENTIAL,index_size_mb,214.23,214.23,0.00,214.23,214.23,0.00,10000000,1
insert_performance,SEQUENTIAL,read_iops,26.01,26.00,0.36,25.60,26.57,1.39,10000000,1
insert_performance,SEQUENTIAL,write_iops,108.33,108.39,0.41,107.82,108.89,0.38,10000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.23,0.24,0.03,0.22,0.29,13.05,10000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,16.47,16.41,0.25,16.03,16.69,1.51,10000000,1
insert_performance,UUIDV4,throughput,780.77,774.55,10.64,762.11,785.03,1.37,10000000,1
insert_performance,UUIDV4,p50_latency_us,117503.00,118010.20,3562.95,114208.00,121988.00,3.02,10000000,1
insert_performance,UUIDV4,p95_latency_us,309186.00,309711.40,2113.60,306902.00,312424.00,0.68,10000000,1
insert_performance,UUIDV4,p99_latency_us,386014.00,386095.60,5078.89,380435.00,393924.00,1.32,10000000,1
insert_performance,UUIDV4,page_splits,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,fragmentation,49.78,49.77,0.03,49.72,49.81,0.07,10000000,1
insert_performance,UUIDV4,avg_leaf_density,69.84,69.80,0.55,68.94,70.43,0.79,10000000,1
insert_performance,UUIDV4,table_size_mb,11163.83,11163.82,0.02,11163.79,11163.83,0.00,10000000,1
insert_performance,UUIDV4,index_size_mb,387.96,388.18,3.08,384.69,393.01,0.79,10000000,1
insert_performance,UUIDV4,read_iops,7.74,7.71,0.32,7.42,8.21,4.15,10000000,1
insert_performance,UUIDV4,write_iops,360.05,360.11,2.92,356.66,363.97,0.81,10000000,1
insert_performance,UUIDV4,read_throughput_mb,0.08,0.08,0.01,0.07,0.09,11.32,10000000,1
insert_performance,UUIDV4,write_throughput_mb,7.08,7.00,0.18,6.74,7.17,2.51,10000000,1
insert_performance,UUIDV7,throughput,2982.95,2977.39,25.95,2936.92,3000.19,0.87,10000000,1
insert_performance,UUIDV7,p50_latency_us,25715.00,25725.00,19.24,25711.00,25757.00,0.07,10000000,1
insert_performance,UUIDV7,p95_latency_us,53520.00,53415.60,866.47,52462.00,54304.00,1.62,10000000,1
insert_performance,UUIDV7,p99_latency_us,163191.00,163774.00,2507.41,160723.00,166892.00,1.53,10000000,1
insert_performance,UUIDV7,page_splits,38502.00,38502.00,0.00,38502.00,38502.00,0.00,10000000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,avg_leaf_density,89.99,89.99,0.00,89.99,89.99,0.00,10000000,1
insert_performance,UUIDV7,table_size_mb,11163.82,11163.81,0.02,11163.77,11163.82,0.00,10000000,1
insert_performance,UUIDV7,index_size_mb,300.82,300.82,0.00,300.82,300.82,0.00,10000000,1
